night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,958.164062
0,ss_max,last_30min,selfreport,1799.609375
0,ss_max,last_hour,imu,2758.359375
0,ss_max,last_hour,selfreport,2899.53125
0,ss_max,total,imu,2919.84375
0,ss_max,total,selfreport,2899.53125
0,ss_max_60,last_30min,imu,958.164062
0,ss_max_60,last_30min,selfreport,1799.609375
0,ss_max_60,last_hour,imu,2758.359375
0,ss_max_60,last_hour,selfreport,2899.53125
0,ss_max_60,total,imu,2919.84375
0,ss_max_60,total,selfreport,2899.53125
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.1945209270824591
0,ss_max_position,total,imu,0.8177654971559034
0,ss_max_position,total,selfreport,0.8104753880392157
0,ss_mean,last_30min,imu,590.3385413333333
0,ss_mean,last_30min,selfreport,1799.609375
0,ss_mean,last_hour,imu,1190.234375
0,ss_mean,last_hour,selfreport,894.560547
0,ss_mean,total,imu,390.1855469423077
0,ss_mean,total,selfreport,502.6901041666667
0,ss_mean_60,last_30min,imu,590.3385413333333
0,ss_mean_60,last_30min,selfreport,1799.609375
0,ss_mean_60,last_hour,imu,1190.234375
0,ss_mean_60,last_hour,selfreport,1179.4010416666667
0,ss_mean_60,total,imu,510.84635423076935
0,ss_mean_60,total,selfreport,597.67812504
0,ss_median,last_30min,imu,413.28125
0,ss_median,last_30min,selfreport,1799.609375
0,ss_median,last_hour,imu,412.773438
0,ss_median,last_hour,selfreport,319.3359375
0,ss_median,total,imu,273.37890600000003
0,ss_median,total,selfreport,410.9960935
0,ss_median_60,last_30min,imu,413.28125
0,ss_median_60,last_30min,selfreport,1799.609375
0,ss_median_60,last_hour,imu,412.773438
0,ss_median_60,last_hour,selfreport,479.804687
0,ss_median_60,total,imu,406.171875
0,ss_median_60,total,selfreport,479.804688
0,ss_number,last_30min,imu,3.0
0,ss_number,last_30min,selfreport,1.0
0,ss_number,last_hour,imu,3.0
0,ss_number,last_hour,selfreport,4.0
0,ss_number,total,imu,52.0
0,ss_number,total,selfreport,30.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,1.0
0,ss_number_60,last_hour,imu,3.0
0,ss_number_60,last_hour,selfreport,3.0
0,ss_number_60,total,imu,39.0
0,ss_number_60,total,selfreport,25.0
0,ss_skewness,last_30min,imu,0.7056339872473005
0,ss_skewness,last_30min,selfreport,0.0
0,ss_skewness,last_hour,imu,0.707031592257121
0,ss_skewness,last_hour,selfreport,1.091035113721551
0,ss_skewness,total,imu,3.024902990788792
0,ss_skewness,total,selfreport,2.62324672252278
0,ss_skewness_60,last_30min,imu,0.7056339872473005
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,0.707031592257121
0,ss_skewness_60,last_hour,selfreport,0.6707824303106465
0,ss_skewness_60,total,imu,2.913059839284329
0,ss_skewness_60,total,selfreport,2.6414154093633933
0,ss_std,last_30min,imu,318.62000517150244
0,ss_std,last_hour,imu,1358.0521316771287
0,ss_std,last_hour,selfreport,1349.491463278781
0,ss_std,total,imu,502.5460648359979
0,ss_std,total,selfreport,566.7579272763628
0,ss_std_60,last_30min,imu,318.62000517150244
0,ss_std_60,last_hour,imu,1358.0521316771287
0,ss_std_60,last_hour,selfreport,1498.2944202598335
0,ss_std_60,total,imu,528.2437055976118
0,ss_std_60,total,selfreport,575.9138242734123
