night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,590.0
0,ss_max,last_30min,selfreport,943.4375
0,ss_max,last_hour,imu,1236.953125
0,ss_max,last_hour,selfreport,942.929688
0,ss_max,total,imu,3776.523437
0,ss_max,total,selfreport,3777.03125
0,ss_max_60,last_30min,imu,590.0
0,ss_max_60,last_30min,selfreport,943.4375
0,ss_max_60,last_hour,imu,1236.953125
0,ss_max_60,last_hour,selfreport,942.929688
0,ss_max_60,total,imu,3776.523437
0,ss_max_60,total,selfreport,3777.03125
0,ss_max_position,last_30min,imu,0.4920165583520605
0,ss_max_position,last_30min,selfreport,0.3597024724970244
0,ss_max_position,last_hour,imu,0.1327369053635049
0,ss_max_position,last_hour,selfreport,0.6799063581348853
0,ss_max_position,total,imu,0.4164986672798572
0,ss_max_position,total,selfreport,0.63349655148179
0,ss_mean,last_30min,imu,445.78125
0,ss_mean,last_30min,selfreport,294.1992188333333
0,ss_mean,last_hour,imu,442.988281375
0,ss_mean,last_hour,selfreport,393.702257
0,ss_mean,total,imu,611.0184831951219
0,ss_mean,total,selfreport,310.1022135166667
0,ss_mean_60,last_30min,imu,445.78125
0,ss_mean_60,last_30min,selfreport,348.1796876
0,ss_mean_60,last_hour,imu,442.988281375
0,ss_mean_60,last_hour,selfreport,439.87792975
0,ss_mean_60,total,imu,692.0703124444444
0,ss_mean_60,total,selfreport,603.6601563
0,ss_median,last_30min,imu,437.402344
0,ss_median,last_30min,selfreport,202.2851565
0,ss_median,last_hour,imu,372.1484375
0,ss_median,last_hour,selfreport,338.632813
0,ss_median,total,imu,318.828125
0,ss_median,total,selfreport,69.746094
0,ss_median_60,last_30min,imu,437.402344
0,ss_median_60,last_30min,selfreport,208.632813
0,ss_median_60,last_hour,imu,372.1484375
0,ss_median_60,last_hour,selfreport,378.496094
0,ss_median_60,total,imu,375.449219
0,ss_median_60,total,selfreport,265.76171850000003
0,ss_number,last_30min,imu,4.0
0,ss_number,last_30min,selfreport,6.0
0,ss_number,last_hour,imu,8.0
0,ss_number,last_hour,selfreport,9.0
0,ss_number,total,imu,41.0
0,ss_number,total,selfreport,60.0
0,ss_number_60,last_30min,imu,4.0
0,ss_number_60,last_30min,selfreport,5.0
0,ss_number_60,last_hour,imu,8.0
0,ss_number_60,last_hour,selfreport,8.0
0,ss_number_60,total,imu,36.0
0,ss_number_60,total,selfreport,30.0
0,ss_skewness,last_30min,imu,0.2542239877309242
0,ss_skewness,last_30min,selfreport,1.5251117799639795
0,ss_skewness,last_hour,imu,1.2976619988206333
0,ss_skewness,last_hour,selfreport,0.7770374436070007
0,ss_skewness,total,imu,2.3905850233564787
0,ss_skewness,total,selfreport,3.663789307815796
0,ss_skewness_60,last_30min,imu,0.2542239877309242
0,ss_skewness_60,last_30min,selfreport,1.414260834439259
0,ss_skewness_60,last_hour,imu,1.2976619988206333
0,ss_skewness_60,last_hour,selfreport,0.971780185005487
0,ss_skewness_60,total,imu,2.2617745940954745
0,ss_skewness_60,total,selfreport,2.512910212595304
0,ss_std,last_30min,imu,111.7241359209309
0,ss_std,last_30min,selfreport,328.8464127966201
0,ss_std,last_hour,imu,366.6576052403544
0,ss_std,last_hour,selfreport,280.78060674526444
0,ss_std,total,imu,818.6661059240511
0,ss_std,total,selfreport,687.4676459027042
0,ss_std_60,last_30min,imu,111.7241359209309
0,ss_std_60,last_30min,selfreport,336.631506917413
0,ss_std_60,last_hour,imu,366.6576052403544
0,ss_std_60,last_hour,selfreport,261.09224278897074
0,ss_std_60,total,imu,842.9390935392321
0,ss_std_60,total,selfreport,884.913060890586
1,ss_max,last_30min,imu,529.0625
1,ss_max,last_30min,selfreport,998.28125
1,ss_max,last_hour,imu,658.046875
1,ss_max,last_hour,selfreport,1426.367188
1,ss_max,total,imu,3285.46875
1,ss_max,total,selfreport,3645.507812
1,ss_max_60,last_30min,imu,529.0625
1,ss_max_60,last_30min,selfreport,998.28125
1,ss_max_60,last_hour,imu,658.046875
1,ss_max_60,last_hour,selfreport,1426.367188
1,ss_max_60,total,imu,3285.46875
1,ss_max_60,total,selfreport,3645.507812
1,ss_max_position,last_30min,imu,0.6378723847009494
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.0
1,ss_max_position,last_hour,selfreport,0.3811425269046598
1,ss_max_position,total,imu,0.0
1,ss_max_position,total,selfreport,0.0217607682002352
1,ss_mean,last_30min,imu,113.2994792
1,ss_mean,last_30min,selfreport,894.9414059999999
1,ss_mean,last_hour,imu,165.1543899047619
1,ss_mean,last_hour,selfreport,321.4595170909091
1,ss_mean,total,imu,464.9177631929825
1,ss_mean,total,selfreport,498.8610197894737
1,ss_mean_60,last_30min,imu,312.22656240000003
1,ss_mean_60,last_30min,selfreport,894.9414059999999
1,ss_mean_60,last_hour,imu,303.77840909090907
1,ss_mean_60,last_hour,selfreport,568.1640626666667
1,ss_mean_60,total,imu,689.4911596052632
1,ss_mean_60,total,selfreport,780.0911459166667
1,ss_median,last_30min,imu,16.679687
1,ss_median,last_30min,selfreport,894.9414059999999
1,ss_median,last_hour,imu,83.203125
1,ss_median,last_hour,selfreport,62.890625
1,ss_median,total,imu,191.875
1,ss_median,total,selfreport,164.453125
1,ss_median_60,last_30min,imu,288.359375
1,ss_median_60,last_30min,selfreport,894.9414059999999
1,ss_median_60,last_hour,imu,288.359375
1,ss_median_60,last_hour,selfreport,491.230469
1,ss_median_60,total,imu,351.835938
1,ss_median_60,total,selfreport,412.519531
1,ss_number,last_30min,imu,15.0
1,ss_number,last_30min,selfreport,2.0
1,ss_number,last_hour,imu,21.0
1,ss_number,last_hour,selfreport,11.0
1,ss_number,total,imu,57.0
1,ss_number,total,selfreport,38.0
1,ss_number_60,last_30min,imu,5.0
1,ss_number_60,last_30min,selfreport,2.0
1,ss_number_60,last_hour,imu,11.0
