night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1799.609375
0,ss_max,last_30min,selfreport,1799.609375
0,ss_max,last_hour,imu,2218.554688
0,ss_max,last_hour,selfreport,2262.734375
0,ss_max,total,imu,2622.265625
0,ss_max,total,selfreport,2622.265625
0,ss_max_60,last_30min,imu,1799.609375
0,ss_max_60,last_30min,selfreport,1799.609375
0,ss_max_60,last_hour,imu,2218.554688
0,ss_max_60,last_hour,selfreport,2262.734375
0,ss_max_60,total,imu,2622.265625
0,ss_max_60,total,selfreport,2622.265625
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.383681596398464
0,ss_max_position,last_hour,selfreport,0.3714094277258505
0,ss_max_position,total,imu,0.3854867850336426
0,ss_max_position,total,selfreport,0.3720331101190476
0,ss_mean,last_30min,imu,1799.609375
0,ss_mean,last_30min,selfreport,1799.609375
0,ss_mean,last_hour,imu,439.62402362500006
0,ss_mean,last_hour,selfreport,439.687499875
0,ss_mean,total,imu,562.4312066666668
0,ss_mean,total,selfreport,539.8369564782608
0,ss_mean_60,last_30min,imu,1799.609375
0,ss_mean_60,last_30min,selfreport,1799.609375
0,ss_mean_60,last_hour,imu,1143.5156253333334
0,ss_mean_60,last_hour,selfreport,1143.6848956666663
0,ss_mean_60,total,imu,784.22210696875
0,ss_mean_60,total,selfreport,769.14672853125
0,ss_median,last_30min,imu,1799.609375
0,ss_median,last_30min,selfreport,1799.609375
0,ss_median,last_hour,imu,29.6289065
0,ss_median,last_hour,selfreport,29.628906
0,ss_median,total,imu,283.28125
0,ss_median,total,selfreport,277.6953125
0,ss_median_60,last_30min,imu,1799.609375
0,ss_median_60,last_30min,selfreport,1799.609375
0,ss_median_60,last_hour,imu,925.664063
0,ss_median_60,last_hour,selfreport,925.664062
0,ss_median_60,total,imu,632.148438
0,ss_median_60,total,selfreport,632.148437
0,ss_number,last_30min,imu,1.0
0,ss_number,last_30min,selfreport,1.0
0,ss_number,last_hour,imu,8.0
0,ss_number,last_hour,selfreport,8.0
0,ss_number,total,imu,45.0
0,ss_number,total,selfreport,46.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_30min,selfreport,1.0
0,ss_number_60,last_hour,imu,3.0
0,ss_number_60,last_hour,selfreport,3.0
0,ss_number_60,total,imu,32.0
0,ss_number_60,total,selfreport,32.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,0.0
0,ss_skewness,last_hour,imu,1.6913006259658363
0,ss_skewness,last_hour,selfreport,1.7200310214961472
0,ss_skewness,total,imu,1.3417420943096046
0,ss_skewness,total,selfreport,1.4388567445138396
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,0.3866629696661208
0,ss_skewness_60,last_hour,selfreport,0.3722481646159556
0,ss_skewness_60,total,imu,1.0701992329830068
0,ss_skewness_60,total,selfreport,1.1704103647750512
0,ss_std,last_hour,imu,785.2998307169311
0,ss_std,last_hour,selfreport,801.0092880816414
0,ss_std,total,imu,652.1053727703868
0,ss_std,total,selfreport,638.341978608789
0,ss_std_60,last_hour,imu,984.3624079062567
0,ss_std_60,last_hour,selfreport,1027.5352649473448
0,ss_std_60,total,imu,654.0156910425156
0,ss_std_60,total,selfreport,642.7224544496657
1,ss_max,last_30min,imu,823.085937
1,ss_max,last_30min,selfreport,846.953125
1,ss_max,last_hour,imu,2426.25
1,ss_max,last_hour,selfreport,2402.382813
1,ss_max,total,imu,3205.234375
1,ss_max,total,selfreport,3205.234375
1,ss_max_60,last_30min,imu,823.085937
1,ss_max_60,last_30min,selfreport,846.953125
1,ss_max_60,last_hour,imu,2426.25
1,ss_max_60,last_hour,selfreport,2402.382813
1,ss_max_60,total,imu,3205.234375
1,ss_max_60,total,selfreport,3205.234375
1,ss_max_position,last_30min,imu,0.5425159645616167
1,ss_max_position,last_30min,selfreport,0.5292563434378854
1,ss_max_position,last_hour,imu,0.0
1,ss_max_position,last_hour,selfreport,0.0
1,ss_max_position,total,imu,0.58332127296016
1,ss_max_position,total,selfreport,0.5706307870370371
1,ss_mean,last_30min,imu,446.923828
