night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,808.867187
0,ss_max,last_30min,selfreport,886.054687
0,ss_max,last_hour,imu,809.375
0,ss_max,last_hour,selfreport,886.054688
0,ss_max,total,imu,2226.171875
0,ss_max,total,selfreport,2226.171875
0,ss_max_60,last_30min,imu,808.867187
0,ss_max_60,last_30min,selfreport,886.054687
0,ss_max_60,last_hour,imu,809.375
0,ss_max_60,last_hour,selfreport,886.054688
0,ss_max_60,total,imu,2226.171875
0,ss_max_60,total,selfreport,2226.171875
0,ss_max_position,last_30min,imu,0.5504153126697379
0,ss_max_position,last_30min,selfreport,0.5075331355894828
0,ss_max_position,last_hour,imu,0.7751214602947388
0,ss_max_position,last_hour,selfreport,0.7538214891852338
0,ss_max_position,total,imu,0.0150989649085063
0,ss_max_position,total,selfreport,0.0246779057017543
0,ss_mean,last_30min,imu,444.765625
0,ss_mean,last_30min,selfreport,595.7552083333334
0,ss_mean,last_hour,imu,321.2286931818182
0,ss_mean,last_hour,selfreport,321.274858
0,ss_mean,total,imu,517.7725290232557
0,ss_mean,total,selfreport,524.7519985116279
0,ss_mean_60,last_30min,imu,582.0442706666666
0,ss_mean_60,last_30min,selfreport,595.7552083333334
0,ss_mean_60,last_hour,imu,351.8867187
0,ss_mean_60,last_hour,selfreport,351.9375
0,ss_mean_60,total,imu,599.1543495945946
0,ss_mean_60,total,selfreport,607.2793496216216
0,ss_median,last_30min,imu,468.6328125
0,ss_median,last_30min,selfreport,642.304688
0,ss_median,last_hour,imu,259.414062
0,ss_median,last_hour,selfreport,258.90625
0,ss_median,total,imu,288.867187
0,ss_median,total,selfreport,288.867187
0,ss_median_60,last_30min,imu,678.359375
0,ss_median_60,last_30min,selfreport,642.304688
0,ss_median_60,last_hour,imu,263.4765625
0,ss_median_60,last_hour,selfreport,259.16015600000003
0,ss_median_60,total,imu,359.453125
0,ss_median_60,total,selfreport,396.523437
0,ss_number,last_30min,imu,4.0
0,ss_number,last_30min,selfreport,3.0
0,ss_number,last_hour,imu,11.0
0,ss_number,last_hour,selfreport,11.0
0,ss_number,total,imu,43.0
0,ss_number,total,selfreport,43.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,10.0
0,ss_number_60,last_hour,selfreport,10.0
0,ss_number_60,total,imu,37.0
0,ss_number_60,total,selfreport,37.0
0,ss_skewness,last_30min,imu,-0.1246600108240322
0,ss_skewness,last_30min,selfreport,-0.264626519911024
0,ss_skewness,last_hour,imu,0.8148540005009122
0,ss_skewness,last_hour,selfreport,1.017357279818815
0,ss_skewness,total,imu,1.3699513449543013
0,ss_skewness,total,selfreport,1.3324274089209165
0,ss_skewness_60,last_30min,imu,-0.5465871027440744
0,ss_skewness_60,last_30min,selfreport,-0.264626519911024
0,ss_skewness_60,last_hour,imu,0.8631635501282106
0,ss_skewness_60,last_hour,selfreport,1.0488467169759632
0,ss_skewness_60,total,imu,1.2752266911973142
0,ss_skewness_60,total,selfreport,1.2409592671463572
0,ss_std,last_30min,imu,361.1502613271291
0,ss_std,last_30min,selfreport,316.15491622116804
0,ss_std,last_hour,imu,248.1638788308157
0,ss_std,last_hour,selfreport,265.5651405430118
0,ss_std,total,imu,541.1631826369907
0,ss_std,total,selfreport,541.5752531722923
0,ss_std_60,last_30min,imu,287.35293203399743
0,ss_std_60,last_30min,selfreport,316.15491622116804
0,ss_std_60,last_hour,imu,238.6216227069017
0,ss_std_60,last_hour,selfreport,258.59163454933645
0,ss_std_60,total,imu,541.1755254223859
0,ss_std_60,total,selfreport,540.3777821202127
1,ss_max,last_30min,imu,315.78125
1,ss_max,last_30min,selfreport,316.289062
1,ss_max,last_hour,imu,824.609375
1,ss_max,last_hour,selfreport,824.609375
1,ss_max,total,imu,2464.84375
1,ss_max,total,selfreport,2464.84375
1,ss_max_60,last_30min,imu,315.78125
1,ss_max_60,last_30min,selfreport,316.289062
1,ss_max_60,last_hour,imu,824.609375
1,ss_max_60,last_hour,selfreport,824.609375
1,ss_max_60,total,imu,2464.84375
1,ss_max_60,total,selfreport,2464.84375
1,ss_max_position,last_30min,imu,0.744513588288724
1,ss_max_position,last_30min,selfreport,0.7394354353261255
1,ss_max_position,last_hour,imu,0.2807082267768174
1,ss_max_position,last_hour,selfreport,0.278169157311617
1,ss_max_position,total,imu,0.2689056482005815
1,ss_max_position,total,selfreport,0.2581737822535211
1,ss_mean,last_30min,imu,132.85156253846154
1,ss_mean,last_30min,selfreport,132.89062492307693
1,ss_mean,last_hour,imu,235.10677086666664
1,ss_mean,last_hour,selfreport,235.07291673333336
1,ss_mean,total,imu,327.45312498461544
1,ss_mean,total,selfreport,338.4853830967742
1,ss_mean_60,last_30min,imu,152.17329545454547
1,ss_mean_60,last_30min,selfreport,153.05042600000002
1,ss_mean_60,last_hour,imu,250.59988842857143
1,ss_mean_60,last_hour,selfreport,250.5273437857143
1,ss_mean_60,total,imu,436.8733723541666
1,ss_mean_60,total,selfreport,440.3357712765957
1,ss_median,last_30min,imu,112.65625
1,ss_median,last_30min,selfreport,112.65625
1,ss_median,last_hour,imu,130.9375
1,ss_median,last_hour,selfreport,135.507813
1,ss_median,total,imu,159.882812
1,ss_median,total,selfreport,159.628906
1,ss_median_60,last_30min,imu,126.367187
1,ss_median_60,last_30min,selfreport,131.445313
1,ss_median_60,last_hour,imu,152.5195315
1,ss_median_60,last_hour,selfreport,154.804688
1,ss_median_60,total,imu,249.511719
1,ss_median_60,total,selfreport,242.148438
1,ss_number,last_30min,imu,13.0
1,ss_number,last_30min,selfreport,13.0
1,ss_number,last_hour,imu,15.0
1,ss_number,last_hour,selfreport,15.0
1,ss_number,total,imu,65.0
1,ss_number,total,selfreport,62.0
1,ss_number_60,last_30min,imu,11.0
1,ss_number_60,last_30min,selfreport,11.0
1,ss_number_60,last_hour,imu,14.0
1,ss_number_60,last_hour,selfreport,14.0
1,ss_number_60,total,imu,48.0
1,ss_number_60,total,selfreport,47.0
1,ss_skewness,last_30min,imu,0.9393222679807488
1,ss_skewness,last_30min,selfreport,0.8859513591917711
1,ss_skewness,last_hour,imu,1.5321088209758444
1,ss_skewness,last_hour,selfreport,1.5449994206260873
1,ss_skewness,total,imu,2.468029453819251
