night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1799.609375
0,ss_max,last_30min,selfreport,1799.609375
0,ss_max,last_hour,imu,3599.804688
0,ss_max,last_hour,selfreport,3599.804688
0,ss_max,total,imu,7515.546875
0,ss_max,total,selfreport,7064.609375
0,ss_max_60,last_30min,imu,1799.609375
0,ss_max_60,last_30min,selfreport,1799.609375
0,ss_max_60,last_hour,imu,3599.804688
0,ss_max_60,last_hour,selfreport,3599.804688
0,ss_max_60,total,imu,7515.546875
0,ss_max_60,total,selfreport,7064.609375
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.744878100389665
0,ss_max_position,total,selfreport,0.7663703393518518
0,ss_mean,last_30min,imu,1799.609375
0,ss_mean,last_30min,selfreport,1799.609375
0,ss_mean,last_hour,imu,3599.804688
0,ss_mean,last_hour,selfreport,3599.804688
0,ss_mean,total,imu,674.4858283953488
0,ss_mean,total,selfreport,570.1562500576923
0,ss_mean_60,last_30min,imu,1799.609375
0,ss_mean_60,last_30min,selfreport,1799.609375
0,ss_mean_60,last_hour,imu,3599.804688
0,ss_mean_60,last_hour,selfreport,3599.804688
0,ss_mean_60,total,imu,987.7397628965516
0,ss_mean_60,total,selfreport,835.6796875714286
0,ss_median,last_30min,imu,1799.609375
0,ss_median,last_30min,selfreport,1799.609375
0,ss_median,last_hour,imu,3599.804688
0,ss_median,last_hour,selfreport,3599.804688
0,ss_median,total,imu,173.085937
0,ss_median,total,selfreport,116.2109375
0,ss_median_60,last_30min,imu,1799.609375
0,ss_median_60,last_30min,selfreport,1799.609375
0,ss_median_60,last_hour,imu,3599.804688
0,ss_median_60,last_hour,selfreport,3599.804688
0,ss_median_60,total,imu,615.390625
0,ss_median_60,total,selfreport,329.492187
0,ss_number,last_30min,imu,1.0
0,ss_number,last_30min,selfreport,1.0
0,ss_number,last_hour,imu,1.0
0,ss_number,last_hour,selfreport,1.0
0,ss_number,total,imu,43.0
0,ss_number,total,selfreport,52.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_30min,selfreport,1.0
0,ss_number_60,last_hour,imu,1.0
0,ss_number_60,last_hour,selfreport,1.0
0,ss_number_60,total,imu,29.0
0,ss_number_60,total,selfreport,35.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,0.0
0,ss_skewness,last_hour,imu,0.0
0,ss_skewness,last_hour,selfreport,0.0
0,ss_skewness,total,imu,3.924623116854735
0,ss_skewness,total,selfreport,4.015357673670516
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,0.0
0,ss_skewness_60,last_hour,selfreport,0.0
0,ss_skewness_60,total,imu,3.341688364718978
0,ss_skewness_60,total,selfreport,3.364596286459953
0,ss_std,total,imu,1270.0082093168407
0,ss_std,total,selfreport,1137.897658434541
0,ss_std_60,total,imu,1451.5676996619752
0,ss_std_60,total,selfreport,1311.510450784174
1,ss_max,last_30min,imu,1799.609375
1,ss_max,last_30min,selfreport,1799.609375
1,ss_max,last_hour,imu,3509.414062
1,ss_max,last_hour,selfreport,3599.804688
1,ss_max,total,imu,3509.414062
1,ss_max,total,selfreport,5924.570313
1,ss_max_60,last_30min,imu,1799.609375
1,ss_max_60,last_30min,selfreport,1799.609375
1,ss_max_60,last_hour,imu,3509.414062
1,ss_max_60,last_hour,selfreport,3599.804688
1,ss_max_60,total,imu,3509.414062
1,ss_max_60,total,selfreport,5924.570313
1,ss_max_position,last_30min,imu,0.0
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.0251085750584288
1,ss_max_position,last_hour,selfreport,0.0
1,ss_max_position,total,imu,0.847282643584086
1,ss_max_position,total,selfreport,0.6262503712491514
1,ss_mean,last_30min,imu,1799.609375
1,ss_mean,last_30min,selfreport,1799.609375
1,ss_mean,last_hour,imu,1190.9114583333333
1,ss_mean,last_hour,selfreport,3599.804688
1,ss_mean,total,imu,335.4628314090909
1,ss_mean,total,selfreport,435.00177554545456
