night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,505.195312
0,ss_max,last_30min,selfreport,480.820312
0,ss_max,last_hour,imu,505.195313
0,ss_max,last_hour,selfreport,1219.179688
0,ss_max,total,imu,2828.945312
0,ss_max,total,selfreport,2810.664062
0,ss_max_60,last_30min,imu,505.195312
0,ss_max_60,last_30min,selfreport,480.820312
0,ss_max_60,last_hour,imu,505.195313
0,ss_max_60,last_hour,selfreport,1219.179688
0,ss_max_60,total,imu,2828.945312
0,ss_max_60,total,selfreport,2810.664062
0,ss_max_position,last_30min,imu,0.6144564587676535
0,ss_max_position,last_30min,selfreport,0.7326645652608221
0,ss_max_position,last_hour,imu,0.8072830058127319
0,ss_max_position,last_hour,selfreport,0.173503074793757
0,ss_max_position,total,imu,0.0059124758493273
0,ss_max_position,total,selfreport,0.0
0,ss_mean,last_30min,imu,194.6397571111111
0,ss_mean,last_30min,selfreport,145.62174475
0,ss_mean,last_hour,imu,126.17910866666664
0,ss_mean,last_hour,selfreport,195.23220494444445
0,ss_mean,total,imu,219.92994792
0,ss_mean,total,selfreport,240.1591554214876
0,ss_mean_60,last_30min,imu,287.1744793333333
0,ss_mean_60,last_30min,selfreport,274.14062483333333
0,ss_mean_60,last_hour,imu,224.7014507857143
0,ss_mean_60,last_hour,selfreport,311.16477290909097
0,ss_mean_60,total,imu,391.6020447407407
0,ss_mean_60,total,selfreport,431.6562499384616
0,ss_median,last_30min,imu,162.929688
0,ss_median,last_30min,selfreport,67.4609375
0,ss_median,last_hour,imu,75.078125
0,ss_median,last_hour,selfreport,96.9140625
0,ss_median,total,imu,71.015625
0,ss_median,total,selfreport,66.953125
0,ss_median_60,last_30min,imu,226.152344
0,ss_median_60,last_30min,selfreport,236.5625
0,ss_median_60,last_hour,imu,183.75
0,ss_median_60,last_hour,selfreport,202.539063
0,ss_median_60,total,imu,189.335937
0,ss_median_60,total,selfreport,189.335937
0,ss_number,last_30min,imu,9.0
0,ss_number,last_30min,selfreport,12.0
0,ss_number,last_hour,imu,27.0
0,ss_number,last_hour,selfreport,18.0
0,ss_number,total,imu,150.0
0,ss_number,total,selfreport,121.0
0,ss_number_60,last_30min,imu,6.0
0,ss_number_60,last_30min,selfreport,6.0
0,ss_number_60,last_hour,imu,14.0
0,ss_number_60,last_hour,selfreport,11.0
0,ss_number_60,total,imu,81.0
0,ss_number_60,total,selfreport,65.0
0,ss_skewness,last_30min,imu,0.5716847095024968
0,ss_skewness,last_30min,selfreport,1.0565037938658544
0,ss_skewness,last_hour,imu,1.2859991662758758
0,ss_skewness,last_hour,selfreport,2.509683042306083
0,ss_skewness,total,imu,4.112799281687224
0,ss_skewness,total,selfreport,3.736551210121832
0,ss_skewness_60,last_30min,imu,0.5333864264712328
0,ss_skewness_60,last_30min,selfreport,0.3168439777133886
0,ss_skewness_60,last_hour,imu,1.0753829789680032
0,ss_skewness_60,last_hour,selfreport,2.032114913055969
0,ss_skewness_60,total,imu,3.078612109188654
0,ss_skewness_60,total,selfreport,2.715644401551419
0,ss_std,last_30min,imu,184.07311983100388
0,ss_std,last_30min,selfreport,175.42557795089104
0,ss_std,last_hour,imu,137.78696495011232
0,ss_std,last_hour,selfreport,295.6297097408091
0,ss_std,total,imu,456.3046745171408
0,ss_std,total,selfreport,500.0456941999721
0,ss_std_60,last_30min,imu,152.9187496281982
0,ss_std_60,last_30min,selfreport,166.91882620060417
0,ss_std_60,last_hour,imu,126.58283621052772
0,ss_std_60,last_hour,selfreport,332.4768665170214
0,ss_std_60,total,imu,568.1527496394214
0,ss_std_60,total,selfreport,623.0932893770724
1,ss_max,last_30min,imu,416.328125
1,ss_max,last_30min,selfreport,444.257813
1,ss_max,last_hour,imu,942.421875
1,ss_max,last_hour,selfreport,942.421875
1,ss_max,total,imu,3257.03125
1,ss_max,total,selfreport,3256.523437
1,ss_max_60,last_30min,imu,416.328125
1,ss_max_60,last_30min,selfreport,444.257813
1,ss_max_60,last_hour,imu,942.421875
1,ss_max_60,last_hour,selfreport,942.421875
1,ss_max_60,total,imu,3257.03125
1,ss_max_60,total,selfreport,3256.523437
1,ss_max_position,last_30min,imu,0.5583146608338765
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.1094621025019147
1,ss_max_position,last_hour,selfreport,0.119759439569702
1,ss_max_position,total,imu,0.1853553741585761
1,ss_max_position,total,selfreport,0.1962932399286046
1,ss_mean,last_30min,imu,158.63636363636363
1,ss_mean,last_30min,selfreport,175.77734379999998
1,ss_mean,last_hour,imu,184.39144736842107
1,ss_mean,last_hour,selfreport,195.3168402222222
1,ss_mean,total,imu,325.1695884878049
1,ss_mean,total,selfreport,309.4248382873563
1,ss_mean_60,last_30min,imu,274.563802
1,ss_mean_60,last_30min,selfreport,280.1497396666667
1,ss_mean_60,last_hour,imu,337.109375
1,ss_mean_60,last_hour,selfreport,340.3085936
1,ss_mean_60,total,imu,500.5664063461539
1,ss_mean_60,total,selfreport,486.5285010555555
1,ss_median,last_30min,imu,116.71875
1,ss_median,last_30min,selfreport,130.1757815
1,ss_median,last_hour,imu,117.226562
1,ss_median,last_hour,selfreport,129.9218745
1,ss_median,total,imu,152.5195315
1,ss_median,total,selfreport,141.601562
1,ss_median_60,last_30min,imu,282.265625
1,ss_median_60,last_30min,selfreport,279.7265625
1,ss_median_60,last_hour,imu,198.730469
1,ss_median_60,last_hour,selfreport,211.6796875
1,ss_median_60,total,imu,362.7539065
1,ss_median_60,total,selfreport,317.55859350000003
1,ss_number,last_30min,imu,11.0
1,ss_number,last_30min,selfreport,10.0
1,ss_number,last_hour,imu,19.0
1,ss_number,last_hour,selfreport,18.0
1,ss_number,total,imu,82.0
1,ss_number,total,selfreport,87.0
1,ss_number_60,last_30min,imu,6.0
1,ss_number_60,last_30min,selfreport,6.0
1,ss_number_60,last_hour,imu,10.0
1,ss_number_60,last_hour,selfreport,10.0
1,ss_number_60,total,imu,52.0
1,ss_number_60,total,selfreport,54.0
1,ss_skewness,last_30min,imu,0.6548140733686735
1,ss_skewness,last_30min,selfreport,0.5553903760855026
1,ss_skewness,last_hour,imu,1.805147748553832
1,ss_skewness,last_hour,selfreport,1.7095710758547251
1,ss_skewness,total,imu,3.6009076482959124
1,ss_skewness,total,selfreport,3.713439600101052
1,ss_skewness_60,last_30min,imu,-0.0517229755617652
1,ss_skewness_60,last_30min,selfreport,0.0035649751020452
1,ss_skewness_60,last_hour,imu,1.3315907408475756
1,ss_skewness_60,last_hour,selfreport,1.333904495438354
1,ss_skewness_60,total,imu,3.121497589676597
1,ss_skewness_60,total,selfreport,3.175342224322868
1,ss_std,last_30min,imu,166.21462008498986
1,ss_std,last_30min,selfreport,174.4936905489185
1,ss_std,last_hour,imu,251.14138271024947
1,ss_std,last_hour,selfreport,255.1911432779929
1,ss_std,total,imu,529.3391849213913
1,ss_std,total,selfreport,520.2736063840125
1,ss_std_60,last_30min,imu,139.7074852434408
1,ss_std_60,last_30min,selfreport,147.89028115935335
1,ss_std_60,last_hour,imu,266.9420900282822
1,ss_std_60,last_hour,selfreport,265.103746863698
1,ss_std_60,total,imu,599.2665139576217
1,ss_std_60,total,selfreport,595.6510946220645
