night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1454.804688
0,ss_max,last_30min,selfreport,1454.804688
0,ss_max,last_hour,imu,2089.0625
0,ss_max,last_hour,selfreport,2060.625
0,ss_max,total,imu,3172.734375
0,ss_max,total,selfreport,4060.390625
0,ss_max_60,last_30min,imu,1454.804688
0,ss_max_60,last_30min,selfreport,1454.804688
0,ss_max_60,last_hour,imu,2089.0625
0,ss_max_60,last_hour,selfreport,2060.625
0,ss_max_60,total,imu,3172.734375
0,ss_max_60,total,selfreport,4060.390625
0,ss_max_position,last_30min,imu,0.1622187617935709
0,ss_max_position,last_30min,selfreport,0.1464200649657524
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.2326045584806372
0,ss_max_position,total,selfreport,0.0
0,ss_mean,last_30min,imu,352.75
0,ss_mean,last_30min,selfreport,347.97656240000003
0,ss_mean,last_hour,imu,712.6874998
0,ss_mean,last_hour,selfreport,707.9140623999999
0,ss_mean,total,imu,501.7857142857143
0,ss_mean,total,selfreport,612.2591145714285
0,ss_mean_60,last_30min,imu,871.8359375
0,ss_mean_60,last_30min,selfreport,857.6171875
0,ss_mean_60,last_hour,imu,1771.9335935
0,ss_mean_60,last_hour,selfreport,1757.7148435
0,ss_mean_60,total,imu,824.4884672380953
0,ss_mean_60,total,selfreport,1057.6741536666666
0,ss_median,last_30min,imu,8.046875
0,ss_median,last_30min,selfreport,12.617187
0,ss_median,last_hour,imu,8.046875
0,ss_median,last_hour,selfreport,12.617188
0,ss_median,total,imu,167.5
0,ss_median,total,selfreport,145.410156
0,ss_median_60,last_30min,imu,871.8359375
0,ss_median_60,last_30min,selfreport,857.6171875
0,ss_median_60,last_hour,imu,1771.9335935
0,ss_median_60,last_hour,selfreport,1757.7148435
0,ss_median_60,total,imu,324.414063
0,ss_median_60,total,selfreport,500.62500050000006
0,ss_number,last_30min,imu,5.0
0,ss_number,last_30min,selfreport,5.0
0,ss_number,last_hour,imu,5.0
0,ss_number,last_hour,selfreport,5.0
0,ss_number,total,imu,35.0
0,ss_number,total,selfreport,42.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_30min,selfreport,2.0
0,ss_number_60,last_hour,imu,2.0
0,ss_number_60,last_hour,selfreport,2.0
0,ss_number_60,total,imu,21.0
0,ss_number_60,total,selfreport,24.0
0,ss_skewness,last_30min,imu,1.3694698053778764
0,ss_skewness,last_30min,selfreport,1.3946128906444997
0,ss_skewness,last_hour,imu,0.5600657299425704
