night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,731.171875
0,ss_max,last_30min,selfreport,731.171875
0,ss_max,last_hour,imu,1156.71875
0,ss_max,last_hour,selfreport,1156.71875
0,ss_max,total,imu,2487.695313
0,ss_max,total,selfreport,2487.695312
0,ss_max_60,last_30min,imu,731.171875
0,ss_max_60,last_30min,selfreport,731.171875
0,ss_max_60,last_hour,imu,1156.71875
0,ss_max_60,last_hour,selfreport,1156.71875
0,ss_max_60,total,imu,2487.695313
0,ss_max_60,total,selfreport,2487.695312
0,ss_max_position,last_30min,imu,0.1605260448318632
0,ss_max_position,last_30min,selfreport,0.1506518590366974
0,ss_max_position,last_hour,imu,0.2588440182974119
0,ss_max_position,last_hour,selfreport,0.2539069387931011
0,ss_max_position,total,imu,0.4573344827932037
0,ss_max_position,total,selfreport,0.2187597430931444
0,ss_mean,last_30min,imu,294.5377603333333
0,ss_mean,last_30min,selfreport,294.5377603333333
0,ss_mean,last_hour,imu,507.80691971428575
0,ss_mean,last_hour,selfreport,507.8794642857143
0,ss_mean,total,imu,627.8388935945947
0,ss_mean,total,selfreport,537.3059895666667
0,ss_mean_60,last_30min,imu,294.5377603333333
0,ss_mean_60,last_30min,selfreport,294.5377603333333
0,ss_mean_60,last_hour,imu,507.80691971428575
0,ss_mean_60,last_hour,selfreport,507.8794642857143
0,ss_mean_60,total,imu,723.49121096875
0,ss_mean_60,total,selfreport,574.96512275
0,ss_median,last_30min,imu,270.5859375
0,ss_median,last_30min,selfreport,270.5859375
0,ss_median,last_hour,imu,356.40625
0,ss_median,last_hour,selfreport,355.898437
0,ss_median,total,imu,356.40625
0,ss_median,total,selfreport,366.0546875
0,ss_median_60,last_30min,imu,270.5859375
0,ss_median_60,last_30min,selfreport,270.5859375
0,ss_median_60,last_hour,imu,356.40625
0,ss_median_60,last_hour,selfreport,355.898437
0,ss_median_60,total,imu,386.621094
0,ss_median_60,total,selfreport,378.4960935
0,ss_number,last_30min,imu,6.0
0,ss_number,last_30min,selfreport,6.0
0,ss_number,last_hour,imu,7.0
0,ss_number,last_hour,selfreport,7.0
0,ss_number,total,imu,37.0
0,ss_number,total,selfreport,30.0
0,ss_number_60,last_30min,imu,6.0
0,ss_number_60,last_30min,selfreport,6.0
0,ss_number_60,last_hour,imu,7.0
0,ss_number_60,last_hour,selfreport,7.0
0,ss_number_60,total,imu,32.0
0,ss_number_60,total,selfreport,28.0
0,ss_skewness,last_30min,imu,0.9145856462131664
0,ss_skewness,last_30min,selfreport,0.9157082588781332
0,ss_skewness,last_hour,imu,0.3722350256814035
0,ss_skewness,last_hour,selfreport,0.3720472678011721
0,ss_skewness,total,imu,1.2957813921444996
0,ss_skewness,total,selfreport,1.9130636772232348
0,ss_skewness_60,last_30min,imu,0.9145856462131664
0,ss_skewness_60,last_30min,selfreport,0.9157082588781332
0,ss_skewness_60,last_hour,imu,0.3722350256814035
0,ss_skewness_60,last_hour,selfreport,0.3720472678011721
0,ss_skewness_60,total,imu,1.1703724292159114
0,ss_skewness_60,total,selfreport,1.924058510910628
0,ss_std,last_30min,imu,243.9302948947335
0,ss_std,last_30min,selfreport,243.79219072427767
0,ss_std,last_hour,imu,430.6521890391376
0,ss_std,last_hour,selfreport,426.0650486170058
0,ss_std,total,imu,684.1045874822387
0,ss_std,total,selfreport,534.2735878871075
0,ss_std_60,last_30min,imu,243.9302948947335
0,ss_std_60,last_30min,selfreport,243.79219072427767
0,ss_std_60,last_hour,imu,430.6521890391376
0,ss_std_60,last_hour,selfreport,426.0650486170058
0,ss_std_60,total,imu,688.1759156241519
0,ss_std_60,total,selfreport,533.4140956909823
