night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1354.765625
0,ss_max,last_30min,selfreport,1263.359375
0,ss_max,last_hour,imu,1643.203125
0,ss_max,last_hour,selfreport,1487.304688
0,ss_max,total,imu,2534.414062
0,ss_max,total,selfreport,2438.4375
0,ss_max_60,last_30min,imu,1354.765625
0,ss_max_60,last_30min,selfreport,1263.359375
0,ss_max_60,last_hour,imu,1643.203125
0,ss_max_60,last_hour,selfreport,1487.304688
0,ss_max_60,total,imu,2534.414062
0,ss_max_60,total,selfreport,2438.4375
0,ss_max_position,last_30min,imu,0.0358291871710232
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.0
0,ss_max_position,total,selfreport,0.0
0,ss_mean,last_30min,imu,595.5859373333334
0,ss_mean,last_30min,selfreport,889.609375
0,ss_mean,last_hour,imu,894.1796875
0,ss_mean,last_hour,selfreport,890.371094
0,ss_mean,total,imu,638.07210275
0,ss_mean,total,selfreport,641.7968750833334
0,ss_mean_60,last_30min,imu,864.7265625
0,ss_mean_60,last_30min,selfreport,889.609375
0,ss_mean_60,last_hour,imu,894.1796875
0,ss_mean_60,last_hour,selfreport,890.371094
0,ss_mean_60,total,imu,1268.8590493333334
0,ss_mean_60,total,selfreport,1276.3085938333334
0,ss_median,last_30min,imu,374.6875
0,ss_median,last_30min,selfreport,889.609375
0,ss_median,last_hour,imu,865.234375
0,ss_median,last_hour,selfreport,935.5664065
0,ss_median,total,imu,107.832031
0,ss_median,total,selfreport,107.8320315
0,ss_median_60,last_30min,imu,864.7265625
0,ss_median_60,last_30min,selfreport,889.609375
0,ss_median_60,last_hour,imu,865.234375
0,ss_median_60,last_hour,selfreport,935.5664065
0,ss_median_60,total,imu,1215.117187
0,ss_median_60,total,selfreport,1215.117188
0,ss_number,last_30min,imu,3.0
0,ss_number,last_30min,selfreport,2.0
0,ss_number,last_hour,imu,4.0
0,ss_number,last_hour,selfreport,4.0
0,ss_number,total,imu,12.0
0,ss_number,total,selfreport,12.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_30min,selfreport,2.0
0,ss_number_60,last_hour,imu,4.0
0,ss_number_60,last_hour,selfreport,4.0
0,ss_number_60,total,imu,6.0
0,ss_number_60,total,selfreport,6.0
0,ss_skewness,last_30min,imu,0.53600682754021
0,ss_skewness,last_30min,selfreport,0.0
0,ss_skewness,last_hour,imu,0.0515636157212026
0,ss_skewness,last_hour,selfreport,-0.0992787816156887
0,ss_skewness,total,imu,1.1040785811584457
0,ss_skewness,total,selfreport,1.0375394934256508
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,0.0515636157212026
0,ss_skewness_60,last_hour,selfreport,-0.0992787816156887
0,ss_skewness_60,total,imu,0.1723044993953771
0,ss_skewness_60,total,selfreport,0.1298933663496677
0,ss_std,last_30min,imu,676.3492523254472
0,ss_std,last_30min,selfreport,528.5623189369443
0,ss_std,last_hour,imu,711.958075357849
0,ss_std,last_hour,selfreport,628.5267204064719
0,ss_std,total,imu,904.4491010802678
0,ss_std,total,selfreport,883.6480582207636
0,ss_std_60,last_30min,imu,693.0198882800968
0,ss_std_60,last_30min,selfreport,528.5623189369443
0,ss_std_60,last_hour,imu,711.958075357849
0,ss_std_60,last_hour,selfreport,628.5267204064719
0,ss_std_60,total,imu,919.0828424619624
0,ss_std_60,total,selfreport,866.9341178421754
1,ss_max,last_30min,imu,1320.234375
1,ss_max,last_30min,selfreport,1501.015625
1,ss_max,last_hour,imu,1595.976562
1,ss_max,last_hour,selfreport,1595.976563
1,ss_max,total,imu,3575.429687
1,ss_max,total,selfreport,3575.429687
1,ss_max_60,last_30min,imu,1320.234375
1,ss_max_60,last_30min,selfreport,1501.015625
1,ss_max_60,last_hour,imu,1595.976562
1,ss_max_60,last_hour,selfreport,1595.976563
1,ss_max_60,total,imu,3575.429687
1,ss_max_60,total,selfreport,3575.429687
1,ss_max_position,last_30min,imu,0.0
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.4233192908711651
1,ss_max_position,last_hour,selfreport,0.4736775001279968
1,ss_max_position,total,imu,0.4060548569885356
1,ss_max_position,total,selfreport,0.4368938577586206
1,ss_mean,last_30min,imu,444.892578
1,ss_mean,last_30min,selfreport,444.638672
1,ss_mean,last_hour,imu,444.067382875
1,ss_mean,last_hour,selfreport,394.4357641111111
1,ss_mean,total,imu,677.7171415294117
1,ss_mean,total,selfreport,424.0450612857143
1,ss_mean_60,last_30min,imu,589.661458
1,ss_mean_60,last_30min,selfreport,589.4921876666666
1,ss_mean_60,last_hour,imu,585.2604168333334
1,ss_mean_60,last_hour,selfreport,501.1328128571428
1,ss_mean_60,total,imu,765.1445312
1,ss_mean_60,total,selfreport,688.9487591470588
1,ss_median,last_30min,imu,224.3749995
1,ss_median,last_30min,selfreport,133.730469
1,ss_median,last_hour,imu,337.871094
1,ss_median,last_hour,selfreport,150.742188
1,ss_median,total,imu,390.4296875
1,ss_median,total,selfreport,150.2343745
1,ss_median_60,last_30min,imu,298.007812
1,ss_median_60,last_30min,selfreport,150.742188
1,ss_median_60,last_hour,imu,454.921875
1,ss_median_60,last_hour,selfreport,377.734375
1,ss_median_60,total,imu,451.1132815
1,ss_median_60,total,selfreport,408.203125
1,ss_number,last_30min,imu,4.0
1,ss_number,last_30min,selfreport,4.0
1,ss_number,last_hour,imu,8.0
1,ss_number,last_hour,selfreport,9.0
1,ss_number,total,imu,34.0
1,ss_number,total,selfreport,56.0
1,ss_number_60,last_30min,imu,3.0
1,ss_number_60,last_30min,selfreport,3.0
1,ss_number_60,last_hour,imu,6.0
1,ss_number_60,last_hour,selfreport,7.0
1,ss_number_60,total,imu,30.0
1,ss_number_60,total,selfreport,34.0
1,ss_skewness,last_30min,imu,1.0223069870206576
1,ss_skewness,last_30min,selfreport,1.129488880293741
1,ss_skewness,last_hour,imu,1.557039937356535
1,ss_skewness,last_hour,selfreport,1.715008172122836
1,ss_skewness,total,imu,1.981961357408287
1,ss_skewness,total,selfreport,2.557674299378414
1,ss_skewness_60,last_30min,imu,0.6648227250761729
1,ss_skewness_60,last_30min,selfreport,0.7056300164436599
1,ss_skewness_60,last_hour,imu,1.4497940719609697
1,ss_skewness_60,last_hour,selfreport,1.5000225222749142
1,ss_skewness_60,total,imu,1.9099150447516768
1,ss_skewness_60,total,selfreport,2.006195264972108
1,ss_std,last_30min,imu,595.2436773097235
1,ss_std,last_30min,selfreport,706.7959994205191
1,ss_std,last_hour,imu,509.6534607754725
1,ss_std,last_hour,selfreport,497.1159814573107
1,ss_std,total,imu,781.742250069443
1,ss_std,total,selfreport,680.8707913525949
1,ss_std_60,last_30min,imu,636.9649765623514
1,ss_std_60,last_30min,selfreport,789.5857339069117
1,ss_std_60,last_hour,imu,517.6018662536692
1,ss_std_60,last_hour,selfreport,519.3222270092932
1,ss_std_60,total,imu,792.5849548737377
1,ss_std_60,total,selfreport,767.1646694287018
