night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,700.195312
0,ss_max,last_30min,selfreport,700.195312
0,ss_max,last_hour,imu,1303.984375
0,ss_max,last_hour,selfreport,1303.476563
0,ss_max,total,imu,1933.671875
0,ss_max,total,selfreport,1933.164063
0,ss_max_60,last_30min,imu,700.195312
0,ss_max_60,last_30min,selfreport,700.195312
0,ss_max_60,last_hour,imu,1303.984375
0,ss_max_60,last_hour,selfreport,1303.476563
0,ss_max_60,total,imu,1933.671875
0,ss_max_60,total,selfreport,1933.164063
0,ss_max_position,last_30min,imu,0.5459013995961491
0,ss_max_position,last_30min,selfreport,0.5549292260466069
0,ss_max_position,last_hour,imu,0.2832472961647484
0,ss_max_position,last_hour,selfreport,0.2877611972189141
0,ss_max_position,total,imu,0.5967187338514968
0,ss_max_position,total,selfreport,0.5769688127309237
0,ss_mean,last_30min,imu,247.80691971428567
0,ss_mean,last_30min,selfreport,250.05580357142853
0,ss_mean,last_hour,imu,352.44531270000004
0,ss_mean,last_hour,selfreport,354.0703126
0,ss_mean,total,imu,325.08257516455694
0,ss_mean,total,selfreport,326.2557291333333
0,ss_mean_60,last_30min,imu,555.2994789999999
0,ss_mean_60,last_30min,selfreport,560.7161456666666
0,ss_mean_60,last_hour,imu,576.0351566666667
0,ss_mean_60,last_hour,selfreport,578.6588541666666
0,ss_mean_60,total,imu,518.3349609583333
0,ss_mean_60,total,selfreport,539.17258525
0,ss_median,last_30min,imu,43.59375
0,ss_median,last_30min,selfreport,43.59375
0,ss_median,last_hour,imu,299.5312505
0,ss_median,last_hour,selfreport,300.0390625
0,ss_median,total,imu,176.640625
0,ss_median,total,selfreport,129.414062
0,ss_median_60,last_30min,imu,523.476563
0,ss_median_60,last_30min,selfreport,539.726563
0,ss_median_60,last_hour,imu,426.4843755
0,ss_median_60,last_hour,selfreport,434.1015625
0,ss_median_60,total,imu,358.4375005
0,ss_median_60,total,selfreport,422.421875
0,ss_number,last_30min,imu,7.0
0,ss_number,last_30min,selfreport,7.0
0,ss_number,last_hour,imu,10.0
0,ss_number,last_hour,selfreport,10.0
0,ss_number,total,imu,79.0
0,ss_number,total,selfreport,75.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,6.0
0,ss_number_60,last_hour,selfreport,6.0
0,ss_number_60,total,imu,48.0
0,ss_number_60,total,selfreport,44.0
0,ss_skewness,last_30min,imu,0.4852028313174472
0,ss_skewness,last_30min,selfreport,0.4738322260668964
0,ss_skewness,last_hour,imu,1.2910569652678263
0,ss_skewness,last_hour,selfreport,1.2760834177225588
0,ss_skewness,total,imu,1.985658456609341
0,ss_skewness,total,selfreport,1.9114936158784035
0,ss_skewness_60,last_30min,imu,0.4174445663482244
