night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1795.039063
0,ss_max,last_hour,imu,2396.796875
0,ss_max,total,imu,3028.007813
0,ss_max_60,last_30min,imu,1795.039063
0,ss_max_60,last_hour,imu,2396.796875
0,ss_max_60,total,imu,3028.007813
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_hour,imu,0.3327591492758591
0,ss_max_position,total,imu,0.0
0,ss_mean,last_30min,imu,1795.039063
0,ss_mean,last_hour,imu,894.94140625
0,ss_mean,total,imu,774.2697011739131
0,ss_mean_60,last_30min,imu,1795.039063
0,ss_mean_60,last_hour,imu,894.94140625
0,ss_mean_60,total,imu,847.4125745238096
0,ss_median,last_30min,imu,1795.039063
0,ss_median,last_hour,imu,401.855469
0,ss_median,total,imu,441.71875
0,ss_median_60,last_30min,imu,1795.039063
0,ss_median_60,last_hour,imu,401.855469
0,ss_median_60,total,imu,523.984375
0,ss_number,last_30min,imu,1.0
0,ss_number,last_hour,imu,4.0
0,ss_number,total,imu,23.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_hour,imu,4.0
0,ss_number_60,total,imu,21.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_hour,imu,1.1533410803631956
0,ss_skewness,total,imu,1.4940969072561918
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_hour,imu,1.1533410803631956
0,ss_skewness_60,total,imu,1.4503930709446309
0,ss_std,last_hour,imu,1001.434447102724
0,ss_std,total,imu,813.2781142431636
0,ss_std_60,last_hour,imu,1001.434447102724
0,ss_std_60,total,imu,814.225680625478
