night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,640.273438
0,ss_max,last_30min,selfreport,640.273438
0,ss_max,last_hour,imu,1718.359375
0,ss_max,last_hour,selfreport,1717.851562
0,ss_max,total,imu,2206.367188
0,ss_max,total,selfreport,1818.90625
0,ss_max_60,last_30min,imu,640.273438
0,ss_max_60,last_30min,selfreport,640.273438
0,ss_max_60,last_hour,imu,1718.359375
0,ss_max_60,last_hour,selfreport,1717.851562
0,ss_max_60,total,imu,2206.367188
0,ss_max_60,total,selfreport,1818.90625
0,ss_max_position,last_30min,imu,0.1444452280598066
0,ss_max_position,last_30min,selfreport,0.0750438098904464
0,ss_max_position,last_hour,imu,0.0932402704142335
0,ss_max_position,last_hour,selfreport,0.058539655455482
0,ss_max_position,total,imu,0.1195383795389049
0,ss_max_position,total,selfreport,0.2724696180555555
0,ss_mean,last_30min,imu,353.2578126
0,ss_mean,last_30min,selfreport,191.59288200000003
0,ss_mean,last_hour,imu,507.95200885714286
0,ss_mean,last_hour,selfreport,319.4744319090909
0,ss_mean,total,imu,664.2225303548388
0,ss_mean,total,selfreport,659.4386573703704
0,ss_mean_60,last_30min,imu,353.2578126
0,ss_mean_60,last_30min,selfreport,334.06250020000004
0,ss_mean_60,last_hour,imu,507.95200885714286
0,ss_mean_60,last_hour,selfreport,571.5494791666666
0,ss_mean_60,total,imu,707.9350755517241
0,ss_mean_60,total,selfreport,805.0585936818181
0,ss_median,last_30min,imu,253.828125
0,ss_median,last_30min,selfreport,128.90625
0,ss_median,last_hour,imu,170.546875
0,ss_median,last_hour,selfreport,152.265625
0,ss_median,total,imu,432.578125
0,ss_median,total,selfreport,546.328125
0,ss_median_60,last_30min,imu,253.828125
0,ss_median_60,last_30min,selfreport,177.148437
0,ss_median_60,last_hour,imu,170.546875
0,ss_median_60,last_hour,selfreport,374.6875
0,ss_median_60,total,imu,546.328125
0,ss_median_60,total,selfreport,606.25
0,ss_number,last_30min,imu,5.0
0,ss_number,last_30min,selfreport,9.0
0,ss_number,last_hour,imu,7.0
0,ss_number,last_hour,selfreport,11.0
0,ss_number,total,imu,31.0
0,ss_number,total,selfreport,27.0
0,ss_number_60,last_30min,imu,5.0
0,ss_number_60,last_30min,selfreport,5.0
0,ss_number_60,last_hour,imu,7.0
