night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,502.148437
0,ss_max,last_30min,selfreport,502.148438
0,ss_max,last_hour,imu,665.15625
0,ss_max,last_hour,selfreport,767.734375
0,ss_max,total,imu,1481.71875
0,ss_max,total,selfreport,1481.71875
0,ss_max_60,last_30min,imu,502.148437
0,ss_max_60,last_30min,selfreport,502.148438
0,ss_max_60,last_hour,imu,665.15625
0,ss_max_60,last_hour,selfreport,767.734375
0,ss_max_60,total,imu,1481.71875
0,ss_max_60,total,selfreport,1481.71875
0,ss_max_position,last_30min,imu,0.6192524916669895
0,ss_max_position,last_30min,selfreport,0.6765227673582351
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.0962993309932789
0,ss_max_position,total,selfreport,0.102254971590909
0,ss_mean,last_30min,imu,71.3753255
0,ss_mean,last_30min,selfreport,63.54890040740741
0,ss_mean,last_hour,imu,73.86629972727273
0,ss_mean,last_hour,selfreport,73.87784088636364
0,ss_mean,total,imu,262.2173947653061
0,ss_mean,total,selfreport,255.00464107920791
0,ss_mean_60,last_30min,imu,184.892578
0,ss_mean_60,last_30min,selfreport,172.006836
0,ss_mean_60,last_hour,imu,221.2434895833333
0,ss_mean_60,last_hour,selfreport,208.828125
0,ss_mean_60,total,imu,435.5091831403509
0,ss_mean_60,total,selfreport,428.4630926896552
0,ss_median,last_30min,imu,21.7578125
0,ss_median,last_30min,selfreport,22.265625
0,ss_median,last_hour,imu,22.5195315
0,ss_median,last_hour,selfreport,22.519531
0,ss_median,total,imu,93.8671875
0,ss_median,total,selfreport,89.296875
0,ss_median_60,last_30min,imu,171.816406
0,ss_median_60,last_30min,selfreport,132.714844
0,ss_median_60,last_hour,imu,172.070313
0,ss_median_60,last_hour,selfreport,95.390625
0,ss_median_60,total,imu,326.953125
0,ss_median_60,total,selfreport,324.1601565
0,ss_number,last_30min,imu,24.0
0,ss_number,last_30min,selfreport,27.0
0,ss_number,last_hour,imu,44.0
0,ss_number,last_hour,selfreport,44.0
0,ss_number,total,imu,98.0
0,ss_number,total,selfreport,101.0
0,ss_number_60,last_30min,imu,8.0
0,ss_number_60,last_30min,selfreport,8.0
0,ss_number_60,last_hour,imu,12.0
0,ss_number_60,last_hour,selfreport,13.0
0,ss_number_60,total,imu,57.0
0,ss_number_60,total,selfreport,58.0
0,ss_skewness,last_30min,imu,2.551931290138389
0,ss_skewness,last_30min,selfreport,2.9841185199975406
