night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1106.445312
0,ss_max,last_30min,selfreport,1128.28125
0,ss_max,last_hour,imu,1106.953125
0,ss_max,last_hour,selfreport,1128.789063
0,ss_max,total,imu,3471.328125
0,ss_max,total,selfreport,3748.085938
0,ss_max_60,last_30min,imu,1106.445312
0,ss_max_60,last_30min,selfreport,1128.28125
0,ss_max_60,last_hour,imu,1106.953125
0,ss_max_60,last_hour,selfreport,1128.789063
0,ss_max_60,total,imu,3471.328125
0,ss_max_60,total,selfreport,3748.085938
0,ss_max_position,last_30min,imu,0.3850932352419123
0,ss_max_position,last_30min,selfreport,0.3729620927637977
0,ss_max_position,last_hour,imu,0.6924606457995017
0,ss_max_position,last_hour,selfreport,0.686395091013351
0,ss_max_position,total,imu,0.0
0,ss_max_position,total,selfreport,0.0052305797551368
0,ss_mean,last_30min,imu,895.957031
0,ss_mean,last_30min,selfreport,895.9570315000001
0,ss_mean,last_hour,imu,895.322266
0,ss_mean,last_hour,selfreport,895.1953125
0,ss_mean,total,imu,636.4855956666667
0,ss_mean,total,selfreport,577.812500037037
0,ss_mean_60,last_30min,imu,895.957031
0,ss_mean_60,last_30min,selfreport,895.9570315000001
0,ss_mean_60,last_hour,imu,895.322266
0,ss_mean_60,last_hour,selfreport,895.1953125
0,ss_mean_60,total,imu,893.2232307058823
0,ss_mean_60,total,selfreport,910.847886
0,ss_median,last_30min,imu,895.957031
0,ss_median,last_30min,selfreport,895.9570315000001
0,ss_median,last_hour,imu,969.8437505
0,ss_median,last_hour,selfreport,958.671875
0,ss_median,total,imu,259.16015600000003
0,ss_median,total,selfreport,185.78125
0,ss_median_60,last_30min,imu,895.957031
0,ss_median_60,last_30min,selfreport,895.9570315000001
0,ss_median_60,last_hour,imu,969.8437505
0,ss_median_60,last_hour,selfreport,958.671875
0,ss_median_60,total,imu,534.648437
0,ss_median_60,total,selfreport,534.648438
0,ss_number,last_30min,imu,2.0
0,ss_number,last_30min,selfreport,2.0
0,ss_number,last_hour,imu,4.0
0,ss_number,last_hour,selfreport,4.0
0,ss_number,total,imu,24.0
0,ss_number,total,selfreport,27.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_30min,selfreport,2.0
0,ss_number_60,last_hour,imu,4.0
0,ss_number_60,last_hour,selfreport,4.0
0,ss_number_60,total,imu,17.0
0,ss_number_60,total,selfreport,17.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,-7.427055602939148e-16
0,ss_skewness,last_hour,imu,-0.6632826776612518
0,ss_skewness,last_hour,selfreport,-0.551118041880374
0,ss_skewness,total,imu,1.9464000997570885
0,ss_skewness,total,selfreport,2.236682648886789
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,-7.427055602939148e-16
0,ss_skewness_60,last_hour,imu,-0.6632826776612518
0,ss_skewness_60,last_hour,selfreport,-0.551118041880374
0,ss_skewness_60,total,imu,1.6269688721660338
0,ss_skewness_60,total,selfreport,1.7596504787455538
0,ss_std,last_30min,imu,297.6753817107991
0,ss_std,last_30min,selfreport,328.55606067043027
0,ss_std,last_hour,imu,263.6338886712273
0,ss_std,last_hour,selfreport,270.7407478866285
