night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,487.929687
0,ss_max,last_30min,selfreport,487.929688
0,ss_max,last_hour,imu,1818.90625
0,ss_max,last_hour,selfreport,1818.398438
0,ss_max,total,imu,2458.75
0,ss_max,total,selfreport,2458.75
0,ss_max_60,last_30min,imu,487.929687
0,ss_max_60,last_30min,selfreport,487.929688
0,ss_max_60,last_hour,imu,1818.90625
0,ss_max_60,last_hour,selfreport,1818.398438
0,ss_max_60,total,imu,2458.75
0,ss_max_60,total,selfreport,2458.75
0,ss_max_position,last_30min,imu,0.5374378117112396
0,ss_max_position,last_30min,selfreport,0.5253066692331251
0,ss_max_position,last_hour,imu,0.0692601706459906
0,ss_max_position,last_hour,selfreport,0.0631946158598399
0,ss_max_position,total,imu,0.2734699321081221
0,ss_max_position,total,selfreport,0.2839612268518519
0,ss_mean,last_30min,imu,156.6512782727273
0,ss_mean,last_30min,selfreport,154.57386372727274
0,ss_mean,last_hour,imu,293.0989583333333
0,ss_mean,last_hour,selfreport,291.15234375
0,ss_mean,total,imu,330.7520767088607
0,ss_mean,total,selfreport,319.4521837228916
0,ss_mean_60,last_30min,imu,276.67968733333333
0,ss_mean_60,last_30min,selfreport,272.871094
0,ss_mean_60,last_hour,imu,493.4430804285715
0,ss_mean_60,last_hour,selfreport,490.1785715714286
0,ss_mean_60,total,imu,483.5701650943397
0,ss_mean_60,total,selfreport,480.368923537037
0,ss_median,last_30min,imu,127.890625
0,ss_median,last_30min,selfreport,127.890625
0,ss_median,last_hour,imu,128.6523435
0,ss_median,last_hour,selfreport,128.398438
0,ss_median,total,imu,153.789063
0,ss_median,total,selfreport,140.585938
0,ss_median_60,last_30min,imu,251.0351565
0,ss_median_60,last_30min,selfreport,240.117188
0,ss_median_60,last_hour,imu,243.164063
0,ss_median_60,last_hour,selfreport,234.023437
0,ss_median_60,total,imu,269.570312
0,ss_median_60,total,selfreport,269.5703125
0,ss_number,last_30min,imu,11.0
0,ss_number,last_30min,selfreport,11.0
0,ss_number,last_hour,imu,12.0
0,ss_number,last_hour,selfreport,12.0
0,ss_number,total,imu,79.0
0,ss_number,total,selfreport,83.0
0,ss_number_60,last_30min,imu,6.0
0,ss_number_60,last_30min,selfreport,6.0
0,ss_number_60,last_hour,imu,7.0
0,ss_number_60,last_hour,selfreport,7.0
0,ss_number_60,total,imu,53.0
0,ss_number_60,total,selfreport,54.0
0,ss_skewness,last_30min,imu,0.8061071997386196
0,ss_skewness,last_30min,selfreport,0.8472490610265796
0,ss_skewness,last_hour,imu,2.498419701624623
0,ss_skewness,last_hour,selfreport,2.505601154212186
0,ss_skewness,total,imu,2.5615725581864868
0,ss_skewness,total,selfreport,2.623060797957766
0,ss_skewness_60,last_30min,imu,0.36700976396045
0,ss_skewness_60,last_30min,selfreport,0.4416524836338905
0,ss_skewness_60,last_hour,imu,1.8324564333065472
0,ss_skewness_60,last_hour,selfreport,1.830856476472978
0,ss_skewness_60,total,imu,2.1062035919122204
0,ss_skewness_60,total,selfreport,2.1244032046456227
0,ss_std,last_30min,imu,173.0549112669436
0,ss_std,last_30min,selfreport,171.70797429441004
0,ss_std,last_hour,imu,507.6017756789407
0,ss_std,last_hour,selfreport,507.73569924968416
0,ss_std,total,imu,507.0106551125894
0,ss_std,total,selfreport,498.4283798303504
0,ss_std_60,last_30min,imu,147.5584640664983
0,ss_std_60,last_30min,selfreport,148.08521271214744
0,ss_std_60,last_hour,imu,599.9270044663779
0,ss_std_60,last_hour,selfreport,601.3640653314379
0,ss_std_60,total,imu,559.6078634883078
0,ss_std_60,total,selfreport,555.6344724730261
1,ss_max,last_30min,imu,729.648437
1,ss_max,last_30min,selfreport,729.648438
