night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,782.96875
0,ss_max,last_30min,selfreport,759.609375
0,ss_max,last_hour,imu,1345.117188
0,ss_max,last_hour,selfreport,759.609375
0,ss_max,total,imu,3404.804688
0,ss_max,total,selfreport,3404.804688
0,ss_max_60,last_30min,imu,782.96875
0,ss_max_60,last_30min,selfreport,759.609375
0,ss_max_60,last_hour,imu,1345.117188
0,ss_max_60,last_hour,selfreport,759.609375
0,ss_max_60,total,imu,3404.804688
0,ss_max_60,total,selfreport,3404.804688
0,ss_max_position,last_30min,imu,0.0104384249617887
0,ss_max_position,last_30min,selfreport,0.4375674779355497
0,ss_max_position,last_hour,imu,0.1294925387485113
0,ss_max_position,last_hour,selfreport,0.7188387556053576
0,ss_max_position,total,imu,0.5905049164793812
0,ss_max_position,total,selfreport,0.5104263875358506
0,ss_mean,last_30min,imu,294.3684896666667
0,ss_mean,last_30min,selfreport,185.89409722222223
0,ss_mean,last_hour,imu,394.7178818888889
0,ss_mean,last_hour,selfreport,142.57302986956523
0,ss_mean,total,imu,577.0657168235293
0,ss_mean,total,selfreport,389.6592133103448
0,ss_mean_60,last_30min,imu,435.75195325
0,ss_mean_60,last_30min,selfreport,403.50585925
0,ss_mean_60,last_hour,imu,504.90513385714286
0,ss_mean_60,last_hour,selfreport,374.7509765
0,ss_mean_60,total,imu,808.0631509583333
0,ss_mean_60,total,selfreport,734.2187499333334
0,ss_median,last_30min,imu,219.8046875
0,ss_median,last_30min,selfreport,14.140625
0,ss_median,last_hour,imu,281.757812
0,ss_median,last_hour,selfreport,23.28125
0,ss_median,total,imu,342.1874995
0,ss_median,total,selfreport,85.4882815
0,ss_median_60,last_30min,imu,401.09375050000006
0,ss_median_60,last_30min,selfreport,360.2148435
0,ss_median_60,last_hour,imu,293.4375
0,ss_median_60,last_hour,selfreport,195.175781
0,ss_median_60,total,imu,597.3632815000001
0,ss_median_60,total,selfreport,597.3632809999999
0,ss_number,last_30min,imu,6.0
0,ss_number,last_30min,selfreport,9.0
0,ss_number,last_hour,imu,9.0
0,ss_number,last_hour,selfreport,23.0
0,ss_number,total,imu,34.0
0,ss_number,total,selfreport,58.0
0,ss_number_60,last_30min,imu,4.0
0,ss_number_60,last_30min,selfreport,4.0
0,ss_number_60,last_hour,imu,7.0
0,ss_number_60,last_hour,selfreport,8.0
0,ss_number_60,total,imu,24.0
0,ss_number_60,total,selfreport,30.0
0,ss_skewness,last_30min,imu,0.6142893194178068
