night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,558.515625
0,ss_max,last_30min,selfreport,665.664062
0,ss_max,last_hour,imu,711.367187
0,ss_max,last_hour,selfreport,852.539062
0,ss_max,total,imu,2165.742187
0,ss_max,total,selfreport,2018.984375
0,ss_max_60,last_30min,imu,558.515625
0,ss_max_60,last_30min,selfreport,665.664062
0,ss_max_60,last_hour,imu,711.367187
0,ss_max_60,last_hour,selfreport,852.539062
0,ss_max_60,total,imu,2165.742187
0,ss_max_60,total,selfreport,2018.984375
0,ss_max_position,last_30min,imu,0.593861728696468
0,ss_max_position,last_30min,selfreport,0.0719404947216283
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.2258361161915762
0,ss_max_position,total,imu,0.0
0,ss_max_position,total,selfreport,0.180560789641311
0,ss_mean,last_30min,imu,127.1875
0,ss_mean,last_30min,selfreport,356.7109376
0,ss_mean,last_hour,imu,202.30009182352936
0,ss_mean,last_hour,selfreport,397.25694433333337
0,ss_mean,total,imu,460.7123480694445
0,ss_mean,total,selfreport,525.3496414098361
0,ss_mean_60,last_30min,imu,308.875
0,ss_mean_60,last_30min,selfreport,356.7109376
0,ss_mean_60,last_hour,imu,369.9479164444445
0,ss_mean_60,last_hour,selfreport,446.035156125
0,ss_mean_60,total,imu,608.1401909444445
0,ss_mean_60,total,selfreport,624.043351745098
0,ss_median,last_30min,imu,21.25
0,ss_median,last_30min,selfreport,277.1875
0,ss_median,last_hour,imu,114.179688
0,ss_median,last_hour,selfreport,276.679687
0,ss_median,total,imu,257.636719
0,ss_median,total,selfreport,338.125
0,ss_median_60,last_30min,imu,276.679687
0,ss_median_60,last_30min,selfreport,277.1875
0,ss_median_60,last_hour,imu,277.1875
0,ss_median_60,last_hour,selfreport,414.0429685
0,ss_median_60,total,imu,426.484375
0,ss_median_60,total,selfreport,441.71875
0,ss_number,last_30min,imu,13.0
0,ss_number,last_30min,selfreport,5.0
0,ss_number,last_hour,imu,17.0
0,ss_number,last_hour,selfreport,9.0
0,ss_number,total,imu,72.0
0,ss_number,total,selfreport,61.0
0,ss_number_60,last_30min,imu,5.0
0,ss_number_60,last_30min,selfreport,5.0
0,ss_number_60,last_hour,imu,9.0
0,ss_number_60,last_hour,selfreport,8.0
0,ss_number_60,total,imu,54.0
0,ss_number_60,total,selfreport,51.0
0,ss_skewness,last_30min,imu,1.372205537599369
0,ss_skewness,last_30min,selfreport,0.3397858638053098
0,ss_skewness,last_hour,imu,1.043893384776964
0,ss_skewness,last_hour,selfreport,0.2766700721429483
0,ss_skewness,total,imu,1.5685179600960824
0,ss_skewness,total,selfreport,1.326016212585638
0,ss_skewness_60,last_30min,imu,0.4902549879447725
0,ss_skewness_60,last_30min,selfreport,0.3397858638053098
0,ss_skewness_60,last_hour,imu,0.2504821962484396
0,ss_skewness_60,last_hour,selfreport,0.1678527687927237
0,ss_skewness_60,total,imu,1.333188432654878
0,ss_skewness_60,total,selfreport,1.203801116181574
0,ss_std,last_30min,imu,179.50645598078793
0,ss_std,last_30min,selfreport,239.82103237256763
0,ss_std,last_hour,imu,253.53566464074703
0,ss_std,last_hour,selfreport,322.34447041188616
0,ss_std,total,imu,545.1051690070005
0,ss_std,total,selfreport,548.0516896195641
0,ss_std_60,last_30min,imu,171.89156826231394
0,ss_std_60,last_30min,selfreport,239.82103237256763
0,ss_std_60,last_hour,imu,247.6627384800622
0,ss_std_60,last_hour,selfreport,307.04514715924137
0,ss_std_60,total,imu,556.2482929055427
0,ss_std_60,total,selfreport,547.5134898609361
1,ss_max,last_30min,imu,389.414063
1,ss_max,last_30min,selfreport,446.796875
1,ss_max,last_hour,imu,1106.953125
1,ss_max,last_hour,selfreport,1179.0625
1,ss_max,total,imu,2119.53125
1,ss_max,total,selfreport,2343.984375
1,ss_max_60,last_30min,imu,389.414063
1,ss_max_60,last_30min,selfreport,446.796875
1,ss_max_60,last_hour,imu,1106.953125
1,ss_max_60,last_hour,selfreport,1179.0625
1,ss_max_60,total,imu,2119.53125
1,ss_max_60,total,selfreport,2343.984375
1,ss_max_position,last_30min,imu,0.2671672478640792
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.0
1,ss_max_position,last_hour,selfreport,0.0
1,ss_max_position,total,imu,0.1247685749591424
1,ss_max_position,total,selfreport,0.0119967344444444
1,ss_mean,last_30min,imu,251.94196428571428
1,ss_mean,last_30min,selfreport,253.4654015714286
1,ss_mean,last_hour,imu,354.6796875
1,ss_mean,last_hour,selfreport,355.7460939
1,ss_mean,total,imu,395.9769871195653
1,ss_mean,total,selfreport,357.3876953653846
1,ss_mean_60,last_30min,imu,251.94196428571428
1,ss_mean_60,last_30min,selfreport,253.4654015714286
1,ss_mean_60,last_hour,imu,354.6796875
1,ss_mean_60,last_hour,selfreport,355.7460939
1,ss_mean_60,total,imu,479.37812504
1,ss_mean_60,total,selfreport,474.11982557142863
1,ss_median,last_30min,imu,284.296875
1,ss_median,last_30min,selfreport,284.296875
1,ss_median,last_hour,imu,333.5546875
1,ss_median,last_hour,selfreport,333.3007815
1,ss_median,total,imu,266.5234375
1,ss_median,total,selfreport,193.9062505
1,ss_median_60,last_30min,imu,284.296875
1,ss_median_60,last_30min,selfreport,284.296875
1,ss_median_60,last_hour,imu,333.5546875
1,ss_median_60,last_hour,selfreport,333.3007815
1,ss_median_60,total,imu,322.382813
1,ss_median_60,total,selfreport,319.335938
1,ss_number,last_30min,imu,7.0
1,ss_number,last_30min,selfreport,7.0
1,ss_number,last_hour,imu,10.0
1,ss_number,last_hour,selfreport,10.0
1,ss_number,total,imu,92.0
1,ss_number,total,selfreport,104.0
1,ss_number_60,last_30min,imu,7.0
1,ss_number_60,last_30min,selfreport,7.0
1,ss_number_60,last_hour,imu,10.0
1,ss_number_60,last_hour,selfreport,10.0
1,ss_number_60,total,imu,75.0
1,ss_number_60,total,selfreport,77.0
1,ss_skewness,last_30min,imu,-0.2623464039649099
1,ss_skewness,last_30min,selfreport,-0.0663872086710834
1,ss_skewness,last_hour,imu,1.6024144609570208
1,ss_skewness,last_hour,selfreport,1.67917825555124
1,ss_skewness,total,imu,1.7277338299957454
1,ss_skewness,total,selfreport,2.096892465487936
1,ss_skewness_60,last_30min,imu,-0.2623464039649099
1,ss_skewness_60,last_30min,selfreport,-0.0663872086710834
1,ss_skewness_60,last_hour,imu,1.6024144609570208
1,ss_skewness_60,last_hour,selfreport,1.67917825555124
1,ss_skewness_60,total,imu,1.62173900937185
1,ss_skewness_60,total,selfreport,1.901385273468863
1,ss_std,last_30min,imu,139.8122922244249
1,ss_std,last_30min,selfreport,160.3373813485379
1,ss_std,last_hour,imu,300.8914835469798
1,ss_std,last_hour,selfreport,325.75678650386465
1,ss_std,total,imu,425.6716704438888
1,ss_std,total,selfreport,435.9117316898089
1,ss_std_60,last_30min,imu,139.8122922244249
1,ss_std_60,last_30min,selfreport,160.3373813485379
1,ss_std_60,last_hour,imu,300.8914835469798
1,ss_std_60,last_hour,selfreport,325.75678650386465
1,ss_std_60,total,imu,429.63248432794177
1,ss_std_60,total,selfreport,451.92060876144535
