night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1118.632813
0,ss_max,last_30min,selfreport,1118.632813
0,ss_max,last_hour,imu,1118.125
0,ss_max,last_hour,selfreport,1118.632812
0,ss_max,total,imu,2812.1875
0,ss_max,total,selfreport,2812.1875
0,ss_max_60,last_30min,imu,1118.632813
0,ss_max_60,last_30min,selfreport,1118.632813
0,ss_max_60,last_hour,imu,1118.125
0,ss_max_60,last_hour,selfreport,1118.632812
0,ss_max_60,total,imu,2812.1875
0,ss_max_60,total,selfreport,2812.1875
0,ss_max_position,last_30min,imu,0.2138466463479712
0,ss_max_position,last_30min,selfreport,0.0615020697598395
0,ss_max_position,last_hour,imu,0.6069786432648417
0,ss_max_position,last_hour,selfreport,0.5308065614794647
0,ss_max_position,total,imu,0.0531032421971391
0,ss_max_position,total,selfreport,0.0120054271708683
0,ss_mean,last_30min,imu,593.7239586666666
0,ss_mean,last_30min,selfreport,347.5703126
0,ss_mean,last_hour,imu,591.8619793333334
0,ss_mean,last_hour,selfreport,438.544921875
0,ss_mean,total,imu,535.313074485294
0,ss_mean,total,selfreport,532.1247632727274
0,ss_mean_60,last_30min,imu,593.7239586666666
0,ss_mean_60,last_30min,selfreport,423.94531275
0,ss_mean_60,last_hour,imu,702.6328126000001
0,ss_mean_60,last_hour,selfreport,571.4648436666666
0,ss_mean_60,total,imu,621.7995689999999
0,ss_mean_60,total,selfreport,631.668323890909
0,ss_median,last_30min,imu,377.226563
0,ss_median,last_30min,selfreport,142.109375
0,ss_median,last_hour,imu,600.15625
0,ss_median,last_hour,selfreport,237.324219
0,ss_median,total,imu,392.7148435
0,ss_median,total,selfreport,369.609375
0,ss_median_60,last_30min,imu,377.226563
0,ss_median_60,last_30min,selfreport,237.0703125
0,ss_median_60,last_hour,imu,826.640625
0,ss_median_60,last_hour,selfreport,579.5898434999999
0,ss_median_60,total,imu,488.9453125
0,ss_median_60,total,selfreport,496.054687
0,ss_number,last_30min,imu,3.0
0,ss_number,last_30min,selfreport,5.0
0,ss_number,last_hour,imu,6.0
0,ss_number,last_hour,selfreport,8.0
0,ss_number,total,imu,68.0
0,ss_number,total,selfreport,66.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,4.0
0,ss_number_60,last_hour,imu,5.0
0,ss_number_60,last_hour,selfreport,6.0
0,ss_number_60,total,imu,58.0
0,ss_number_60,total,selfreport,55.0
0,ss_skewness,last_30min,imu,0.6750502006088811
0,ss_skewness,last_30min,selfreport,1.294524355013202
0,ss_skewness,last_hour,imu,-0.0545083238573677
