night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,678.867188
0,ss_max,last_30min,selfreport,603.710938
0,ss_max,last_hour,imu,851.523437
0,ss_max,last_hour,selfreport,1030.78125
0,ss_max,total,imu,4104.0625
0,ss_max,total,selfreport,4104.570312
0,ss_max_60,last_30min,imu,678.867188
0,ss_max_60,last_30min,selfreport,603.710938
0,ss_max_60,last_hour,imu,851.523437
0,ss_max_60,last_hour,selfreport,1030.78125
0,ss_max_60,total,imu,4104.0625
0,ss_max_60,total,selfreport,4104.570312
0,ss_max_position,last_30min,imu,0.553518628146068
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.3558928926805527
0,ss_max_position,last_hour,selfreport,0.3814246457254626
0,ss_max_position,total,imu,0.5838186095285144
0,ss_max_position,total,selfreport,0.6637778585271318
0,ss_mean,last_30min,imu,214.40917975
0,ss_mean,last_30min,selfreport,96.16727947058824
0,ss_mean,last_hour,imu,103.58114909677418
0,ss_mean,last_hour,selfreport,154.27379263636362
0,ss_mean,total,imu,273.4494357685185
0,ss_mean,total,selfreport,355.3119498028169
0,ss_mean_60,last_30min,imu,411.6308595
0,ss_mean_60,last_30min,selfreport,278.00000020000004
0,ss_mean_60,last_hour,imu,357.358398375
0,ss_mean_60,last_hour,selfreport,393.0322265
0,ss_mean_60,total,imu,541.1637676981132
0,ss_mean_60,total,selfreport,589.8790922380953
0,ss_median,last_30min,imu,62.3828125
0,ss_median,last_30min,selfreport,26.835938
0,ss_median,last_hour,imu,12.109375
0,ss_median,last_hour,selfreport,26.5820315
0,ss_median,total,imu,55.527344
0,ss_median,total,selfreport,97.929688
0,ss_median_60,last_30min,imu,444.0039065
0,ss_median_60,last_30min,selfreport,170.546875
0,ss_median_60,last_hour,imu,268.80859350000003
0,ss_median_60,last_hour,selfreport,311.2109375
0,ss_median_60,total,imu,358.945313
0,ss_median_60,total,selfreport,376.71875
0,ss_number,last_30min,imu,8.0
0,ss_number,last_30min,selfreport,17.0
0,ss_number,last_hour,imu,31.0
0,ss_number,last_hour,selfreport,22.0
0,ss_number,total,imu,108.0
0,ss_number,total,selfreport,71.0
0,ss_number_60,last_30min,imu,4.0
0,ss_number_60,last_30min,selfreport,5.0
0,ss_number_60,last_hour,imu,8.0
0,ss_number_60,last_hour,selfreport,8.0
0,ss_number_60,total,imu,53.0
0,ss_number_60,total,selfreport,42.0
0,ss_skewness,last_30min,imu,0.8110591707109762
0,ss_skewness,last_30min,selfreport,2.231852593022072
0,ss_skewness,last_hour,imu,2.509113779907923
0,ss_skewness,last_hour,selfreport,2.140725880756491
0,ss_skewness,total,imu,4.330993805043309
0,ss_skewness,total,selfreport,3.697623275277152
0,ss_skewness_60,last_30min,imu,-0.3154215036319125
0,ss_skewness_60,last_30min,selfreport,0.5681884144702338
0,ss_skewness_60,last_hour,imu,0.5318775837949402
0,ss_skewness_60,last_hour,selfreport,0.9261878147982238
0,ss_skewness_60,total,imu,3.316770638838276
0,ss_skewness_60,total,selfreport,3.017121130738618
0,ss_std,last_30min,imu,272.76426023123184
0,ss_std,last_30min,selfreport,166.702758830213
0,ss_std,last_hour,imu,210.76097942019263
0,ss_std,last_hour,selfreport,262.4893840011191
0,ss_std,total,imu,550.9444072776333
0,ss_std,total,selfreport,648.354933065504
0,ss_std_60,last_30min,imu,263.67431624146724
0,ss_std_60,last_30min,selfreport,227.19902408563047
0,ss_std_60,last_hour,imu,301.287029583722
0,ss_std_60,last_hour,selfreport,322.0596860140055
0,ss_std_60,total,imu,693.524758300615
0,ss_std_60,total,selfreport,761.2867209489015
