night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,687.5
0,ss_max,last_30min,selfreport,687.5
0,ss_max,last_hour,imu,810.390625
0,ss_max,last_hour,selfreport,810.898437
0,ss_max,total,imu,2985.351562
0,ss_max,total,selfreport,2985.351563
0,ss_max_60,last_30min,imu,687.5
0,ss_max_60,last_30min,selfreport,687.5
0,ss_max_60,last_hour,imu,810.390625
0,ss_max_60,last_hour,selfreport,810.898437
0,ss_max_60,total,imu,2985.351562
0,ss_max_60,total,selfreport,2985.351563
0,ss_max_position,last_30min,imu,0.1610902840042853
0,ss_max_position,last_30min,selfreport,0.1949446342413074
0,ss_max_position,last_hour,imu,0.1536136981087154
0,ss_max_position,last_hour,selfreport,0.1705408273142163
0,ss_max_position,total,imu,0.1502016182678313
0,ss_max_position,total,selfreport,0.1329313409259259
0,ss_mean,last_30min,imu,145.1985675
0,ss_mean,last_30min,selfreport,219.9316405
0,ss_mean,last_hour,imu,203.6741727058824
0,ss_mean,last_hour,selfreport,267.6171875384616
0,ss_mean,total,imu,458.0727597831327
0,ss_mean,total,selfreport,470.8311906708861
0,ss_mean_60,last_30min,imu,280.065104
0,ss_mean_60,last_30min,selfreport,290.3059895
0,ss_mean_60,last_hour,imu,338.6328124
0,ss_mean_60,last_hour,selfreport,344.7265625
0,ss_mean_60,total,imu,609.5180191129034
0,ss_mean_60,total,selfreport,596.9291835161288
0,ss_median,last_30min,imu,47.1484375
0,ss_median,last_30min,selfreport,166.738281
0,ss_median,last_hour,imu,77.617187
0,ss_median,last_hour,selfreport,134.492187
0,ss_median,total,imu,262.460937
0,ss_median,total,selfreport,303.59375
0,ss_median_60,last_30min,imu,219.550781
0,ss_median_60,last_30min,selfreport,250.019531
0,ss_median_60,last_hour,imu,252.5585935
0,ss_median_60,last_hour,selfreport,252.3046875
0,ss_median_60,total,imu,445.5273435
0,ss_median_60,total,selfreport,445.527344
0,ss_number,last_30min,imu,12.0
0,ss_number,last_30min,selfreport,8.0
0,ss_number,last_hour,imu,17.0
0,ss_number,last_hour,selfreport,13.0
0,ss_number,total,imu,83.0
0,ss_number,total,selfreport,79.0
0,ss_number_60,last_30min,imu,6.0
0,ss_number_60,last_30min,selfreport,6.0
0,ss_number_60,last_hour,imu,10.0
0,ss_number_60,last_hour,selfreport,10.0
0,ss_number_60,total,imu,62.0
0,ss_number_60,total,selfreport,62.0
0,ss_skewness,last_30min,imu,1.654910651320541
0,ss_skewness,last_30min,selfreport,1.0254251780147563
0,ss_skewness,last_hour,imu,1.2401462881481506
0,ss_skewness,last_hour,selfreport,0.8773096169780891
0,ss_skewness,total,imu,2.422654488442363
0,ss_skewness,total,selfreport,2.224309303685432
0,ss_skewness_60,last_30min,imu,0.9683484664579644
0,ss_skewness_60,last_30min,selfreport,0.8700446051091194
0,ss_skewness_60,last_hour,imu,0.6004515802039035
0,ss_skewness_60,last_hour,selfreport,0.6349319724721513
0,ss_skewness_60,total,imu,2.271950720687799
0,ss_skewness_60,total,selfreport,2.142604665961485
0,ss_std,last_30min,imu,209.02172396329803
0,ss_std,last_30min,selfreport,231.2034359141444
0,ss_std,last_hour,imu,265.973040290922
0,ss_std,last_hour,selfreport,276.5011352969012
0,ss_std,total,imu,593.4638748384623
0,ss_std,total,selfreport,565.5433793683549
0,ss_std_60,last_30min,imu,229.0180702837092
0,ss_std_60,last_30min,selfreport,225.968327059916
0,ss_std_60,last_hour,imu,276.77422163174225
0,ss_std_60,last_hour,selfreport,270.74741484317474
0,ss_std_60,total,imu,617.4970741940065
0,ss_std_60,total,selfreport,577.8093763825477
1,ss_max,last_30min,imu,838.320313
1,ss_max,last_30min,selfreport,1158.75
1,ss_max,last_hour,imu,1753.90625
1,ss_max,last_hour,selfreport,1753.90625
1,ss_max,total,imu,2311.992187
1,ss_max,total,selfreport,2311.992188
1,ss_max_60,last_30min,imu,838.320313
1,ss_max_60,last_30min,selfreport,1158.75
1,ss_max_60,last_hour,imu,1753.90625
1,ss_max_60,last_hour,selfreport,1753.90625
1,ss_max_60,total,imu,2311.992187
1,ss_max_60,total,selfreport,2311.992188
1,ss_max_position,last_30min,imu,0.0
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.2457254929192884
1,ss_max_position,last_hour,selfreport,0.3345929214721884
1,ss_max_position,total,imu,0.1651662700400801
1,ss_max_position,total,selfreport,0.1856448535313531
1,ss_mean,last_30min,imu,286.1588541666667
1,ss_mean,last_30min,selfreport,345.8437498
1,ss_mean,last_hour,imu,350.1601563
1,ss_mean,last_hour,selfreport,350.6171877
1,ss_mean,total,imu,447.3200758030303
1,ss_mean,total,selfreport,358.107115939759
1,ss_mean_60,last_30min,imu,286.1588541666667
1,ss_mean_60,last_30min,selfreport,345.8437498
1,ss_mean_60,last_hour,imu,350.1601563
1,ss_mean_60,last_hour,selfreport,350.6171877
1,ss_mean_60,total,imu,608.9900716666667
1,ss_mean_60,total,selfreport,619.7448470425531
1,ss_median,last_30min,imu,191.3671875
1,ss_median,last_30min,selfreport,128.90625
1,ss_median,last_hour,imu,191.367187
1,ss_median,last_hour,selfreport,178.671875
1,ss_median,total,imu,252.3046875
1,ss_median,total,selfreport,144.140625
1,ss_median_60,last_30min,imu,191.3671875
1,ss_median_60,last_30min,selfreport,128.90625
1,ss_median_60,last_hour,imu,191.367187
1,ss_median_60,last_hour,selfreport,178.671875
1,ss_median_60,total,imu,424.960938
1,ss_median_60,total,selfreport,457.460937
1,ss_number,last_30min,imu,6.0
1,ss_number,last_30min,selfreport,5.0
1,ss_number,last_hour,imu,10.0
1,ss_number,last_hour,selfreport,10.0
1,ss_number,total,imu,66.0
1,ss_number,total,selfreport,83.0
1,ss_number_60,last_30min,imu,6.0
1,ss_number_60,last_30min,selfreport,5.0
1,ss_number_60,last_hour,imu,10.0
1,ss_number_60,last_hour,selfreport,10.0
1,ss_number_60,total,imu,48.0
1,ss_number_60,total,selfreport,47.0
1,ss_skewness,last_30min,imu,1.685652736411399
1,ss_skewness,last_30min,selfreport,1.4784074285036948
1,ss_skewness,last_hour,imu,2.495629518849777
1,ss_skewness,last_hour,selfreport,2.487487774848685
1,ss_skewness,total,imu,1.5223507271785857
1,ss_skewness,total,selfreport,1.793517866055656
1,ss_skewness_60,last_30min,imu,1.685652736411399
1,ss_skewness_60,last_30min,selfreport,1.4784074285036948
1,ss_skewness_60,last_hour,imu,2.495629518849777
1,ss_skewness_60,last_hour,selfreport,2.487487774848685
1,ss_skewness_60,total,imu,1.3126952222811
1,ss_skewness_60,total,selfreport,1.256936226363186
1,ss_std,last_30min,imu,274.0984789002528
1,ss_std,last_30min,selfreport,455.7782542827523
1,ss_std,last_hour,imu,502.16885474008063
1,ss_std,last_hour,selfreport,502.44808322639767
1,ss_std,total,imu,515.941498256247
1,ss_std,total,selfreport,498.36107335248414
1,ss_std_60,last_30min,imu,274.0984789002528
1,ss_std_60,last_30min,selfreport,455.7782542827523
1,ss_std_60,last_hour,imu,502.16885474008063
1,ss_std_60,last_hour,selfreport,502.44808322639767
1,ss_std_60,total,imu,519.7815818449671
1,ss_std_60,total,selfreport,530.4066789836793
