night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1799.609375
0,ss_max,last_30min,selfreport,672.773438
0,ss_max,last_hour,imu,2942.1875
0,ss_max,last_hour,selfreport,672.265625
0,ss_max,total,imu,2942.1875
0,ss_max,total,selfreport,2709.609375
0,ss_max_60,last_30min,imu,1799.609375
0,ss_max_60,last_30min,selfreport,672.773438
0,ss_max_60,last_hour,imu,2942.1875
0,ss_max_60,last_hour,selfreport,672.265625
0,ss_max_60,total,imu,2942.1875
0,ss_max_60,total,selfreport,2709.609375
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.6121995017378525
0,ss_max_position,last_hour,imu,0.1826719363817029
0,ss_max_position,last_hour,selfreport,0.8061545305830531
0,ss_max_position,total,imu,0.904594816675518
0,ss_max_position,total,selfreport,0.7346752450980392
0,ss_mean,last_30min,imu,1799.609375
0,ss_mean,last_30min,selfreport,69.69089673913044
0,ss_mean,last_hour,imu,716.2421873999999
0,ss_mean,last_hour,selfreport,88.06165545945947
0,ss_mean,total,imu,387.4609374487179
0,ss_mean,total,selfreport,355.7896205
0,ss_mean_60,last_30min,imu,1799.609375
0,ss_mean_60,last_30min,selfreport,328.984375
0,ss_mean_60,last_hour,imu,1759.7460935
0,ss_mean_60,last_hour,selfreport,354.248046875
0,ss_mean_60,total,imu,778.5988897894737
0,ss_mean_60,total,selfreport,715.5491728235294
0,ss_median,last_30min,imu,1799.609375
0,ss_median,last_30min,selfreport,14.140625
0,ss_median,last_hour,imu,36.992187
0,ss_median,last_hour,selfreport,13.632813
0,ss_median,total,imu,51.972656
0,ss_median,total,selfreport,51.972656
0,ss_median_60,last_30min,imu,1799.609375
0,ss_median_60,last_30min,selfreport,285.3125
0,ss_median_60,last_hour,imu,1759.7460935
0,ss_median_60,last_hour,selfreport,285.3125
0,ss_median_60,total,imu,559.7851565000001
0,ss_median_60,total,selfreport,624.0234375
0,ss_number,last_30min,imu,1.0
0,ss_number,last_30min,selfreport,23.0
0,ss_number,last_hour,imu,5.0
0,ss_number,last_hour,selfreport,37.0
0,ss_number,total,imu,78.0
0,ss_number,total,selfreport,70.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_30min,selfreport,4.0
0,ss_number_60,last_hour,imu,2.0
0,ss_number_60,last_hour,selfreport,8.0
0,ss_number_60,total,imu,38.0
0,ss_number_60,total,selfreport,34.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,3.056891785823998
0,ss_skewness,last_hour,imu,1.3747073509758692
0,ss_skewness,last_hour,selfreport,2.454406048337036
0,ss_skewness,total,imu,2.352160910169933
0,ss_skewness,total,selfreport,2.224836695881524
