night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1799.609375
0,ss_max,last_30min,selfreport,1799.609375
0,ss_max,last_hour,imu,3145.3125
0,ss_max,last_hour,selfreport,3599.804688
0,ss_max,total,imu,3219.453125
0,ss_max,total,selfreport,89825.146485
0,ss_max_60,last_30min,imu,1799.609375
0,ss_max_60,last_30min,selfreport,1799.609375
0,ss_max_60,last_hour,imu,3145.3125
0,ss_max_60,last_hour,selfreport,3599.804688
0,ss_max_60,total,imu,3219.453125
0,ss_max_60,total,selfreport,89825.146485
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.1262481722054582
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.0
0,ss_max_position,total,selfreport,0.4517459053068859
0,ss_mean,last_30min,imu,1799.609375
0,ss_mean,last_30min,selfreport,1799.609375
0,ss_mean,last_hour,imu,429.7851565
0,ss_mean,last_hour,selfreport,3599.804688
0,ss_mean,total,imu,587.041790666667
0,ss_mean,total,selfreport,6057.827691
0,ss_mean_60,last_30min,imu,1799.609375
0,ss_mean_60,last_30min,selfreport,1799.609375
0,ss_mean_60,last_hour,imu,1660.9765625
0,ss_mean_60,last_hour,selfreport,3599.804688
0,ss_mean_60,total,imu,959.3935033421054
0,ss_mean_60,total,selfreport,54387.85807333334
0,ss_median,last_30min,imu,1799.609375
0,ss_median,last_30min,selfreport,1799.609375
0,ss_median,last_hour,imu,26.328125
0,ss_median,last_hour,selfreport,3599.804688
0,ss_median,total,imu,249.257813
0,ss_median,total,selfreport,13.632812
0,ss_median_60,last_30min,imu,1799.609375
0,ss_median_60,last_30min,selfreport,1799.609375
0,ss_median_60,last_hour,imu,1660.9765625
0,ss_median_60,last_hour,selfreport,3599.804688
0,ss_median_60,total,imu,721.7773434999999
0,ss_median_60,total,selfreport,67571.279297
0,ss_number,last_30min,imu,1.0
0,ss_number,last_30min,selfreport,1.0
0,ss_number,last_hour,imu,8.0
0,ss_number,last_hour,selfreport,1.0
0,ss_number,total,imu,63.0
0,ss_number,total,selfreport,27.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_30min,selfreport,1.0
0,ss_number_60,last_hour,imu,2.0
0,ss_number_60,last_hour,selfreport,1.0
0,ss_number_60,total,imu,38.0
0,ss_number_60,total,selfreport,3.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,0.0
0,ss_skewness,last_hour,imu,2.256170065350485
0,ss_skewness,last_hour,selfreport,0.0
0,ss_skewness,total,imu,1.7889240573787222
0,ss_skewness,total,selfreport,3.3572884823171445
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,0.0
0,ss_skewness_60,last_hour,selfreport,0.0
0,ss_skewness_60,total,imu,1.3086247709793606
0,ss_skewness_60,total,selfreport,-0.5051476780530167
0,ss_std,last_hour,imu,1098.6802453962007
0,ss_std,total,imu,810.2238827278064
0,ss_std,total,selfreport,21192.23265723318
0,ss_std_60,last_hour,imu,2099.1680139302825
0,ss_std_60,total,imu,860.8245163183623
0,ss_std_60,total,selfreport,43552.13778091533
