night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1607.148437
0,ss_max,last_30min,selfreport,1351.71875
0,ss_max,last_hour,imu,2126.640625
0,ss_max,last_hour,selfreport,1352.226563
0,ss_max,total,imu,3847.109375
0,ss_max,total,selfreport,3847.109375
0,ss_max_60,last_30min,imu,1607.148437
0,ss_max_60,last_30min,selfreport,1351.71875
0,ss_max_60,last_hour,imu,2126.640625
0,ss_max_60,last_hour,selfreport,1352.226563
0,ss_max_60,total,imu,3847.109375
0,ss_max_60,total,selfreport,3847.109375
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.2488294748999013
0,ss_max_position,last_hour,imu,0.355610773581893
0,ss_max_position,last_hour,selfreport,0.6243289504367225
0,ss_max_position,total,imu,0.293813227925252
0,ss_max_position,total,selfreport,0.4003755349656142
0,ss_mean,last_30min,imu,356.9140626
0,ss_mean,last_30min,selfreport,894.6875
0,ss_mean,last_hour,imu,234.39583326666664
0,ss_mean,last_hour,selfreport,216.979980625
0,ss_mean,total,imu,274.380159235849
0,ss_mean,total,selfreport,256.68305126666667
0,ss_mean_60,last_30min,imu,590.6770833333334
0,ss_mean_60,last_30min,selfreport,894.6875
0,ss_mean_60,last_hour,imu,424.580078125
0,ss_mean_60,last_hour,selfreport,306.82528436363634
0,ss_mean_60,total,imu,428.72336654545455
0,ss_mean_60,total,selfreport,466.0089112083333
0,ss_median,last_30min,imu,61.875
0,ss_median,last_30min,selfreport,894.6875
0,ss_median,last_hour,imu,61.875
0,ss_median,last_hour,selfreport,89.296875
0,ss_median,total,imu,85.7421875
0,ss_median,total,selfreport,73.808594
0,ss_median_60,last_30min,imu,103.007813
0,ss_median_60,last_30min,selfreport,894.6875
0,ss_median_60,last_hour,imu,193.9062505
0,ss_median_60,last_hour,selfreport,191.875
0,ss_median_60,total,imu,195.175781
0,ss_median_60,total,selfreport,194.921875
0,ss_number,last_30min,imu,5.0
0,ss_number,last_30min,selfreport,2.0
0,ss_number,last_hour,imu,15.0
0,ss_number,last_hour,selfreport,16.0
0,ss_number,total,imu,106.0
0,ss_number,total,selfreport,90.0
0,ss_number_60,last_30min,imu,3.0
