night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,474.726562
0,ss_max,last_30min,selfreport,474.726563
0,ss_max,last_hour,imu,2062.148438
0,ss_max,last_hour,selfreport,1880.859375
0,ss_max,total,imu,2762.421875
0,ss_max,total,selfreport,2762.421875
0,ss_max_60,last_30min,imu,474.726562
0,ss_max_60,last_30min,selfreport,474.726563
0,ss_max_60,last_hour,imu,2062.148438
0,ss_max_60,last_hour,selfreport,1880.859375
0,ss_max_60,total,imu,2762.421875
0,ss_max_60,total,selfreport,2762.421875
0,ss_max_position,last_30min,imu,0.3738084520074124
0,ss_max_position,last_30min,selfreport,0.273091759300572
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.7211139659791823
0,ss_max_position,total,selfreport,0.721239540104769
0,ss_mean,last_30min,imu,252.6674105714285
0,ss_mean,last_30min,selfreport,213.393555
0,ss_mean,last_hour,imu,509.8381695714285
0,ss_mean,last_hour,selfreport,438.354492125
0,ss_mean,total,imu,544.6051898571429
0,ss_mean,total,selfreport,527.7591147
0,ss_mean_60,last_30min,imu,345.94531240000003
0,ss_mean_60,last_30min,selfreport,332.13281279999995
0,ss_mean_60,last_hour,imu,705.984375
0,ss_mean_60,last_hour,selfreport,691.96875
0,ss_mean_60,total,imu,720.5078126190476
0,ss_mean_60,total,selfreport,745.076265
0,ss_median,last_30min,imu,273.125
0,ss_median,last_30min,selfreport,220.058594
0,ss_median,last_hour,imu,358.945312
0,ss_median,last_hour,selfreport,359.9609375
0,ss_median,total,imu,281.7578125
0,ss_median,total,selfreport,322.3828125
0,ss_median_60,last_30min,imu,358.4375
0,ss_median_60,last_30min,selfreport,361.484375
0,ss_median_60,last_hour,imu,361.484375
0,ss_median_60,last_hour,selfreport,384.335938
0,ss_median_60,total,imu,361.484375
0,ss_median_60,total,selfreport,417.851562
0,ss_number,last_30min,imu,7.0
0,ss_number,last_30min,selfreport,8.0
0,ss_number,last_hour,imu,7.0
0,ss_number,last_hour,selfreport,8.0
0,ss_number,total,imu,28.0
0,ss_number,total,selfreport,30.0
0,ss_number_60,last_30min,imu,5.0
0,ss_number_60,last_30min,selfreport,5.0
0,ss_number_60,last_hour,imu,5.0
0,ss_number_60,last_hour,selfreport,5.0
0,ss_number_60,total,imu,21.0
0,ss_number_60,total,selfreport,21.0
0,ss_skewness,last_30min,imu,-0.4127841461364331
0,ss_skewness,last_30min,selfreport,0.066650676392033
0,ss_skewness,last_hour,imu,1.7804676698314423
0,ss_skewness,last_hour,selfreport,1.83541766966436
0,ss_skewness,total,imu,1.7165667011192989
0,ss_skewness,total,selfreport,1.77737491811542
0,ss_skewness_60,last_30min,imu,0.5173778635445659
0,ss_skewness_60,last_30min,selfreport,-1.0966218995741417
0,ss_skewness_60,last_hour,imu,1.467371211263043
0,ss_skewness_60,last_hour,selfreport,1.481577659442103
0,ss_skewness_60,total,imu,1.3720799440584566
