night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1025.703125
0,ss_max,last_30min,selfreport,1025.703125
0,ss_max,last_hour,imu,1025.703125
0,ss_max,last_hour,selfreport,1025.703125
0,ss_max,total,imu,2792.890625
0,ss_max,total,selfreport,2792.890625
0,ss_max_60,last_30min,imu,1025.703125
0,ss_max_60,last_30min,selfreport,1025.703125
0,ss_max_60,last_hour,imu,1025.703125
0,ss_max_60,last_hour,selfreport,1025.703125
0,ss_max_60,total,imu,2792.890625
0,ss_max_60,total,selfreport,2792.890625
0,ss_max_position,last_30min,imu,0.1371101188985673
0,ss_max_position,last_30min,selfreport,0.0964848984305739
0,ss_max_position,last_hour,imu,0.5686104833472168
0,ss_max_position,last_hour,selfreport,0.5482979283692418
0,ss_max_position,total,imu,0.0233435565709069
0,ss_max_position,total,selfreport,0.020866414701897
0,ss_mean,last_30min,imu,448.95507825
0,ss_mean,last_30min,selfreport,448.955078
0,ss_mean,last_hour,imu,512.8124998571428
0,ss_mean,last_hour,selfreport,512.7399555714286
0,ss_mean,total,imu,461.547619031746
0,ss_mean,total,selfreport,461.61210322222223
0,ss_mean_60,last_30min,imu,595.9244793333334
0,ss_mean_60,last_30min,selfreport,595.9244789999999
0,ss_mean_60,last_hour,imu,715.2265623999999
0,ss_mean_60,last_hour,selfreport,715.2265628000001
0,ss_mean_60,total,imu,611.2957114042553
0,ss_mean_60,total,selfreport,611.3497340638298
0,ss_median,last_30min,imu,381.0351565
0,ss_median,last_30min,selfreport,381.035156
0,ss_median,last_hour,imu,516.875
0,ss_median,last_hour,selfreport,579.335938
0,ss_median,total,imu,197.96875
0,ss_median,total,selfreport,198.476563
0,ss_median_60,last_30min,imu,516.367188
0,ss_median_60,last_30min,selfreport,589.492187
0,ss_median_60,last_hour,imu,651.953125
0,ss_median_60,last_hour,selfreport,589.492188
0,ss_median_60,total,imu,363.007813
0,ss_median_60,total,selfreport,363.515625
0,ss_number,last_30min,imu,4.0
0,ss_number,last_30min,selfreport,4.0
0,ss_number,last_hour,imu,7.0
0,ss_number,last_hour,selfreport,7.0
0,ss_number,total,imu,63.0
0,ss_number,total,selfreport,63.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,5.0
0,ss_number_60,last_hour,selfreport,5.0
0,ss_number_60,total,imu,47.0
0,ss_number_60,total,selfreport,47.0
0,ss_skewness,last_30min,imu,0.4522169311961208
0,ss_skewness,last_30min,selfreport,0.3569564202120116
0,ss_skewness,last_hour,imu,0.0056193822143893
0,ss_skewness,last_hour,selfreport,0.0005831806874329
0,ss_skewness,total,imu,1.7484635289745851
0,ss_skewness,total,selfreport,1.7489044092106538
0,ss_skewness_60,last_30min,imu,0.3541521782592129
0,ss_skewness_60,last_30min,selfreport,0.0276939045014651
0,ss_skewness_60,last_hour,imu,0.068424573782866
0,ss_skewness_60,last_hour,selfreport,0.1108231479187618
0,ss_skewness_60,total,imu,1.4630761554027465
0,ss_skewness_60,total,selfreport,1.4636604943547158
0,ss_std,last_30min,imu,436.9950808891597
0,ss_std,last_30min,selfreport,455.76794254190565
0,ss_std,last_hour,imu,422.07019573686495
0,ss_std,last_hour,selfreport,420.3769932095327
0,ss_std,total,imu,586.8676676850491
0,ss_std,total,selfreport,586.788187198651
0,ss_std_60,last_30min,imu,396.0391671959008
0,ss_std_60,last_30min,selfreport,426.59887153100857
0,ss_std_60,last_hour,imu,296.5871941105007
0,ss_std_60,last_hour,selfreport,292.7389531056911
0,ss_std_60,total,imu,611.4569466053189
0,ss_std_60,total,selfreport,611.3650338011514
1,ss_max,last_30min,imu,1792.5
1,ss_max,last_30min,selfreport,1693.476563
1,ss_max,last_hour,imu,1937.226563
1,ss_max,last_hour,selfreport,1937.226562
1,ss_max,total,imu,2328.242187
1,ss_max,total,selfreport,2328.242188
1,ss_max_60,last_30min,imu,1792.5
1,ss_max_60,last_30min,selfreport,1693.476563
1,ss_max_60,last_hour,imu,1937.226563
1,ss_max_60,last_hour,selfreport,1937.226562
1,ss_max_60,total,imu,2328.242187
1,ss_max_60,total,selfreport,2328.242188
1,ss_max_position,last_30min,imu,0.0
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.4598536780363944
1,ss_max_position,last_hour,selfreport,0.4323470930192676
1,ss_max_position,total,imu,0.0987299071060268
1,ss_max_position,total,selfreport,0.1080455729
1,ss_mean,last_30min,imu,1792.5
1,ss_mean,last_30min,selfreport,437.91015625
1,ss_mean,last_hour,imu,1188.0338546666665
1,ss_mean,last_hour,selfreport,587.2070311666668
1,ss_mean,total,imu,547.9952828679245
1,ss_mean,total,selfreport,525.3899276071429
1,ss_mean_60,last_30min,imu,1792.5
1,ss_mean_60,last_30min,selfreport,1693.476563
1,ss_mean_60,last_hour,imu,1188.0338546666665
1,ss_mean_60,last_hour,selfreport,1155.0260413333333
1,ss_mean_60,total,imu,702.9449312439024
1,ss_mean_60,total,selfreport,727.02050795
1,ss_median,last_30min,imu,1792.5
1,ss_median,last_30min,selfreport,25.566406
1,ss_median,last_hour,imu,1179.570313
1,ss_median,last_hour,selfreport,192.890625
1,ss_median,total,imu,317.304687
1,ss_median,total,selfreport,316.542969
1,ss_median_60,last_30min,imu,1792.5
1,ss_median_60,last_30min,selfreport,1693.476563
1,ss_median_60,last_hour,imu,1179.570313
1,ss_median_60,last_hour,selfreport,1179.570312
1,ss_median_60,total,imu,666.171875
1,ss_median_60,total,selfreport,682.4218755
1,ss_number,last_30min,imu,1.0
1,ss_number,last_30min,selfreport,4.0
1,ss_number,last_hour,imu,3.0
1,ss_number,last_hour,selfreport,6.0
1,ss_number,total,imu,53.0
1,ss_number,total,selfreport,56.0
1,ss_number_60,last_30min,imu,1.0
1,ss_number_60,last_30min,selfreport,1.0
1,ss_number_60,last_hour,imu,3.0
1,ss_number_60,last_hour,selfreport,3.0
1,ss_number_60,total,imu,41.0
1,ss_number_60,total,selfreport,40.0
1,ss_skewness,last_30min,imu,0.0
1,ss_skewness,last_30min,selfreport,1.1538564935378417
1,ss_skewness,last_hour,imu,0.0208678857473998
1,ss_skewness,last_hour,selfreport,0.901293997727166
1,ss_skewness,total,imu,1.099318610141455
1,ss_skewness,total,selfreport,1.1363097061088503
1,ss_skewness_60,last_30min,imu,0.0
1,ss_skewness_60,last_30min,selfreport,0.0
1,ss_skewness_60,last_hour,imu,0.0208678857473998
1,ss_skewness_60,last_hour,selfreport,-0.0566811013089512
1,ss_skewness_60,total,imu,0.9081878552958096
1,ss_skewness_60,total,selfreport,0.8844396924875715
1,ss_std,last_30min,selfreport,837.1465804907933
