night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,990.664063
0,ss_max,last_30min,selfreport,364.023438
0,ss_max,last_hour,imu,1662.5
0,ss_max,last_hour,selfreport,1093.242187
0,ss_max,total,imu,2056.5625
0,ss_max,total,selfreport,1421.289062
0,ss_max_60,last_30min,imu,990.664063
0,ss_max_60,last_30min,selfreport,364.023438
0,ss_max_60,last_hour,imu,1662.5
0,ss_max_60,last_hour,selfreport,1093.242187
0,ss_max_60,total,imu,2056.5625
0,ss_max_60,total,selfreport,1421.289062
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.4203581832209218
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.2537658794510591
0,ss_max_position,total,imu,0.8789621446043728
0,ss_max_position,total,selfreport,0.2876217718962223
0,ss_mean,last_30min,imu,598.2942710000001
0,ss_mean,last_30min,selfreport,223.6132815
0,ss_mean,last_hour,imu,443.8134765
0,ss_mean,last_hour,selfreport,358.23437490000003
0,ss_mean,total,imu,328.61505677777774
0,ss_mean,total,selfreport,168.083984475
0,ss_mean_60,last_30min,imu,598.2942710000001
0,ss_mean_60,last_30min,selfreport,223.6132815
0,ss_mean_60,last_hour,imu,869.5507809999999
0,ss_mean_60,last_hour,selfreport,358.23437490000003
0,ss_mean_60,total,imu,468.5954733382353
0,ss_mean_60,total,selfreport,327.14021389473686
0,ss_median,last_30min,imu,566.640625
0,ss_median,last_30min,selfreport,223.3593755
0,ss_median,last_hour,imu,135.253906
0,ss_median,last_hour,selfreport,275.917969
0,ss_median,total,imu,145.664063
0,ss_median,total,selfreport,50.195313
0,ss_median_60,last_30min,imu,566.640625
0,ss_median_60,last_30min,selfreport,223.3593755
0,ss_median_60,last_hour,imu,789.3164059999999
0,ss_median_60,last_hour,selfreport,275.917969
0,ss_median_60,total,imu,279.47265600000003
0,ss_median_60,total,selfreport,165.976562
0,ss_number,last_30min,imu,3.0
0,ss_number,last_30min,selfreport,8.0
0,ss_number,last_hour,imu,8.0
0,ss_number,last_hour,selfreport,10.0
0,ss_number,total,imu,99.0
0,ss_number,total,selfreport,40.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,8.0
0,ss_number_60,last_hour,imu,4.0
0,ss_number_60,last_hour,selfreport,10.0
0,ss_number_60,total,imu,68.0
0,ss_number_60,total,selfreport,19.0
0,ss_skewness,last_30min,imu,0.1529447572052341
0,ss_skewness,last_30min,selfreport,0.0038635475805523
0,ss_skewness,last_hour,imu,1.1373692300738576
0,ss_skewness,last_hour,selfreport,1.2293155071395243
0,ss_skewness,total,imu,1.9505885136150152
0,ss_skewness,total,selfreport,2.93781890387912
0,ss_skewness_60,last_30min,imu,0.1529447572052341
0,ss_skewness_60,last_30min,selfreport,0.0038635475805523
0,ss_skewness_60,last_hour,imu,0.3621812544596668
0,ss_skewness_60,last_hour,selfreport,1.2293155071395243
0,ss_skewness_60,total,imu,1.5701213431091077
0,ss_skewness_60,total,selfreport,1.895182775450252
0,ss_std,last_30min,imu,377.53949791002657
0,ss_std,last_30min,selfreport,115.69913120849073
0,ss_std,last_hour,imu,608.4196504332693
0,ss_std,last_hour,selfreport,344.4608804655482
0,ss_std,total,imu,439.7302896105216
0,ss_std,total,selfreport,298.5815824991814
0,ss_std_60,last_30min,imu,377.53949791002657
0,ss_std_60,last_30min,selfreport,115.69913120849073
0,ss_std_60,last_hour,imu,616.6695831454559
0,ss_std_60,last_hour,selfreport,344.4608804655482
0,ss_std_60,total,imu,468.22500180641214
0,ss_std_60,total,selfreport,376.9620492327055
1,ss_max,last_30min,imu,830.195312
1,ss_max,last_30min,selfreport,1799.609375
1,ss_max,last_hour,imu,830.195312
1,ss_max,last_hour,selfreport,2228.203125
1,ss_max,total,imu,2898.515625
1,ss_max,total,selfreport,2228.710938
1,ss_max_60,last_30min,imu,830.195312
1,ss_max_60,last_30min,selfreport,1799.609375
1,ss_max_60,last_hour,imu,830.195312
1,ss_max_60,last_hour,selfreport,2228.203125
1,ss_max_60,total,imu,2898.515625
1,ss_max_60,total,selfreport,2228.710938
1,ss_max_position,last_30min,imu,0.4324893259393095
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.7161586269458752
1,ss_max_position,last_hour,selfreport,0.3810014676331476
1,ss_max_position,total,imu,0.4980699012053501
1,ss_max_position,total,selfreport,0.7432632793671662
1,ss_mean,last_30min,imu,439.3066405
1,ss_mean,last_30min,selfreport,1799.609375
1,ss_mean,last_hour,imu,391.7274304444444
1,ss_mean,last_hour,selfreport,898.8769535
1,ss_mean,total,imu,443.7366365263158
1,ss_mean,total,selfreport,292.2467672413793
1,ss_mean_60,last_30min,imu,577.4739579999999
1,ss_mean_60,last_30min,selfreport,1799.609375
1,ss_mean_60,last_hour,imu,439.941406125
1,ss_mean_60,last_hour,selfreport,1195.9895836666667
1,ss_mean_60,total,imu,555.9680989833333
1,ss_mean_60,total,selfreport,679.1634115
1,ss_median,last_30min,imu,451.113281
1,ss_median,last_30min,selfreport,1799.609375
1,ss_median,last_hour,imu,292.421875
1,ss_median,last_hour,selfreport,679.8828129999999
1,ss_median,total,imu,191.6210935
1,ss_median,total,selfreport,38.515625
1,ss_median_60,last_30min,imu,750.976562
1,ss_median_60,last_30min,selfreport,1799.609375
1,ss_median_60,last_hour,imu,387.1289065
1,ss_median_60,last_hour,selfreport,1068.867188
1,ss_median_60,total,imu,302.0703125
1,ss_median_60,total,selfreport,420.8984375
1,ss_number,last_30min,imu,4.0
1,ss_number,last_30min,selfreport,1.0
1,ss_number,last_hour,imu,9.0
1,ss_number,last_hour,selfreport,4.0
1,ss_number,total,imu,76.0
1,ss_number,total,selfreport,29.0
1,ss_number_60,last_30min,imu,3.0
1,ss_number_60,last_30min,selfreport,1.0
1,ss_number_60,last_hour,imu,8.0
1,ss_number_60,last_hour,selfreport,3.0
1,ss_number_60,total,imu,60.0
1,ss_number_60,total,selfreport,12.0
1,ss_skewness,last_30min,imu,-0.028545786662063
1,ss_skewness,last_30min,selfreport,0.0
1,ss_skewness,last_hour,imu,0.3014535671865108
1,ss_skewness,last_hour,selfreport,0.5580670657177279
1,ss_skewness,total,imu,2.1902245028791025
1,ss_skewness,total,selfreport,2.321120595109593
1,ss_skewness_60,last_30min,imu,-0.6710560687763667
1,ss_skewness_60,last_30min,selfreport,0.0
1,ss_skewness_60,last_hour,imu,0.160737833848972
1,ss_skewness_60,last_hour,selfreport,0.2354811155434304
1,ss_skewness_60,total,imu,1.965678486121974
1,ss_skewness_60,total,selfreport,1.145021594880292
1,ss_std,last_30min,imu,410.17093600811097
1,ss_std,last_hour,imu,337.0983065293676
1,ss_std,last_hour,selfreport,993.332079486477
1,ss_std,total,imu,586.8648899051722
1,ss_std,total,selfreport,539.3231612242844
1,ss_std_60,last_30min,imu,371.2398811655072
1,ss_std_60,last_hour,imu,325.513188157918
1,ss_std_60,last_hour,selfreport,974.8884244763944
1,ss_std_60,total,imu,613.9133682558333
1,ss_std_60,total,selfreport,679.3103532917038
