night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,973.90625
0,ss_max,last_30min,selfreport,982.03125
0,ss_max,last_hour,imu,1625.429688
0,ss_max,last_hour,selfreport,1625.9375
0,ss_max,total,imu,2059.609375
0,ss_max,total,selfreport,3261.09375
0,ss_max_60,last_30min,imu,973.90625
0,ss_max_60,last_30min,selfreport,982.03125
0,ss_max_60,last_hour,imu,1625.429688
0,ss_max_60,last_hour,selfreport,1625.9375
0,ss_max_60,total,imu,2059.609375
0,ss_max_60,total,selfreport,3261.09375
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.3190763863280312
0,ss_max_position,last_hour,selfreport,0.3211922776229419
0,ss_max_position,total,imu,0.3690478390569077
0,ss_max_position,total,selfreport,0.0936578714465408
0,ss_mean,last_30min,imu,596.6015626666666
0,ss_mean,last_30min,selfreport,596.7708333333334
0,ss_mean,last_hour,imu,716.0390628000001
0,ss_mean,last_hour,selfreport,716.0390626000001
0,ss_mean,total,imu,601.8865741481482
0,ss_mean,total,selfreport,469.0252131363637
0,ss_mean_60,last_30min,imu,596.6015626666666
0,ss_mean_60,last_30min,selfreport,596.7708333333334
0,ss_mean_60,last_hour,imu,716.0390628000001
0,ss_mean_60,last_hour,selfreport,716.0390626000001
0,ss_mean_60,total,imu,675.4606120833333
0,ss_mean_60,total,selfreport,677.6145834
0,ss_median,last_30min,imu,460.507813
0,ss_median,last_30min,selfreport,461.015625
0,ss_median,last_hour,imu,460.507813
0,ss_median,last_hour,selfreport,460.507813
0,ss_median,total,imu,432.070312
0,ss_median,total,selfreport,247.988281
0,ss_median_60,last_30min,imu,460.507813
0,ss_median_60,last_30min,selfreport,461.015625
0,ss_median_60,last_hour,imu,460.507813
0,ss_median_60,last_hour,selfreport,460.507813
0,ss_median_60,total,imu,463.046875
0,ss_median_60,total,selfreport,460.507812
0,ss_number,last_30min,imu,3.0
0,ss_number,last_30min,selfreport,3.0
0,ss_number,last_hour,imu,5.0
0,ss_number,last_hour,selfreport,5.0
0,ss_number,total,imu,27.0
0,ss_number,total,selfreport,66.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,5.0
0,ss_number_60,last_hour,selfreport,5.0
0,ss_number_60,total,imu,24.0
0,ss_number_60,total,selfreport,45.0
0,ss_skewness,last_30min,imu,0.6277049563437727
0,ss_skewness,last_30min,selfreport,0.618318514752762
0,ss_skewness,last_hour,imu,1.197563546980403
0,ss_skewness,last_hour,selfreport,1.1822088398512869
0,ss_skewness,total,imu,1.205233706890879
0,ss_skewness,total,selfreport,2.1909496327972247
0,ss_skewness_60,last_30min,imu,0.6277049563437727
0,ss_skewness_60,last_30min,selfreport,0.618318514752762
0,ss_skewness_60,last_hour,imu,1.197563546980403
0,ss_skewness_60,last_hour,selfreport,1.1822088398512869
0,ss_skewness_60,total,imu,1.204573946894787
0,ss_skewness_60,total,selfreport,1.939079199951647
0,ss_std,last_30min,imu,330.9554745219289
0,ss_std,last_30min,selfreport,338.45820585802056
0,ss_std,last_hour,imu,533.3944152498034
