night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1570.585938
0,ss_max,last_30min,selfreport,1450.742188
0,ss_max,last_hour,imu,1701.09375
0,ss_max,last_hour,selfreport,1700.585938
0,ss_max,total,imu,2934.570313
0,ss_max,total,selfreport,2934.570312
0,ss_max_60,last_30min,imu,1570.585938
0,ss_max_60,last_30min,selfreport,1450.742188
0,ss_max_60,last_hour,imu,1701.09375
0,ss_max_60,last_hour,selfreport,1700.585938
0,ss_max_60,total,imu,2934.570313
0,ss_max_60,total,selfreport,2934.570312
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.4638033413998969
0,ss_max_position,last_hour,selfreport,0.4305133205451598
0,ss_max_position,total,imu,0.7812817848484849
0,ss_max_position,total,selfreport,0.7725462464080459
0,ss_mean,last_30min,imu,894.433594
0,ss_mean,last_30min,selfreport,890.8789065
0,ss_mean,last_hour,imu,1194.9739583333333
0,ss_mean,last_hour,selfreport,1192.434896
0,ss_mean,total,imu,456.9399350909091
0,ss_mean,total,selfreport,477.9286023472222
0,ss_mean_60,last_30min,imu,894.433594
0,ss_mean_60,last_30min,selfreport,890.8789065
0,ss_mean_60,last_hour,imu,1194.9739583333333
0,ss_mean_60,last_hour,selfreport,1192.434896
0,ss_mean_60,total,imu,627.9843750363636
0,ss_mean_60,total,selfreport,649.7265624615385
0,ss_median,last_30min,imu,894.433594
0,ss_median,last_30min,selfreport,890.8789065
0,ss_median,last_hour,imu,1665.546875
0,ss_median,last_hour,selfreport,1545.703125
0,ss_median,total,imu,218.28125
0,ss_median,total,selfreport,268.046875
0,ss_median_60,last_30min,imu,894.433594
0,ss_median_60,last_30min,selfreport,890.8789065
0,ss_median_60,last_hour,imu,1665.546875
0,ss_median_60,last_hour,selfreport,1545.703125
0,ss_median_60,total,imu,415.3125
0,ss_median_60,total,selfreport,410.9960935
0,ss_number,last_30min,imu,2.0
0,ss_number,last_30min,selfreport,2.0
0,ss_number,last_hour,imu,3.0
0,ss_number,last_hour,selfreport,3.0
0,ss_number,total,imu,77.0
0,ss_number,total,selfreport,72.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_30min,selfreport,2.0
0,ss_number_60,last_hour,imu,3.0
0,ss_number_60,last_hour,selfreport,3.0
0,ss_number_60,total,imu,55.0
0,ss_number_60,total,selfreport,52.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,0.0
0,ss_skewness,last_hour,imu,-0.7057027019036813
0,ss_skewness,last_hour,selfreport,-0.6733345062675983
0,ss_skewness,total,imu,2.262217463028336
0,ss_skewness,total,selfreport,2.193968883882952
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,-0.7057027019036813
0,ss_skewness_60,last_hour,selfreport,-0.6733345062675983
0,ss_skewness_60,total,imu,1.926613990713492
