night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,639.257813
0,ss_max,last_30min,selfreport,638.75
0,ss_max,last_hour,imu,725.078125
0,ss_max,last_hour,selfreport,850.0
0,ss_max,total,imu,2594.335938
0,ss_max,total,selfreport,2593.828125
0,ss_max_60,last_30min,imu,639.257813
0,ss_max_60,last_30min,selfreport,638.75
0,ss_max_60,last_hour,imu,725.078125
0,ss_max_60,last_hour,selfreport,850.0
0,ss_max_60,total,imu,2594.335938
0,ss_max_60,total,selfreport,2593.828125
0,ss_max_position,last_30min,imu,0.0894319085511216
0,ss_max_position,last_30min,selfreport,0.160243924878848
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0005642376416057
0,ss_max_position,total,imu,0.1185781544642348
0,ss_max_position,total,selfreport,0.1080812278368794
0,ss_mean,last_30min,imu,129.92187492307693
0,ss_mean,last_30min,selfreport,194.8090277777778
0,ss_mean,last_hour,imu,204.80928288235293
0,ss_mean,last_hour,selfreport,295.2994794166668
0,ss_mean,total,imu,338.9796112439024
0,ss_mean,total,selfreport,404.9471507794118
0,ss_mean_60,last_30min,imu,266.3541666666667
0,ss_mean_60,last_30min,selfreport,245.485491
0,ss_mean_60,last_hour,imu,338.785156
0,ss_mean_60,last_hour,selfreport,350.82031270000004
0,ss_mean_60,total,imu,604.3654513777777
0,ss_mean_60,total,selfreport,604.21875
0,ss_median,last_30min,imu,26.328125
0,ss_median,last_30min,selfreport,166.992187
0,ss_median,last_hour,imu,116.210937
0,ss_median,last_hour,selfreport,229.7070315
0,ss_median,total,imu,98.4374995
0,ss_median,total,selfreport,190.8593755
0,ss_median_60,last_30min,imu,207.109375
0,ss_median_60,last_30min,selfreport,217.265625
0,ss_median_60,last_hour,imu,275.41015600000003
0,ss_median_60,last_hour,selfreport,275.4101565
0,ss_median_60,total,imu,401.09375
0,ss_median_60,total,selfreport,401.09375
0,ss_number,last_30min,imu,13.0
0,ss_number,last_30min,selfreport,9.0
0,ss_number,last_hour,imu,17.0
0,ss_number,last_hour,selfreport,12.0
0,ss_number,total,imu,82.0
0,ss_number,total,selfreport,68.0
0,ss_number_60,last_30min,imu,6.0
0,ss_number_60,last_30min,selfreport,7.0
0,ss_number_60,last_hour,imu,10.0
0,ss_number_60,last_hour,selfreport,10.0
0,ss_number_60,total,imu,45.0
0,ss_number_60,total,selfreport,45.0
0,ss_skewness,last_30min,imu,1.789733370370276
0,ss_skewness,last_30min,selfreport,1.3121895741404106
0,ss_skewness,last_hour,imu,1.081315221819719
0,ss_skewness,last_hour,selfreport,0.8929129131486986
0,ss_skewness,total,imu,2.390803012951857
0,ss_skewness,total,selfreport,2.13762865213382
0,ss_skewness_60,last_30min,imu,1.208044483812275
0,ss_skewness_60,last_30min,selfreport,1.2428369273346769
0,ss_skewness_60,last_hour,imu,0.6181571110644417
0,ss_skewness_60,last_hour,selfreport,0.8378274278363894
0,ss_skewness_60,total,imu,1.8002989328373804
0,ss_skewness_60,total,selfreport,1.7996023239690704
0,ss_std,last_30min,imu,183.6831122303826
0,ss_std,last_30min,selfreport,195.6742279936209
0,ss_std,last_hour,imu,237.6724656277209
0,ss_std,last_hour,selfreport,263.7911720180595
0,ss_std,total,imu,525.6911382946574
0,ss_std,total,selfreport,555.0117731212645
0,ss_std_60,last_30min,imu,198.60615487479487
0,ss_std_60,last_30min,selfreport,193.76598524614585
0,ss_std_60,last_hour,imu,227.9571073266469
0,ss_std_60,last_hour,selfreport,253.9373938204136
0,ss_std_60,total,imu,590.7238959798146
0,ss_std_60,total,selfreport,590.6946211186533
1,ss_max,last_30min,imu,958.671875
1,ss_max,last_30min,selfreport,1799.609375
1,ss_max,last_hour,imu,1120.15625
1,ss_max,last_hour,selfreport,3599.804688
1,ss_max,total,imu,2946.25
1,ss_max,total,selfreport,87409.287109
1,ss_max_60,last_30min,imu,958.671875
1,ss_max_60,last_30min,selfreport,1799.609375
1,ss_max_60,last_hour,imu,1120.15625
1,ss_max_60,last_hour,selfreport,3599.804688
1,ss_max_60,total,imu,2946.25
1,ss_max_60,total,selfreport,87409.287109
1,ss_max_position,last_30min,imu,0.4671900347654886
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.4192285678294982
1,ss_max_position,last_hour,selfreport,0.0
1,ss_max_position,total,imu,0.224369436708414
1,ss_max_position,total,selfreport,0.2103912601626016
1,ss_mean,last_30min,imu,893.9257809999999
1,ss_mean,last_30min,selfreport,1799.609375
1,ss_mean,last_hour,imu,717.0546876000001
1,ss_mean,last_hour,selfreport,3599.804688
1,ss_mean,total,imu,535.5948153863636
1,ss_mean,total,selfreport,2164.86806827451
1,ss_mean_60,last_30min,imu,893.9257809999999
1,ss_mean_60,last_30min,selfreport,1799.609375
1,ss_mean_60,last_hour,imu,717.0546876000001
1,ss_mean_60,last_hour,selfreport,3599.804688
1,ss_mean_60,total,imu,615.7781661578947
1,ss_mean_60,total,selfreport,2687.317787682927
1,ss_median,last_30min,imu,893.9257809999999
1,ss_median,last_30min,selfreport,1799.609375
1,ss_median,last_hour,imu,958.671875
1,ss_median,last_hour,selfreport,3599.804688
1,ss_median,total,imu,312.9882815
1,ss_median,total,selfreport,206.601562
1,ss_median_60,last_30min,imu,893.9257809999999
1,ss_median_60,last_30min,selfreport,1799.609375
1,ss_median_60,last_hour,imu,958.671875
1,ss_median_60,last_hour,selfreport,3599.804688
1,ss_median_60,total,imu,438.164063
1,ss_median_60,total,selfreport,383.320312
1,ss_number,last_30min,imu,2.0
1,ss_number,last_30min,selfreport,1.0
1,ss_number,last_hour,imu,5.0
1,ss_number,last_hour,selfreport,1.0
1,ss_number,total,imu,44.0
1,ss_number,total,selfreport,51.0
1,ss_number_60,last_30min,imu,2.0
1,ss_number_60,last_30min,selfreport,1.0
1,ss_number_60,last_hour,imu,5.0
1,ss_number_60,last_hour,selfreport,1.0
1,ss_number_60,total,imu,38.0
1,ss_number_60,total,selfreport,41.0
1,ss_skewness,last_30min,imu,2.787935868732113e-15
1,ss_skewness,last_30min,selfreport,0.0
1,ss_skewness,last_hour,imu,-0.3605210074810736
1,ss_skewness,last_hour,selfreport,0.0
1,ss_skewness,total,imu,2.268814619616073
1,ss_skewness,total,selfreport,6.900855442958302
1,ss_skewness_60,last_30min,imu,2.787935868732113e-15
1,ss_skewness_60,last_30min,selfreport,0.0
1,ss_skewness_60,last_hour,imu,-0.3605210074810736
1,ss_skewness_60,last_hour,selfreport,0.0
1,ss_skewness_60,total,imu,2.1577286912999654
1,ss_skewness_60,total,selfreport,6.14346276919536
1,ss_std,last_30min,imu,91.56480424548332
1,ss_std,last_hour,imu,431.7004233317911
1,ss_std,total,imu,662.2572543348093
1,ss_std,total,selfreport,12191.782518250444
1,ss_std_60,last_30min,imu,91.56480424548332
1,ss_std_60,last_hour,imu,431.7004233317911
1,ss_std_60,total,imu,679.1406933249731
1,ss_std_60,total,selfreport,13578.38420868672
