night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1328.867188
0,ss_max,last_30min,selfreport,798.203125
0,ss_max,last_hour,imu,1328.867187
0,ss_max,last_hour,selfreport,1744.765625
0,ss_max,total,imu,2905.625
0,ss_max,total,selfreport,2905.625
0,ss_max_60,last_30min,imu,1328.867188
0,ss_max_60,last_30min,selfreport,798.203125
0,ss_max_60,last_hour,imu,1328.867187
0,ss_max_60,last_hour,selfreport,1744.765625
0,ss_max_60,total,imu,2905.625
0,ss_max_60,total,selfreport,2905.625
0,ss_max_position,last_30min,imu,0.2341592564250772
0,ss_max_position,last_30min,selfreport,0.0998703334632257
0,ss_max_position,last_hour,imu,0.6171349206451389
0,ss_max_position,last_hour,selfreport,0.0630535565883278
0,ss_max_position,total,imu,0.2421541304588135
0,ss_max_position,total,selfreport,0.5473298212021308
0,ss_mean,last_30min,imu,443.62304725
0,ss_mean,last_30min,selfreport,355.1875
0,ss_mean,last_hour,imu,355.5429687
0,ss_mean,last_hour,selfreport,595.078125
0,ss_mean,total,imu,494.53125
0,ss_mean,total,selfreport,113.48602611340206
0,ss_mean_60,last_30min,imu,871.3281254999999
0,ss_mean_60,last_30min,selfreport,432.19726575
0,ss_mean_60,last_hour,imu,583.90625
0,ss_mean_60,last_hour,selfreport,704.5625
0,ss_mean_60,total,imu,621.2073863939394
0,ss_mean_60,total,selfreport,351.874263018868
0,ss_median,last_30min,imu,217.2656255
0,ss_median,last_30min,selfreport,358.4375
0,ss_median,last_hour,imu,213.203125
0,ss_median,last_hour,selfreport,379.765625
0,ss_median,total,imu,285.8203125
0,ss_median,total,selfreport,31.660156
0,ss_median_60,last_30min,imu,871.3281254999999
0,ss_median_60,last_30min,selfreport,379.511719
0,ss_median_60,last_hour,imu,452.890625
0,ss_median_60,last_hour,selfreport,401.09375
0,ss_median_60,total,imu,435.117187
0,ss_median_60,total,selfreport,127.890625
0,ss_number,last_30min,imu,4.0
0,ss_number,last_30min,selfreport,5.0
0,ss_number,last_hour,imu,10.0
0,ss_number,last_hour,selfreport,6.0
0,ss_number,total,imu,42.0
0,ss_number,total,selfreport,194.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_30min,selfreport,4.0
0,ss_number_60,last_hour,imu,6.0
0,ss_number_60,last_hour,selfreport,5.0
0,ss_number_60,total,imu,33.0
0,ss_number_60,total,selfreport,53.0
0,ss_skewness,last_30min,imu,0.8706189157427449
0,ss_skewness,last_30min,selfreport,0.6174515563657716
0,ss_skewness,last_hour,imu,1.226666550474431
0,ss_skewness,last_hour,selfreport,1.210319841209362
0,ss_skewness,total,imu,2.0598121309391435
0,ss_skewness,total,selfreport,5.683667786899442
0,ss_skewness_60,last_30min,imu,2.333602266229763e-16
0,ss_skewness_60,last_30min,selfreport,0.649757319416097
0,ss_skewness_60,last_hour,imu,0.8735497558086693
0,ss_skewness_60,last_hour,selfreport,1.1068275683824984
0,ss_skewness_60,total,imu,1.9096793181164524
0,ss_skewness_60,total,selfreport,2.890700024501775
0,ss_std,last_30min,imu,619.2622141032107
0,ss_std,last_30min,selfreport,285.8936120420927
0,ss_std,last_hour,imu,436.6526801514427
0,ss_std,last_hour,selfreport,615.9204200764799
0,ss_std,total,imu,591.7691174575561
0,ss_std,total,selfreport,312.7310497008618
0,ss_std_60,last_30min,imu,647.0579475029712
0,ss_std_60,last_30min,selfreport,263.52137750633
0,ss_std_60,last_hour,imu,432.1243887232714
0,ss_std_60,last_hour,selfreport,619.9163185990749
0,ss_std_60,total,imu,609.3664185853794
0,ss_std_60,total,selfreport,531.485298754459
