night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,983.554687
0,ss_max,last_30min,selfreport,880.46875
0,ss_max,last_hour,imu,983.554688
0,ss_max,last_hour,selfreport,964.765625
0,ss_max,total,imu,2562.851563
0,ss_max,total,selfreport,2249.53125
0,ss_max_60,last_30min,imu,983.554687
0,ss_max_60,last_30min,selfreport,880.46875
0,ss_max_60,last_hour,imu,983.554688
0,ss_max_60,last_hour,selfreport,964.765625
0,ss_max_60,total,imu,2562.851563
0,ss_max_60,total,selfreport,2249.53125
0,ss_max_position,last_30min,imu,0.4533661750670553
0,ss_max_position,last_30min,selfreport,0.5106364507583009
0,ss_max_position,last_hour,imu,0.7267380823881596
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.0251560366257532
0,ss_max_position,total,selfreport,0.8170455875280899
0,ss_mean,last_30min,imu,899.765625
0,ss_mean,last_30min,selfreport,598.9713543333334
0,ss_mean,last_hour,imu,898.8769535000001
0,ss_mean,last_hour,selfreport,898.876953
0,ss_mean,total,imu,825.400965117647
0,ss_mean,total,selfreport,783.2674632647058
0,ss_mean_60,last_30min,imu,899.765625
0,ss_mean_60,last_30min,selfreport,869.8046875
0,ss_mean_60,last_hour,imu,898.8769535000001
0,ss_mean_60,last_hour,selfreport,898.876953
0,ss_mean_60,total,imu,904.0574597419356
0,ss_mean_60,total,selfreport,857.8301411935485
0,ss_median,last_30min,imu,899.765625
0,ss_median,last_30min,selfreport,859.140625
0,ss_median,last_hour,imu,876.6601565000001
0,ss_median,last_hour,selfreport,886.0546875
0,ss_median,total,imu,697.148438
0,ss_median,total,selfreport,652.9687505
0,ss_median_60,last_30min,imu,899.765625
0,ss_median_60,last_30min,selfreport,869.8046875
0,ss_median_60,last_hour,imu,876.6601565000001
0,ss_median_60,last_hour,selfreport,886.0546875
0,ss_median_60,total,imu,724.570313
0,ss_median_60,total,selfreport,725.078125
0,ss_number,last_30min,imu,2.0
0,ss_number,last_30min,selfreport,3.0
0,ss_number,last_hour,imu,4.0
0,ss_number,last_hour,selfreport,4.0
0,ss_number,total,imu,34.0
0,ss_number,total,selfreport,34.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_30min,selfreport,2.0
0,ss_number_60,last_hour,imu,4.0
0,ss_number_60,last_hour,selfreport,4.0
0,ss_number_60,total,imu,31.0
0,ss_number_60,total,selfreport,31.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,-0.7054635467761438
0,ss_skewness,last_hour,imu,0.94797729669509
0,ss_skewness,last_hour,selfreport,0.8463828808125212
0,ss_skewness,total,imu,0.8931885430542376
0,ss_skewness,total,selfreport,0.7806700727640524
0,ss_skewness_60,last_30min,imu,0.0
