night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,404.140625
0,ss_max,last_30min,selfreport,510.273437
0,ss_max,last_hour,imu,510.273438
0,ss_max,last_hour,selfreport,509.765625
0,ss_max,total,imu,4443.28125
0,ss_max,total,selfreport,4442.773437
0,ss_max_60,last_30min,imu,404.140625
0,ss_max_60,last_30min,selfreport,510.273437
0,ss_max_60,last_hour,imu,510.273438
0,ss_max_60,last_hour,selfreport,509.765625
0,ss_max_60,total,imu,4443.28125
0,ss_max_60,total,selfreport,4442.773437
0,ss_max_position,last_30min,imu,0.7752646224772436
0,ss_max_position,last_30min,selfreport,0.0115669033060059
0,ss_max_position,last_hour,imu,0.3405174167090484
0,ss_max_position,last_hour,selfreport,0.5058390456995225
0,ss_max_position,total,imu,0.1426989012661955
0,ss_max_position,total,selfreport,0.1031913325471698
0,ss_mean,last_30min,imu,160.1136362727273
0,ss_mean,last_30min,selfreport,160.390625
0,ss_mean,last_hour,imu,208.09512882352945
0,ss_mean,last_hour,selfreport,207.40808829411768
0,ss_mean,total,imu,295.5316648141593
0,ss_mean,total,selfreport,316.3506155151515
0,ss_mean_60,last_30min,imu,278.5416666666667
0,ss_mean_60,last_30min,selfreport,277.5260416666667
0,ss_mean_60,last_hour,imu,287.25911475000004
0,ss_mean_60,last_hour,selfreport,286.4973959166667
0,ss_mean_60,total,imu,455.6800175774648
0,ss_mean_60,total,selfreport,461.3849431666667
0,ss_median,last_30min,imu,145.15625
0,ss_median,last_30min,selfreport,180.703125
0,ss_median,last_hour,imu,235.039063
0,ss_median,last_hour,selfreport,235.039062
0,ss_median,total,imu,120.78125
0,ss_median,total,selfreport,135.0
0,ss_median_60,last_30min,imu,274.90234350000003
0,ss_median_60,last_30min,selfreport,233.0078125
0,ss_median_60,last_hour,imu,271.855469
0,ss_median_60,last_hour,selfreport,257.1289065
0,ss_median_60,total,imu,235.039063
0,ss_median_60,total,selfreport,240.1171875
0,ss_number,last_30min,imu,11.0
0,ss_number,last_30min,selfreport,11.0
0,ss_number,last_hour,imu,17.0
0,ss_number,last_hour,selfreport,17.0
0,ss_number,total,imu,113.0
0,ss_number,total,selfreport,99.0
0,ss_number_60,last_30min,imu,6.0
0,ss_number_60,last_30min,selfreport,6.0
0,ss_number_60,last_hour,imu,12.0
0,ss_number_60,last_hour,selfreport,12.0
0,ss_number_60,total,imu,71.0
0,ss_number_60,total,selfreport,66.0
0,ss_skewness,last_30min,imu,0.4318798452191334
0,ss_skewness,last_30min,selfreport,0.8284329096159898
0,ss_skewness,last_hour,imu,0.1419828353954107
0,ss_skewness,last_hour,selfreport,0.0605943134703604
0,ss_skewness,total,imu,4.5088433217506525
0,ss_skewness,total,selfreport,4.312432992811366
0,ss_skewness_60,last_30min,imu,0.0161768498631293
0,ss_skewness_60,last_30min,selfreport,1.3465888302721356
0,ss_skewness_60,last_hour,imu,0.280730424063171
0,ss_skewness_60,last_hour,selfreport,1.23207523871227
0,ss_skewness_60,total,imu,3.635058379580747
0,ss_skewness_60,total,selfreport,3.594382636660105
0,ss_std,last_30min,imu,156.21890081016653
0,ss_std,last_30min,selfreport,160.1201340230716
0,ss_std,last_hour,imu,157.6112152103501
0,ss_std,last_hour,selfreport,147.7315565898457
0,ss_std,total,imu,630.1083893278776
0,ss_std,total,selfreport,633.5912690615679
0,ss_std_60,last_30min,imu,107.40380448744637
0,ss_std_60,last_30min,selfreport,121.74995740679869
0,ss_std_60,last_hour,imu,113.03048733653642
0,ss_std_60,last_hour,selfreport,91.78027435304168
0,ss_std_60,total,imu,751.7198067657916
0,ss_std_60,total,selfreport,735.5266410557138
1,ss_max,last_30min,imu,957.65625
1,ss_max,last_30min,selfreport,957.65625
1,ss_max,last_hour,imu,957.65625
1,ss_max,last_hour,selfreport,957.65625
1,ss_max,total,imu,4071.054688
1,ss_max,total,selfreport,4071.054688
1,ss_max_60,last_30min,imu,957.65625
1,ss_max_60,last_30min,selfreport,957.65625
1,ss_max_60,last_hour,imu,957.65625
1,ss_max_60,last_hour,selfreport,957.65625
1,ss_max_60,total,imu,4071.054688
1,ss_max_60,total,selfreport,4071.054688
1,ss_max_position,last_30min,imu,0.2414943656624892
1,ss_max_position,last_30min,selfreport,0.2747844768168978
1,ss_max_position,last_hour,imu,0.620802465315576
1,ss_max_position,last_hour,selfreport,0.6374474757429446
1,ss_max_position,total,imu,0.2454206678385416
1,ss_max_position,total,selfreport,0.2576921065279957
1,ss_mean,last_30min,imu,294.2838541666667
1,ss_mean,last_30min,selfreport,442.98828125
1,ss_mean,last_hour,imu,181.1842105789474
1,ss_mean,last_hour,selfreport,190.37977422222224
1,ss_mean,total,imu,310.3066139041096
1,ss_mean,total,selfreport,327.3882533714286
1,ss_mean_60,last_30min,imu,557.5
1,ss_mean_60,last_30min,selfreport,442.98828125
1,ss_mean_60,last_hour,imu,303.6399148181818
1,ss_mean_60,last_hour,selfreport,303.59374990909095
1,ss_mean_60,total,imu,428.0957031730769
1,ss_mean_60,total,selfreport,442.7043122156863
1,ss_median,last_30min,imu,193.398437
1,ss_median,last_30min,selfreport,356.40625
1,ss_median,last_hour,imu,95.898438
1,ss_median,last_hour,selfreport,102.7539065
1,ss_median,total,imu,173.59375
1,ss_median,total,selfreport,186.0351565
1,ss_median_60,last_30min,imu,373.164063
1,ss_median_60,last_30min,selfreport,356.40625
1,ss_median_60,last_hour,imu,242.65625
1,ss_median_60,last_hour,selfreport,243.164062
1,ss_median_60,total,imu,238.59375
1,ss_median_60,total,selfreport,260.429688
1,ss_number,last_30min,imu,6.0
1,ss_number,last_30min,selfreport,4.0
1,ss_number,last_hour,imu,19.0
1,ss_number,last_hour,selfreport,18.0
1,ss_number,total,imu,73.0
1,ss_number,total,selfreport,70.0
1,ss_number_60,last_30min,imu,3.0
1,ss_number_60,last_30min,selfreport,4.0
1,ss_number_60,last_hour,imu,11.0
1,ss_number_60,last_hour,selfreport,11.0
1,ss_number_60,total,imu,52.0
1,ss_number_60,total,selfreport,51.0
1,ss_skewness,last_30min,imu,1.0900099696842604
1,ss_skewness,last_30min,selfreport,0.7598300647620624
1,ss_skewness,last_hour,imu,1.9099250201490368
1,ss_skewness,last_hour,selfreport,1.8424994712073788
1,ss_skewness,total,imu,4.960301706027547
1,ss_skewness,total,selfreport,4.7982575614058085
1,ss_skewness_60,last_30min,imu,0.7005598315351866
1,ss_skewness_60,last_30min,selfreport,0.7598300647620624
1,ss_skewness_60,last_hour,imu,1.4599982903206936
1,ss_skewness_60,last_hour,selfreport,1.4620670008873329
1,ss_skewness_60,total,imu,4.511450853786161
1,ss_skewness_60,total,selfreport,4.422028757201372
1,ss_std,last_30min,imu,362.5615768649937
1,ss_std,last_30min,selfreport,363.8051588900748
1,ss_std,last_hour,imu,248.5138815934962
1,ss_std,last_hour,selfreport,252.22787716701671
1,ss_std,total,imu,541.5200507005185
1,ss_std,total,selfreport,552.2611185380453
1,ss_std_60,last_30min,imu,346.9028463324771
1,ss_std_60,last_30min,selfreport,363.8051588900748
1,ss_std_60,last_hour,imu,268.07291092500515
1,ss_std_60,last_hour,selfreport,268.0011921401234
1,ss_std_60,total,imu,603.9260030691755
1,ss_std_60,total,selfreport,608.969048992337
