night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1395.390625
0,ss_max,last_30min,selfreport,829.179687
0,ss_max,last_hour,imu,1395.390625
0,ss_max,last_hour,selfreport,1033.828125
0,ss_max,total,imu,1550.273438
0,ss_max,total,selfreport,1549.765625
0,ss_max_60,last_30min,imu,1395.390625
0,ss_max_60,last_30min,selfreport,829.179687
0,ss_max_60,last_hour,imu,1395.390625
0,ss_max_60,last_hour,selfreport,1033.828125
0,ss_max_60,total,imu,1550.273438
0,ss_max_60,total,selfreport,1549.765625
0,ss_max_position,last_30min,imu,0.0284940779295361
0,ss_max_position,last_30min,selfreport,0.5391305292275655
0,ss_max_position,last_hour,imu,0.5143026104664705
0,ss_max_position,last_hour,selfreport,0.0483833779065792
0,ss_max_position,total,imu,0.6371761199152894
0,ss_max_position,total,selfreport,0.6709717718539756
0,ss_mean,last_30min,imu,291.8294273333333
0,ss_mean,last_30min,selfreport,352.546875
0,ss_mean,last_hour,imu,318.92045436363634
0,ss_mean,last_hour,selfreport,442.163085875
0,ss_mean,total,imu,468.9917834655173
0,ss_mean,total,selfreport,420.92224115625
0,ss_mean_60,last_30min,imu,426.99218775
0,ss_mean_60,last_30min,selfreport,431.68945325
0,ss_mean_60,last_hour,imu,432.1972655
0,ss_mean_60,last_hour,selfreport,582.5520833333334
0,ss_mean_60,total,imu,596.5112847777777
0,ss_mean_60,total,selfreport,601.0102982727273
0,ss_median,last_30min,imu,97.167969
0,ss_median,last_30min,selfreport,254.335938
0,ss_median,last_hour,imu,117.734375
0,ss_median,last_hour,selfreport,227.9296875
0,ss_median,total,imu,290.8984375
0,ss_median,total,selfreport,227.9296875
0,ss_median_60,last_30min,imu,109.355469
0,ss_median_60,last_30min,selfreport,348.2812505
0,ss_median_60,last_hour,imu,227.9296875
0,ss_median_60,last_hour,selfreport,542.0117185
0,ss_median_60,total,imu,544.296875
0,ss_median_60,total,selfreport,553.9453125
0,ss_number,last_30min,imu,6.0
0,ss_number,last_30min,selfreport,5.0
0,ss_number,last_hour,imu,11.0
0,ss_number,last_hour,selfreport,8.0
0,ss_number,total,imu,58.0
0,ss_number,total,selfreport,64.0
0,ss_number_60,last_30min,imu,4.0
0,ss_number_60,last_30min,selfreport,4.0
0,ss_number_60,last_hour,imu,8.0
0,ss_number_60,last_hour,selfreport,6.0
0,ss_number_60,total,imu,45.0
0,ss_number_60,total,selfreport,44.0
0,ss_skewness,last_30min,imu,1.7642007193801097
0,ss_skewness,last_30min,selfreport,0.729560960321059
0,ss_skewness,last_hour,imu,1.6306745243172016
0,ss_skewness,last_hour,selfreport,0.4625772129964201
0,ss_skewness,total,imu,0.8003614060154878
0,ss_skewness,total,selfreport,0.8768565451780583
0,ss_skewness_60,last_30min,imu,1.153822528026384
0,ss_skewness_60,last_30min,selfreport,0.7515674542004367
0,ss_skewness_60,last_hour,imu,1.2345293988126236
0,ss_skewness_60,last_hour,selfreport,0.0667415203598967
0,ss_skewness_60,total,imu,0.5346798360049645
0,ss_skewness_60,total,selfreport,0.4552171184813082
0,ss_std,last_30min,imu,542.2837806326417
0,ss_std,last_30min,selfreport,303.3336260871448
0,ss_std,last_hour,imu,454.0949453712687
0,ss_std,last_hour,selfreport,437.6006634377428
0,ss_std,total,imu,459.0603122261216
0,ss_std,total,selfreport,447.10678444297554
0,ss_std_60,last_30min,imu,645.6810142457814
0,ss_std_60,last_30min,selfreport,284.4727292258174
0,ss_std_60,last_hour,imu,490.6378666087623
0,ss_std_60,last_hour,selfreport,416.4189655477264
0,ss_std_60,total,imu,445.76648746402566
0,ss_std_60,total,selfreport,431.90936620289744
1,ss_max,last_30min,imu,689.53125
1,ss_max,last_30min,selfreport,690.039062
1,ss_max,last_hour,imu,885.039063
1,ss_max,last_hour,selfreport,885.039063
1,ss_max,total,imu,2671.015625
