night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,569.179687
0,ss_max,last_30min,selfreport,569.179688
0,ss_max,last_hour,imu,569.179688
0,ss_max,last_hour,selfreport,569.179687
0,ss_max,total,imu,2589.257812
0,ss_max,total,selfreport,2589.257813
0,ss_max_60,last_30min,imu,569.179687
0,ss_max_60,last_30min,selfreport,569.179688
0,ss_max_60,last_hour,imu,569.179688
0,ss_max_60,last_hour,selfreport,569.179687
0,ss_max_60,total,imu,2589.257812
0,ss_max_60,total,selfreport,2589.257813
0,ss_max_position,last_30min,imu,0.5250245502165319
0,ss_max_position,last_30min,selfreport,0.5004801456603457
0,ss_max_position,last_hour,imu,0.7625671728419472
0,ss_max_position,last_hour,selfreport,0.7502950040640874
0,ss_max_position,total,imu,0.5222230786721948
0,ss_max_position,total,selfreport,0.526855468731884
0,ss_mean,last_30min,imu,173.84765629999998
0,ss_mean,last_30min,selfreport,122.95758921428572
0,ss_mean,last_hour,imu,205.22748170588235
0,ss_mean,last_hour,selfreport,165.952381
0,ss_mean,total,imu,349.557463
0,ss_mean,total,selfreport,331.843171308642
0,ss_mean_60,last_30min,imu,277.5260416666667
0,ss_mean_60,last_30min,selfreport,315.37500000000006
0,ss_mean_60,last_hour,imu,306.27130681818187
0,ss_mean_60,last_hour,selfreport,306.3636363636364
0,ss_mean_60,total,imu,544.4238281458333
0,ss_mean_60,total,selfreport,539.0218431428572
0,ss_median,last_30min,imu,78.1250005
0,ss_median,last_30min,selfreport,27.597656
0,ss_median,last_hour,imu,165.46875
0,ss_median,last_hour,selfreport,69.492188
0,ss_median,total,imu,131.6992185
0,ss_median,total,selfreport,129.921875
0,ss_median_60,last_30min,imu,244.4335935
0,ss_median_60,last_30min,selfreport,322.382813
0,ss_median_60,last_hour,imu,307.65625
0,ss_median_60,last_hour,selfreport,307.65625
0,ss_median_60,total,imu,292.6757815
0,ss_median_60,total,selfreport,289.375
0,ss_number,last_30min,imu,10.0
0,ss_number,last_30min,selfreport,14.0
0,ss_number,last_hour,imu,17.0
0,ss_number,last_hour,selfreport,21.0
0,ss_number,total,imu,76.0
0,ss_number,total,selfreport,81.0
0,ss_number_60,last_30min,imu,6.0
0,ss_number_60,last_30min,selfreport,5.0
0,ss_number_60,last_hour,imu,11.0
0,ss_number_60,last_hour,selfreport,11.0
0,ss_number_60,total,imu,48.0
0,ss_number_60,total,selfreport,49.0
0,ss_skewness,last_30min,imu,0.9622619629640364
0,ss_skewness,last_30min,selfreport,1.4606049260748548
0,ss_skewness,last_hour,imu,0.4629553482635733
0,ss_skewness,last_hour,selfreport,0.7519005505779283
0,ss_skewness,total,imu,2.488031204857054
0,ss_skewness,total,selfreport,2.581919773265619
0,ss_skewness_60,last_30min,imu,0.3268715505387879
0,ss_skewness_60,last_30min,selfreport,0.0190562218051936
0,ss_skewness_60,last_hour,imu,0.120942730898801
0,ss_skewness_60,last_hour,selfreport,0.1194267499058278
0,ss_skewness_60,total,imu,1.9509437276848407
0,ss_skewness_60,total,selfreport,1.984695558965614
0,ss_std,last_30min,imu,203.2324935870664
0,ss_std,last_30min,selfreport,187.25085649904548
0,ss_std,last_hour,imu,185.1355087847955
0,ss_std,last_hour,selfreport,185.1316448368651
0,ss_std,total,imu,555.001248577393
0,ss_std,total,selfreport,542.5820108248682
0,ss_std_60,last_30min,imu,204.5864738713676
0,ss_std_60,last_30min,selfreport,203.47901789927607
0,ss_std_60,last_hour,imu,151.18714837375256
0,ss_std_60,last_hour,selfreport,151.16177825463348
0,ss_std_60,total,imu,621.4193456649708
0,ss_std_60,total,selfreport,616.1414226496761
1,ss_max,last_30min,imu,1799.609375
1,ss_max,last_30min,selfreport,1731.054688
1,ss_max,last_hour,imu,2837.578125
1,ss_max,last_hour,selfreport,2621.757812
1,ss_max,total,imu,2837.578125
1,ss_max,total,selfreport,2621.757812
1,ss_max_60,last_30min,imu,1799.609375
1,ss_max_60,last_30min,selfreport,1731.054688
1,ss_max_60,last_hour,imu,2837.578125
1,ss_max_60,last_hour,selfreport,2621.757812
1,ss_max_60,total,imu,2837.578125
1,ss_max_60,total,selfreport,2621.757812
1,ss_max_position,last_30min,imu,0.0
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.2117301752102475
1,ss_max_position,last_hour,selfreport,0.2526374041678477
1,ss_max_position,total,imu,0.9235927728273295
1,ss_max_position,total,selfreport,0.9120710784313726
1,ss_mean,last_30min,imu,1799.609375
1,ss_mean,last_30min,selfreport,593.2161456666666
1,ss_mean,last_hour,imu,1194.8046873333333
1,ss_mean,last_hour,selfreport,394.8307291111111
1,ss_mean,total,imu,456.991210875
1,ss_mean,total,selfreport,429.9157366428572
1,ss_mean_60,last_30min,imu,1799.609375
1,ss_mean_60,last_30min,selfreport,1731.054688
1,ss_mean_60,last_hour,imu,1789.453125
1,ss_mean_60,last_hour,selfreport,684.65625
1,ss_mean_60,total,imu,612.8343484067796
1,ss_mean_60,total,selfreport,561.1121757735849
1,ss_median,last_30min,imu,1799.609375
1,ss_median,last_30min,selfreport,32.929687
1,ss_median,last_hour,imu,741.328125
1,ss_median,last_hour,selfreport,86.25
1,ss_median,total,imu,263.984375
1,ss_median,total,selfreport,263.984375
1,ss_median_60,last_30min,imu,1799.609375
1,ss_median_60,last_30min,selfreport,1731.054688
1,ss_median_60,last_hour,imu,1789.453125
1,ss_median_60,last_hour,selfreport,230.976563
1,ss_median_60,total,imu,345.742188
1,ss_median_60,total,selfreport,327.96875
1,ss_number,last_30min,imu,1.0
1,ss_number,last_30min,selfreport,3.0
1,ss_number,last_hour,imu,3.0
1,ss_number,last_hour,selfreport,9.0
1,ss_number,total,imu,80.0
1,ss_number,total,selfreport,70.0
1,ss_number_60,last_30min,imu,1.0
1,ss_number_60,last_30min,selfreport,1.0
1,ss_number_60,last_hour,imu,2.0
1,ss_number_60,last_hour,selfreport,5.0
1,ss_number_60,total,imu,59.0
1,ss_number_60,total,selfreport,53.0
1,ss_skewness,last_30min,imu,0.0
1,ss_skewness,last_30min,selfreport,0.7068625886596448
1,ss_skewness,last_hour,imu,0.5129371671626645
1,ss_skewness,last_hour,selfreport,2.4078720898553616
1,ss_skewness,total,imu,2.1031155972909508
1,ss_skewness,total,selfreport,2.0386071577182547
1,ss_skewness_60,last_30min,imu,0.0
1,ss_skewness_60,last_30min,selfreport,0.0
1,ss_skewness_60,last_hour,imu,0.0
1,ss_skewness_60,last_hour,selfreport,1.4804474721756649
1,ss_skewness_60,total,imu,1.8611138890534489
1,ss_skewness_60,total,selfreport,1.831149463973904
1,ss_std,last_30min,selfreport,985.4348972743423
1,ss_std,last_hour,imu,1469.485048880465
1,ss_std,last_hour,selfreport,841.160519863039
1,ss_std,total,imu,592.9358597114937
1,ss_std,total,selfreport,537.9703728334013
1,ss_std_60,last_hour,imu,1482.2725900623002
1,ss_std_60,last_hour,selfreport,1085.6984099913404
1,ss_std_60,total,imu,620.209543017443
1,ss_std_60,total,selfreport,558.3023090599129
