night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1780.3125
0,ss_max,last_30min,selfreport,1799.609375
0,ss_max,last_hour,imu,2906.640625
0,ss_max,last_hour,selfreport,2298.28125
0,ss_max,total,imu,3009.21875
0,ss_max,total,selfreport,3014.296875
0,ss_max_60,last_30min,imu,1780.3125
0,ss_max_60,last_30min,selfreport,1799.609375
0,ss_max_60,last_hour,imu,2906.640625
0,ss_max_60,last_hour,selfreport,2298.28125
0,ss_max_60,total,imu,3009.21875
0,ss_max_60,total,selfreport,3014.296875
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.1870447782442512
0,ss_max_position,last_hour,selfreport,0.3615352689977505
0,ss_max_position,total,imu,0.0
0,ss_max_position,total,selfreport,0.3073206018518518
0,ss_mean,last_30min,imu,896.2109375
0,ss_mean,last_30min,selfreport,1799.609375
0,ss_mean,last_hour,imu,894.6875
0,ss_mean,last_hour,selfreport,1194.1276043333337
0,ss_mean,total,imu,740.5664063333334
0,ss_mean,total,selfreport,181.83257
0,ss_mean_60,last_30min,imu,1780.3125
0,ss_mean_60,last_30min,selfreport,1799.609375
0,ss_mean_60,last_hour,imu,1767.109375
0,ss_mean_60,last_hour,selfreport,1194.1276043333337
0,ss_mean_60,total,imu,1201.3600852727272
0,ss_mean_60,total,selfreport,485.28906245
0,ss_median,last_30min,imu,896.2109375
0,ss_median,last_30min,selfreport,1799.609375
0,ss_median,last_hour,imu,330.0
0,ss_median,last_hour,selfreport,1187.1875
0,ss_median,total,imu,160.390625
0,ss_median,total,selfreport,33.183594
0,ss_median_60,last_30min,imu,1780.3125
0,ss_median_60,last_30min,selfreport,1799.609375
0,ss_median_60,last_hour,imu,1767.109375
0,ss_median_60,last_hour,selfreport,1187.1875
0,ss_median_60,total,imu,1087.148437
0,ss_median_60,total,selfreport,167.2460935
0,ss_number,last_30min,imu,2.0
0,ss_number,last_30min,selfreport,1.0
0,ss_number,last_hour,imu,4.0
0,ss_number,last_hour,selfreport,3.0
0,ss_number,total,imu,18.0
0,ss_number,total,selfreport,58.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_30min,selfreport,1.0
0,ss_number_60,last_hour,imu,2.0
0,ss_number_60,last_hour,selfreport,3.0
0,ss_number_60,total,imu,11.0
0,ss_number_60,total,selfreport,20.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,0.0
0,ss_skewness,last_hour,imu,1.0143904147956162
0,ss_skewness,last_hour,selfreport,0.0115828825998249
0,ss_skewness,total,imu,1.296432835919643
0,ss_skewness,total,selfreport,4.44610829556447
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,0.0
0,ss_skewness_60,last_hour,selfreport,0.0115828825998249
0,ss_skewness_60,total,imu,0.6520227678661934
0,ss_skewness_60,total,selfreport,2.365900890463277
0,ss_std,last_30min,imu,1250.3084202027446
0,ss_std,last_hour,imu,1371.343495772827
0,ss_std,last_hour,selfreport,1100.700003082671
0,ss_std,total,imu,1039.7537548284286
0,ss_std,total,selfreport,509.0396210374356
0,ss_std_60,last_hour,imu,1611.540548497966
0,ss_std_60,last_hour,selfreport,1100.700003082671
0,ss_std_60,total,imu,1112.298767239935
0,ss_std_60,total,selfreport,793.1069156900758
