night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1784.375
0,ss_max,last_30min,selfreport,1728.007813
0,ss_max,last_hour,imu,2485.15625
0,ss_max,last_hour,selfreport,2485.15625
0,ss_max,total,imu,4529.101562
0,ss_max,total,selfreport,4529.101563
0,ss_max_60,last_30min,imu,1784.375
0,ss_max_60,last_30min,selfreport,1728.007813
0,ss_max_60,last_hour,imu,2485.15625
0,ss_max_60,last_hour,selfreport,2485.15625
0,ss_max_60,total,imu,4529.101562
0,ss_max_60,total,selfreport,4529.101563
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.3052525641934838
0,ss_max_position,last_hour,selfreport,0.2897360289645341
0,ss_max_position,total,imu,0.0719650688543177
0,ss_max_position,total,selfreport,0.0077538106918238
0,ss_mean,last_30min,imu,1784.375
0,ss_mean,last_30min,selfreport,294.45312483333333
0,ss_mean,last_hour,imu,596.5169268333333
0,ss_mean,last_hour,selfreport,355.5429687
0,ss_mean,total,imu,592.1507353137255
0,ss_mean,total,selfreport,617.1569293043478
0,ss_mean_60,last_30min,imu,1784.375
0,ss_mean_60,last_30min,selfreport,1728.007813
0,ss_mean_60,last_hour,imu,1174.9999996666666
0,ss_mean_60,last_hour,selfreport,1156.3802086666667
0,ss_mean_60,total,imu,831.4366320277777
0,ss_mean_60,total,selfreport,880.05615225
0,ss_median,last_30min,imu,1784.375
0,ss_median,last_30min,selfreport,8.0468745
0,ss_median,last_hour,imu,254.8437495
0,ss_median,last_hour,selfreport,11.347656
0,ss_median,total,imu,216.25
0,ss_median,total,selfreport,213.7109375
0,ss_median_60,last_30min,imu,1784.375
0,ss_median_60,last_30min,selfreport,1728.007813
0,ss_median_60,last_hour,imu,566.132812
0,ss_median_60,last_hour,selfreport,510.273438
0,ss_median_60,total,imu,375.703125
0,ss_median_60,total,selfreport,329.74609350000003
0,ss_number,last_30min,imu,1.0
0,ss_number,last_30min,selfreport,6.0
0,ss_number,last_hour,imu,6.0
0,ss_number,last_hour,selfreport,10.0
0,ss_number,total,imu,51.0
0,ss_number,total,selfreport,46.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_30min,selfreport,1.0
0,ss_number_60,last_hour,imu,3.0
0,ss_number_60,last_hour,selfreport,3.0
0,ss_number_60,total,imu,36.0
0,ss_number_60,total,selfreport,32.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,1.7888118103181812
0,ss_skewness,last_hour,imu,1.5340130309679236
0,ss_skewness,last_hour,selfreport,2.364870151874592
0,ss_skewness,total,imu,2.360305341080644
0,ss_skewness,total,selfreport,2.216471037388643
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,0.7018410346596197
0,ss_skewness_60,last_hour,selfreport,0.706304014768496
0,ss_skewness_60,total,imu,1.879725398685077
0,ss_skewness_60,total,selfreport,1.710003331426595
0,ss_std,last_30min,selfreport,702.2992167950699
0,ss_std,last_hour,imu,957.8503849846196
0,ss_std,last_hour,selfreport,774.4812333776256
0,ss_std,total,imu,1001.3587255328056
0,ss_std,total,selfreport,1049.0634848306393
0,ss_std_60,last_hour,imu,1135.569240936128
0,ss_std_60,last_hour,selfreport,1150.899009521546
0,ss_std_60,total,imu,1110.0217234251368
0,ss_std_60,total,selfreport,1167.4995128302728
