night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,735.742188
0,ss_max,last_30min,selfreport,558.515625
0,ss_max,last_hour,imu,1162.304688
0,ss_max,last_hour,selfreport,1162.304688
0,ss_max,total,imu,2186.054687
0,ss_max,total,selfreport,2186.5625
0,ss_max_60,last_30min,imu,735.742188
0,ss_max_60,last_30min,selfreport,558.515625
0,ss_max_60,last_hour,imu,1162.304688
0,ss_max_60,last_hour,selfreport,1162.304688
0,ss_max_60,total,imu,2186.054687
0,ss_max_60,total,selfreport,2186.5625
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.3814246457254626
0,ss_max_position,last_hour,selfreport,0.3323359709057655
0,ss_max_position,total,imu,0.3050773772690274
0,ss_max_position,total,selfreport,0.2892462384074074
0,ss_mean,last_30min,imu,445.654297
0,ss_mean,last_30min,selfreport,242.8013391428572
0,ss_mean,last_hour,imu,322.15198872727274
0,ss_mean,last_hour,selfreport,247.3353795
0,ss_mean,total,imu,386.76618302857145
0,ss_mean,total,selfreport,416.97082521875
0,ss_mean_60,last_30min,imu,445.654297
0,ss_mean_60,last_30min,selfreport,419.75585925
0,ss_mean_60,last_hour,imu,430.610351625
0,ss_mean_60,last_hour,selfreport,417.661133
0,ss_mean_60,total,imu,602.5106533636364
0,ss_mean_60,total,selfreport,609.2260174883721
0,ss_median,last_30min,imu,467.109375
0,ss_median,last_30min,selfreport,187.304687
0,ss_median,last_hour,imu,172.578125
0,ss_median,last_hour,selfreport,137.2851565
0,ss_median,total,imu,136.5234375
0,ss_median,total,selfreport,172.578125
0,ss_median_60,last_30min,imu,467.109375
0,ss_median_60,last_30min,selfreport,466.6015625
0,ss_median_60,last_hour,imu,407.1875
0,ss_median_60,last_hour,selfreport,391.699219
0,ss_median_60,total,imu,433.847656
0,ss_median_60,total,selfreport,438.164063
0,ss_number,last_30min,imu,4.0
0,ss_number,last_30min,selfreport,7.0
0,ss_number,last_hour,imu,11.0
0,ss_number,last_hour,selfreport,14.0
0,ss_number,total,imu,70.0
0,ss_number,total,selfreport,64.0
0,ss_number_60,last_30min,imu,4.0
0,ss_number_60,last_30min,selfreport,4.0
0,ss_number_60,last_hour,imu,8.0
0,ss_number_60,last_hour,selfreport,8.0
0,ss_number_60,total,imu,44.0
0,ss_number_60,total,selfreport,43.0
0,ss_skewness,last_30min,imu,-0.2710936878531796
