night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,519.921875
0,ss_max,last_30min,selfreport,519.921875
0,ss_max,last_hour,imu,527.539063
0,ss_max,last_hour,selfreport,527.539063
0,ss_max,total,imu,3071.679688
0,ss_max,total,selfreport,3071.679687
0,ss_max_60,last_30min,imu,519.921875
0,ss_max_60,last_30min,selfreport,519.921875
0,ss_max_60,last_hour,imu,527.539063
0,ss_max_60,last_hour,selfreport,527.539063
0,ss_max_60,total,imu,3071.679688
0,ss_max_60,total,selfreport,3071.679687
0,ss_max_position,last_30min,imu,0.1557300115884962
0,ss_max_position,last_30min,selfreport,0.1179259870362163
0,ss_max_position,last_hour,imu,0.4298080234736547
0,ss_max_position,last_hour,selfreport,0.4109060624746128
0,ss_max_position,total,imu,0.7795660342635669
0,ss_max_position,total,selfreport,0.7722795987966736
0,ss_mean,last_30min,imu,297.246094
0,ss_mean,last_30min,selfreport,248.45982157142856
0,ss_mean,last_hour,imu,295.97656241666664
0,ss_mean,last_hour,selfreport,269.92187492307687
0,ss_mean,total,imu,484.7679876935484
0,ss_mean,total,selfreport,506.6136853103448
0,ss_mean_60,last_30min,imu,297.246094
0,ss_mean_60,last_30min,selfreport,288.951823
0,ss_mean_60,last_hour,imu,295.97656241666664
0,ss_mean_60,last_hour,selfreport,291.91406241666664
0,ss_mean_60,total,imu,585.0013404313726
0,ss_mean_60,total,selfreport,596.4357461428572
0,ss_median,last_30min,imu,294.9609375
0,ss_median,last_30min,selfreport,206.601562
0,ss_median,last_hour,imu,250.2734375
0,ss_median,last_hour,selfreport,246.71875
0,ss_median,total,imu,260.9375005
0,ss_median,total,selfreport,266.015625
0,ss_median_60,last_30min,imu,294.9609375
0,ss_median_60,last_30min,selfreport,260.68359350000003
0,ss_median_60,last_hour,imu,250.2734375
0,ss_median_60,last_hour,selfreport,250.2734375
0,ss_median_60,total,imu,345.742187
0,ss_median_60,total,selfreport,345.742188
0,ss_number,last_30min,imu,6.0
0,ss_number,last_30min,selfreport,7.0
0,ss_number,last_hour,imu,12.0
0,ss_number,last_hour,selfreport,13.0
0,ss_number,total,imu,62.0
0,ss_number,total,selfreport,58.0
0,ss_number_60,last_30min,imu,6.0
0,ss_number_60,last_30min,selfreport,6.0
0,ss_number_60,last_hour,imu,12.0
0,ss_number_60,last_hour,selfreport,12.0
0,ss_number_60,total,imu,51.0
0,ss_number_60,total,selfreport,49.0
0,ss_skewness,last_30min,imu,0.0700077100061131
0,ss_skewness,last_30min,selfreport,0.2335436609373022
0,ss_skewness,last_hour,imu,0.3007681839367561
0,ss_skewness,last_hour,selfreport,0.2424580870090006
0,ss_skewness,total,imu,2.299536847976175
0,ss_skewness,total,selfreport,2.2179328674794627
0,ss_skewness_60,last_30min,imu,0.0700077100061131
0,ss_skewness_60,last_30min,selfreport,0.3226238856610788
0,ss_skewness_60,last_hour,imu,0.3007681839367561
0,ss_skewness_60,last_hour,selfreport,0.3910330363447624
0,ss_skewness_60,total,imu,2.1883650631396
0,ss_skewness_60,total,selfreport,2.12883548485536
0,ss_std,last_30min,imu,160.48570283527815
0,ss_std,last_30min,selfreport,181.38383340842293
0,ss_std,last_hour,imu,149.81149476867918
0,ss_std,last_hour,selfreport,165.04575311122696
0,ss_std,total,imu,592.2607261407185
0,ss_std,total,selfreport,605.0150201820028
0,ss_std_60,last_30min,imu,160.48570283527815
0,ss_std_60,last_30min,selfreport,160.33544747470353
0,ss_std_60,last_hour,imu,149.81149476867918
0,ss_std_60,last_hour,selfreport,151.18646613405008
0,ss_std_60,total,imu,608.3857504051351
0,ss_std_60,total,selfreport,617.7187307477299
1,ss_max,last_30min,imu,708.320313
1,ss_max,last_30min,selfreport,708.828125
1,ss_max,last_hour,imu,1297.382813
1,ss_max,last_hour,selfreport,1296.875
1,ss_max,total,imu,3260.585937
1,ss_max,total,selfreport,3260.585937
1,ss_max_60,last_30min,imu,708.320313
1,ss_max_60,last_30min,selfreport,708.828125
1,ss_max_60,last_hour,imu,1297.382813
1,ss_max_60,last_hour,selfreport,1296.875
1,ss_max_60,total,imu,3260.585937
1,ss_max_60,total,selfreport,3260.585937
1,ss_max_position,last_30min,imu,0.4155621502110883
1,ss_max_position,last_30min,selfreport,0.3619594291854588
1,ss_max_position,last_hour,imu,0.205523560873082
1,ss_max_position,last_hour,selfreport,0.1788633323890113
1,ss_max_position,total,imu,0.7590027083307387
1,ss_max_position,total,selfreport,0.7459293321452818
1,ss_mean,last_30min,imu,196.2760415555556
1,ss_mean,last_30min,selfreport,176.4374999
1,ss_mean,last_hour,imu,356.71093740000003
1,ss_mean,last_hour,selfreport,324.090909
1,ss_mean,total,imu,524.5447197931035
1,ss_mean,total,selfreport,503.96955817241377
1,ss_mean_60,last_30min,imu,320.859375
1,ss_mean_60,last_30min,selfreport,318.015625
1,ss_mean_60,last_hour,imu,567.2330728333333
1,ss_mean_60,last_hour,selfreport,564.6940103333333
1,ss_mean_60,total,imu,730.6392911951219
1,ss_mean_60,total,selfreport,702.4123475609756
1,ss_median,last_30min,imu,99.453125
1,ss_median,last_30min,selfreport,96.9140625
1,ss_median,last_hour,imu,146.9335935
1,ss_median,last_hour,selfreport,181.210937
1,ss_median,total,imu,300.546875
1,ss_median,total,selfreport,300.8007815
1,ss_median_60,last_30min,imu,237.070312
1,ss_median_60,last_30min,selfreport,193.90625
1,ss_median_60,last_hour,imu,537.1875
1,ss_median_60,last_hour,selfreport,503.671875
1,ss_median_60,total,imu,402.109375
1,ss_median_60,total,selfreport,402.109375
1,ss_number,last_30min,imu,9.0
1,ss_number,last_30min,selfreport,10.0
1,ss_number,last_hour,imu,10.0
1,ss_number,last_hour,selfreport,11.0
1,ss_number,total,imu,58.0
1,ss_number,total,selfreport,58.0
1,ss_number_60,last_30min,imu,5.0
1,ss_number_60,last_30min,selfreport,5.0
1,ss_number_60,last_hour,imu,6.0
1,ss_number_60,last_hour,selfreport,6.0
1,ss_number_60,total,imu,41.0
1,ss_number_60,total,selfreport,41.0
1,ss_skewness,last_30min,imu,1.4613923093934602
1,ss_skewness,last_30min,selfreport,1.6484620525500755
1,ss_skewness,last_hour,imu,1.1737032222146266
1,ss_skewness,last_hour,selfreport,1.3792449838604164
1,ss_skewness,total,imu,2.0492230306139634
1,ss_skewness,total,selfreport,2.224659933188501
1,ss_skewness_60,last_30min,imu,0.9424878745943338
1,ss_skewness_60,last_30min,selfreport,1.0742136526270183
1,ss_skewness_60,last_hour,imu,0.5922355423358996
1,ss_skewness_60,last_hour,selfreport,0.8230376040579774
1,ss_skewness_60,total,imu,1.746549562306189
1,ss_skewness_60,total,selfreport,1.961180155486056
1,ss_std,last_30min,imu,223.42624727081247
1,ss_std,last_30min,selfreport,216.5653714907292
1,ss_std,last_hour,imu,427.64172765242034
1,ss_std,last_hour,selfreport,406.48068916757103
1,ss_std,total,imu,691.9691311145793
1,ss_std,total,selfreport,665.6927719153341
1,ss_std_60,last_30min,imu,236.79177651305585
1,ss_std_60,last_30min,selfreport,234.8152674739596
1,ss_std_60,last_hour,imu,442.8646081237862
1,ss_std_60,last_hour,selfreport,421.19138372893406
1,ss_std_60,total,imu,730.5312062309775
1,ss_std_60,total,selfreport,702.6190510600582
