night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,758.59375
0,ss_max,last_30min,selfreport,759.101563
0,ss_max,last_hour,imu,802.265625
0,ss_max,last_hour,selfreport,758.59375
0,ss_max,total,imu,2515.625
0,ss_max,total,selfreport,2515.625
0,ss_max_60,last_30min,imu,758.59375
0,ss_max_60,last_30min,selfreport,759.101563
0,ss_max_60,last_hour,imu,802.265625
0,ss_max_60,last_hour,selfreport,758.59375
0,ss_max_60,total,imu,2515.625
0,ss_max_60,total,selfreport,2515.625
0,ss_max_position,last_30min,imu,0.2730917594522905
0,ss_max_position,last_30min,selfreport,0.1235683786917877
0,ss_max_position,last_hour,imu,0.0190430205483718
0,ss_max_position,last_hour,selfreport,0.561839631767779
0,ss_max_position,total,imu,0.3490883994572774
0,ss_max_position,total,selfreport,0.3578161851257861
0,ss_mean,last_30min,imu,251.72433042857145
0,ss_mean,last_30min,selfreport,107.451171875
0,ss_mean,last_hour,imu,269.7265625384616
0,ss_mean,last_hour,selfreport,157.34374995454544
0,ss_mean,total,imu,382.838212
0,ss_mean,total,selfreport,315.3148916020408
0,ss_mean_60,last_30min,imu,419.12109375
0,ss_mean_60,last_30min,selfreport,306.1328126
0,ss_mean_60,last_hour,imu,339.34375
0,ss_mean_60,last_hour,selfreport,322.6875
0,ss_mean_60,total,imu,537.8615056909091
0,ss_mean_60,total,selfreport,518.2145743793103
0,ss_median,last_30min,imu,163.4375
0,ss_median,last_30min,selfreport,23.28125
0,ss_median,last_hour,imu,163.4375
0,ss_median,last_hour,selfreport,37.7539065
0,ss_median,total,imu,192.382812
0,ss_median,total,selfreport,136.5234375
0,ss_median_60,last_30min,imu,377.2265625
0,ss_median_60,last_30min,selfreport,215.234375
0,ss_median_60,last_hour,imu,238.339844
0,ss_median_60,last_hour,selfreport,237.832031
0,ss_median_60,total,imu,364.023438
0,ss_median_60,total,selfreport,341.933594
0,ss_number,last_30min,imu,7.0
0,ss_number,last_30min,selfreport,16.0
0,ss_number,last_hour,imu,13.0
0,ss_number,last_hour,selfreport,22.0
0,ss_number,total,imu,79.0
0,ss_number,total,selfreport,98.0
0,ss_number_60,last_30min,imu,4.0
0,ss_number_60,last_30min,selfreport,5.0
0,ss_number_60,last_hour,imu,10.0
0,ss_number_60,last_hour,selfreport,10.0
0,ss_number_60,total,imu,55.0
0,ss_number_60,total,selfreport,58.0
0,ss_skewness,last_30min,imu,0.8882642515553842
0,ss_skewness,last_30min,selfreport,2.6001838887367965
0,ss_skewness,last_hour,imu,0.9528275125681764
0,ss_skewness,last_hour,selfreport,1.5347538544165154
0,ss_skewness,total,imu,2.2867585143886684
0,ss_skewness,total,selfreport,2.554847431054444
0,ss_skewness_60,last_30min,imu,0.4710703763846003
0,ss_skewness_60,last_30min,selfreport,1.2207026478011642
0,ss_skewness_60,last_hour,imu,0.6452943481780667
0,ss_skewness_60,last_hour,selfreport,0.5724117086579373
0,ss_skewness_60,total,imu,2.030839571076265
0,ss_skewness_60,total,selfreport,2.087791541291109
0,ss_std,last_30min,imu,276.7192080008326
0,ss_std,last_30min,selfreport,194.2177133457484
0,ss_std,last_hour,imu,273.0116359064376
0,ss_std,last_hour,selfreport,220.3593651832899
0,ss_std,total,imu,494.7307112850393
0,ss_std,total,selfreport,465.5306471958133
0,ss_std_60,last_30min,imu,256.36217196005504
0,ss_std_60,last_30min,selfreport,263.6375978766865
0,ss_std_60,last_hour,imu,275.62117754197044
0,ss_std_60,last_hour,selfreport,239.6761673740412
0,ss_std_60,total,imu,522.3496797489256
0,ss_std_60,total,selfreport,515.7693565982732
