night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1029.257812
0,ss_max,last_30min,selfreport,746.40625
0,ss_max,last_hour,imu,2828.945312
0,ss_max,last_hour,selfreport,2546.09375
0,ss_max,total,imu,3373.320313
0,ss_max,total,selfreport,3373.320313
0,ss_max_60,last_30min,imu,1029.257812
0,ss_max_60,last_30min,selfreport,746.40625
0,ss_max_60,last_hour,imu,2828.945312
0,ss_max_60,last_hour,selfreport,2546.09375
0,ss_max_60,total,imu,3373.320313
0,ss_max_60,total,selfreport,3373.320313
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.8762195002735854
0,ss_max_position,total,selfreport,0.8530137263280212
0,ss_mean,last_30min,imu,596.7708333333334
0,ss_mean,last_30min,selfreport,353.8671874
0,ss_mean,last_hour,imu,1196.8359373333333
0,ss_mean,last_hour,selfreport,714.0078126000001
0,ss_mean,total,imu,358.4705120869565
0,ss_mean,total,selfreport,487.92136273770495
0,ss_mean_60,last_30min,imu,596.7708333333334
0,ss_mean_60,last_30min,selfreport,432.1972655
0,ss_mean_60,last_hour,imu,1196.8359373333333
0,ss_mean_60,last_hour,selfreport,882.24609375
0,ss_mean_60,total,imu,495.9451622923077
0,ss_mean_60,total,selfreport,568.2812500384615
0,ss_median,last_30min,imu,608.28125
0,ss_median,last_30min,selfreport,221.328125
0,ss_median,last_hour,imu,608.789063
0,ss_median,last_hour,selfreport,221.328125
0,ss_median,total,imu,153.022461
0,ss_median,total,selfreport,258.90625
0,ss_median_60,last_30min,imu,608.28125
0,ss_median_60,last_30min,selfreport,415.0585935
0,ss_median_60,last_hour,imu,608.789063
0,ss_median_60,last_hour,selfreport,415.058594
0,ss_median_60,total,imu,258.90625
0,ss_median_60,total,selfreport,354.375
0,ss_number,last_30min,imu,3.0
0,ss_number,last_30min,selfreport,5.0
0,ss_number,last_hour,imu,3.0
0,ss_number,last_hour,selfreport,5.0
0,ss_number,total,imu,92.0
0,ss_number,total,selfreport,61.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,4.0
0,ss_number_60,last_hour,imu,3.0
0,ss_number_60,last_hour,selfreport,4.0
0,ss_number_60,total,imu,65.0
0,ss_number_60,total,selfreport,52.0
0,ss_skewness,last_30min,imu,-0.0482060876003345
0,ss_skewness,last_30min,selfreport,0.3476820334536195
0,ss_skewness,last_hour,imu,0.6272633982465086
0,ss_skewness,last_hour,selfreport,1.3539871940523127
0,ss_skewness,total,imu,3.028846642617612
0,ss_skewness,total,selfreport,2.59682525386161
0,ss_skewness_60,last_30min,imu,-0.0482060876003345
0,ss_skewness_60,last_30min,selfreport,0.0820959748023649
0,ss_skewness_60,last_hour,imu,0.6272633982465086
0,ss_skewness_60,last_hour,selfreport,1.05034391663144
0,ss_skewness_60,total,imu,2.6687060645959537
0,ss_skewness_60,total,selfreport,2.5119489908591173
0,ss_std,last_30min,imu,438.35554260830696
0,ss_std,last_30min,selfreport,306.37048201601056
0,ss_std,last_hour,imu,1431.7204059959315
0,ss_std,last_hour,selfreport,1046.206608911916
0,ss_std,total,imu,533.5947413177362
0,ss_std,total,selfreport,600.3992088585098
0,ss_std_60,last_30min,imu,438.35554260830696
0,ss_std_60,last_30min,selfreport,290.25245695190284
0,ss_std_60,last_hour,imu,1431.7204059959315
0,ss_std_60,last_hour,selfreport,1127.2548793769984
0,ss_std_60,total,imu,582.5437325556582
0,ss_std_60,total,selfreport,615.9921351665562
