night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,491.484375
0,ss_max,last_30min,selfreport,482.851562
0,ss_max,last_hour,imu,886.054687
0,ss_max,last_hour,selfreport,885.546875
0,ss_max,total,imu,3337.773437
0,ss_max,total,selfreport,3019.882813
0,ss_max_60,last_30min,imu,491.484375
0,ss_max_60,last_30min,selfreport,482.851562
0,ss_max_60,last_hour,imu,886.054687
0,ss_max_60,last_hour,selfreport,885.546875
0,ss_max_60,total,imu,3337.773437
0,ss_max_60,total,selfreport,3019.882813
0,ss_max_position,last_30min,imu,0.7236367383535482
0,ss_max_position,last_30min,selfreport,0.7315360869166049
0,ss_max_position,last_hour,imu,0.082096576876436
0,ss_max_position,last_hour,selfreport,0.0860462403448713
0,ss_max_position,total,imu,0.0
0,ss_max_position,total,selfreport,0.1280426843678161
0,ss_mean,last_30min,imu,296.061198
0,ss_mean,last_30min,selfreport,296.73828100000003
0,ss_mean,last_hour,imu,355.2890623
0,ss_mean,last_hour,selfreport,355.8476562
0,ss_mean,total,imu,431.9287910163935
0,ss_mean,total,selfreport,428.2109375333333
0,ss_mean_60,last_30min,imu,345.03125
0,ss_mean_60,last_30min,selfreport,345.8437498
0,ss_mean_60,last_hour,imu,389.07552066666665
0,ss_mean_60,last_hour,selfreport,389.6397568888889
0,ss_mean_60,total,imu,605.0454215116279
0,ss_mean_60,total,selfreport,589.8464753255814
0,ss_median,last_30min,imu,307.91015600000003
0,ss_median,last_30min,selfreport,314.765625
0,ss_median,last_hour,imu,275.41015600000003
0,ss_median,last_hour,selfreport,275.15625
0,ss_median,total,imu,185.273438
0,ss_median,total,selfreport,192.382813
0,ss_median_60,last_30min,imu,346.25
0,ss_median_60,last_30min,selfreport,359.960938
0,ss_median_60,last_hour,imu,280.742187
0,ss_median_60,last_hour,selfreport,280.742187
0,ss_median_60,total,imu,359.453125
0,ss_median_60,total,selfreport,359.453125
0,ss_number,last_30min,imu,6.0
0,ss_number,last_30min,selfreport,6.0
0,ss_number,last_hour,imu,10.0
0,ss_number,last_hour,selfreport,10.0
0,ss_number,total,imu,61.0
0,ss_number,total,selfreport,60.0
0,ss_number_60,last_30min,imu,5.0
0,ss_number_60,last_30min,selfreport,5.0
0,ss_number_60,last_hour,imu,9.0
0,ss_number_60,last_hour,selfreport,9.0
0,ss_number_60,total,imu,43.0
0,ss_number_60,total,selfreport,43.0
0,ss_skewness,last_30min,imu,-0.3412403583543028
0,ss_skewness,last_30min,selfreport,-0.4104921009722811
0,ss_skewness,last_hour,imu,0.815958563018343
0,ss_skewness,last_hour,selfreport,0.8407685317005898
0,ss_skewness,total,imu,2.800159663190112
0,ss_skewness,total,selfreport,2.595604331950378
0,ss_skewness_60,last_30min,imu,0.0085077731752864
0,ss_skewness_60,last_30min,selfreport,-0.1227641116076493
0,ss_skewness_60,last_hour,imu,0.8079454405284473
0,ss_skewness_60,last_hour,selfreport,0.8457696050973723
0,ss_skewness_60,total,imu,2.3869659659695195
0,ss_skewness_60,total,selfreport,2.22639697546083
0,ss_std,last_30min,imu,158.3813105048254
0,ss_std,last_30min,selfreport,157.26380058040738
0,ss_std,last_hour,imu,265.1558097000829
0,ss_std,last_hour,selfreport,263.10029216304605
0,ss_std,total,imu,686.5761662202401
0,ss_std,total,selfreport,647.7958261962133
0,ss_std_60,last_30min,imu,115.6300326468522
0,ss_std_60,last_30min,selfreport,113.26859988864688
0,ss_std_60,last_hour,imu,257.39832981993453
0,ss_std_60,last_hour,selfreport,255.00596253308493
0,ss_std_60,total,imu,754.5435157606997
0,ss_std_60,total,selfreport,703.5632342564744
