night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,963.75
0,ss_max,last_30min,selfreport,964.257812
0,ss_max,last_hour,imu,1063.789063
0,ss_max,last_hour,selfreport,1014.53125
0,ss_max,total,imu,3812.070312
0,ss_max,total,selfreport,3811.5625
0,ss_max_60,last_30min,imu,963.75
0,ss_max_60,last_30min,selfreport,964.257812
0,ss_max_60,last_hour,imu,1063.789063
0,ss_max_60,last_hour,selfreport,1014.53125
0,ss_max_60,total,imu,3812.070312
0,ss_max_60,total,selfreport,3811.5625
0,ss_max_position,last_30min,imu,0.4592906863515794
0,ss_max_position,last_30min,selfreport,0.4319250865269277
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.1380080950743004
0,ss_max_position,total,selfreport,0.145337818287037
0,ss_mean,last_30min,imu,888.59375
0,ss_mean,last_30min,selfreport,441.845703
0,ss_mean,last_hour,imu,888.21289075
0,ss_mean,last_hour,selfreport,590.0846355
0,ss_mean,total,imu,847.3796876
0,ss_mean,total,selfreport,793.1249998518518
0,ss_mean_60,last_30min,imu,888.59375
0,ss_mean_60,last_30min,selfreport,864.4726559999999
0,ss_mean_60,last_hour,imu,888.21289075
0,ss_mean_60,last_hour,selfreport,875.64453125
0,ss_mean_60,total,imu,960.2876421363636
0,ss_mean_60,total,selfreport,969.0127839545454
0,ss_median,last_30min,imu,888.59375
0,ss_median,last_30min,selfreport,398.300781
0,ss_median,last_hour,imu,897.4804690000001
0,ss_median,last_hour,selfreport,762.1484375
0,ss_median,total,imu,540.742188
0,ss_median,total,selfreport,540.742187
0,ss_median_60,last_30min,imu,888.59375
0,ss_median_60,last_30min,selfreport,864.4726559999999
0,ss_median_60,last_hour,imu,897.4804690000001
0,ss_median_60,last_hour,selfreport,896.9726559999999
0,ss_median_60,total,imu,686.9921875
0,ss_median_60,total,selfreport,686.9921875
0,ss_number,last_30min,imu,2.0
0,ss_number,last_30min,selfreport,4.0
0,ss_number,last_hour,imu,4.0
0,ss_number,last_hour,selfreport,6.0
0,ss_number,total,imu,25.0
0,ss_number,total,selfreport,27.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_30min,selfreport,2.0
0,ss_number_60,last_hour,imu,4.0
0,ss_number_60,last_hour,selfreport,4.0
0,ss_number_60,total,imu,22.0
0,ss_number_60,total,selfreport,22.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,0.0788907861611576
0,ss_skewness,last_hour,imu,-0.1528475600433348
0,ss_skewness,last_hour,selfreport,-0.5294102078135058
0,ss_skewness,total,imu,1.6907335893876114
0,ss_skewness,total,selfreport,1.732112451906156
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,1.640364481085694e-15
0,ss_skewness_60,last_hour,imu,-0.1528475600433348
0,ss_skewness_60,last_hour,selfreport,-0.3509820516446237
0,ss_skewness_60,total,imu,1.649773179810486
0,ss_skewness_60,total,selfreport,1.6467979944936493
0,ss_std,last_30min,imu,106.28698804710292
0,ss_std,last_30min,selfreport,494.8705764196332
0,ss_std,last_hour,imu,160.82744745811758
0,ss_std,last_hour,selfreport,456.2771939062228
0,ss_std,total,imu,899.0210882220883
0,ss_std,total,selfreport,889.8197497948671
0,ss_std_60,last_30min,imu,106.28698804710292
0,ss_std_60,last_30min,selfreport,141.117520938715
0,ss_std_60,last_hour,imu,160.82744745811758
0,ss_std_60,last_hour,selfreport,143.84664880843755
0,ss_std_60,total,imu,901.3133479226316
0,ss_std_60,total,selfreport,897.3448530167367
1,ss_max,last_30min,imu,965.78125
1,ss_max,last_30min,selfreport,966.289062
1,ss_max,last_hour,imu,966.289063
1,ss_max,last_hour,selfreport,966.289063
1,ss_max,total,imu,4134.023437
1,ss_max,total,selfreport,4134.023437
1,ss_max_60,last_30min,imu,965.78125
1,ss_max_60,last_30min,selfreport,966.289062
1,ss_max_60,last_hour,imu,966.289063
1,ss_max_60,last_hour,selfreport,966.289063
1,ss_max_60,total,imu,4134.023437
1,ss_max_60,total,selfreport,4134.023437
1,ss_max_position,last_30min,imu,0.3834005173830293
1,ss_max_position,last_30min,selfreport,0.3326189922358106
1,ss_max_position,last_hour,imu,0.6916142892514302
1,ss_max_position,last_hour,selfreport,0.6663646547363482
1,ss_max_position,total,imu,0.0876119628661465
1,ss_max_position,total,selfreport,0.0581462332419256
1,ss_mean,last_30min,imu,294.9609375
1,ss_mean,last_30min,selfreport,295.0455728333333
1,ss_mean,last_hour,imu,294.2838541666667
1,ss_mean,last_hour,selfreport,294.15690108333337
1,ss_mean,total,imu,490.4986212941175
1,ss_mean,total,selfreport,549.4180349322033
1,ss_mean_60,last_30min,imu,436.89453125
1,ss_mean_60,last_30min,selfreport,575.6119789999999
1,ss_mean_60,last_hour,imu,389.3576388888889
1,ss_mean_60,last_hour,selfreport,389.2447917777778
1,ss_mean_60,total,imu,750.2494673181817
1,ss_mean_60,total,selfreport,767.1177455238095
1,ss_median,last_30min,imu,110.625
1,ss_median,last_30min,selfreport,110.625
1,ss_median,last_hour,imu,177.65625
1,ss_median,last_hour,selfreport,223.105469
1,ss_median,total,imu,173.3398435
1,ss_median,total,selfreport,245.195312
1,ss_median_60,last_30min,imu,336.34765600000003
1,ss_median_60,last_30min,selfreport,560.546875
1,ss_median_60,last_hour,imu,275.664063
1,ss_median_60,last_hour,selfreport,275.15625
1,ss_median_60,total,imu,331.523438
1,ss_median_60,total,selfreport,393.984375
1,ss_number,last_30min,imu,6.0
1,ss_number,last_30min,selfreport,6.0
1,ss_number,last_hour,imu,12.0
1,ss_number,last_hour,selfreport,12.0
1,ss_number,total,imu,68.0
1,ss_number,total,selfreport,59.0
1,ss_number_60,last_30min,imu,4.0
1,ss_number_60,last_30min,selfreport,3.0
1,ss_number_60,last_hour,imu,9.0
1,ss_number_60,last_hour,selfreport,9.0
1,ss_number_60,total,imu,44.0
1,ss_number_60,total,selfreport,42.0
1,ss_skewness,last_30min,imu,0.9895714051239692
1,ss_skewness,last_30min,selfreport,0.9270428079620716
1,ss_skewness,last_hour,imu,0.9714304257070152
1,ss_skewness,last_hour,selfreport,1.0332833508073775
1,ss_skewness,total,imu,2.643794807987764
1,ss_skewness,total,selfreport,2.5134922115275136
1,ss_skewness_60,last_30min,imu,0.4440109495665973
1,ss_skewness_60,last_30min,selfreport,0.0720814601096643
1,ss_skewness_60,last_hour,imu,0.7001410067550027
1,ss_skewness_60,last_hour,selfreport,0.8155353225959067
1,ss_skewness_60,total,imu,2.124242047803796
1,ss_skewness_60,total,selfreport,2.1675201511562765
