night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,917.03125
0,ss_max,last_30min,selfreport,835.273437
0,ss_max,last_hour,imu,1333.4375
0,ss_max,last_hour,selfreport,1333.945312
0,ss_max,total,imu,2643.59375
0,ss_max,total,selfreport,2643.59375
0,ss_max_60,last_30min,imu,917.03125
0,ss_max_60,last_30min,selfreport,835.273437
0,ss_max_60,last_hour,imu,1333.4375
0,ss_max_60,last_hour,selfreport,1333.945312
0,ss_max_60,total,imu,2643.59375
0,ss_max_60,total,selfreport,2643.59375
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.4607012843044673
0,ss_max_position,last_hour,imu,0.0323026051297893
0,ss_max_position,last_hour,selfreport,0.0074761488901649
0,ss_max_position,total,imu,0.4834435065125461
0,ss_max_position,total,selfreport,0.4813662074193548
0,ss_mean,last_30min,imu,447.55859375000006
0,ss_mean,last_30min,selfreport,447.55859375
0,ss_mean,last_hour,imu,508.02455357142856
0,ss_mean,last_hour,selfreport,712.5859373999999
0,ss_mean,total,imu,458.13802085
0,ss_mean,total,selfreport,444.3888608709677
0,ss_mean_60,last_30min,imu,876.1523440000001
0,ss_mean_60,last_30min,selfreport,594.9088539999999
0,ss_mean_60,last_hour,imu,1145.0390623333333
0,ss_mean_60,last_hour,selfreport,889.2285155
0,ss_mean_60,total,imu,645.883556547619
0,ss_mean_60,total,selfreport,632.2547238372093
0,ss_median,last_30min,imu,433.8476565
0,ss_median,last_30min,selfreport,474.7265625
0,ss_median,last_hour,imu,41.054688
0,ss_median,last_hour,selfreport,834.765625
0,ss_median,total,imu,233.515625
0,ss_median,total,selfreport,206.09375
0,ss_median_60,last_30min,imu,876.1523440000001
0,ss_median_60,last_30min,selfreport,827.65625
0,ss_median_60,last_hour,imu,1266.40625
0,ss_median_60,last_hour,selfreport,1050.5859375
0,ss_median_60,total,imu,502.6562505
0,ss_median_60,total,selfreport,502.148438
0,ss_number,last_30min,imu,4.0
0,ss_number,last_30min,selfreport,4.0
0,ss_number,last_hour,imu,7.0
0,ss_number,last_hour,selfreport,5.0
0,ss_number,total,imu,60.0
0,ss_number,total,selfreport,62.0
0,ss_number_60,last_30min,imu,2.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,3.0
0,ss_number_60,last_hour,selfreport,4.0
0,ss_number_60,total,imu,42.0
0,ss_number_60,total,selfreport,43.0
0,ss_skewness,last_30min,imu,0.0120755771008029
0,ss_skewness,last_30min,selfreport,-0.033676776458797
0,ss_skewness,last_hour,imu,0.4589534818724504
0,ss_skewness,last_hour,selfreport,-0.1697699521350269
0,ss_skewness,total,imu,1.63928110152392
0,ss_skewness,total,selfreport,1.680908037965106
0,ss_skewness_60,last_30min,imu,-4.26041943967453e-15
0,ss_skewness_60,last_30min,selfreport,-0.7068318750406903
0,ss_skewness_60,last_hour,imu,-0.6585177879041405
0,ss_skewness_60,last_hour,selfreport,-0.6903067262103688
0,ss_skewness_60,total,imu,1.4342182899555724
0,ss_skewness_60,total,selfreport,1.4456380674801257
0,ss_std,last_30min,imu,496.1433812647762
0,ss_std,last_30min,selfreport,445.8425051247559
0,ss_std,last_hour,imu,616.0885986893882
0,ss_std,last_hour,selfreport,623.6997694664884
0,ss_std,total,imu,537.2125784473543
0,ss_std,total,selfreport,533.4845234139921
0,ss_std_60,last_30min,imu,57.81150328017485
0,ss_std_60,last_30min,selfreport,409.7446935463845
0,ss_std_60,last_hour,imu,270.35042832914826
0,ss_std_60,last_hour,selfreport,557.3609248873694
0,ss_std_60,total,imu,542.9915691561647
0,ss_std_60,total,selfreport,543.4568105818654
