night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,937.851562
0,ss_max,last_30min,selfreport,937.34375
0,ss_max,last_hour,imu,1552.8125
0,ss_max,last_hour,selfreport,1552.8125
0,ss_max,total,imu,3560.195313
0,ss_max,total,selfreport,3559.6875
0,ss_max_60,last_30min,imu,937.851562
0,ss_max_60,last_30min,selfreport,937.34375
0,ss_max_60,last_hour,imu,1552.8125
0,ss_max_60,last_hour,selfreport,1552.8125
0,ss_max_60,total,imu,3560.195313
0,ss_max_60,total,selfreport,3559.6875
0,ss_max_position,last_30min,imu,0.2649102917299494
0,ss_max_position,last_30min,selfreport,0.1988943084460677
0,ss_max_position,last_hour,imu,0.1132707067227005
0,ss_max_position,last_hour,selfreport,0.080262804657302
0,ss_max_position,total,imu,0.6283261590046277
0,ss_max_position,total,selfreport,0.5938419117647059
0,ss_mean,last_30min,imu,356.3046874
0,ss_mean,last_30min,selfreport,294.876302
0,ss_mean,last_hour,imu,395.8463543333334
0,ss_mean,last_hour,selfreport,394.887153
0,ss_mean,total,imu,438.9806798918919
0,ss_mean,total,selfreport,536.6706193214285
0,ss_mean_60,last_30min,imu,356.3046874
0,ss_mean_60,last_30min,selfreport,425.84960925
0,ss_mean_60,last_hour,imu,497.0703125714286
0,ss_mean_60,last_hour,selfreport,500.1171877142857
0,ss_mean_60,total,imu,664.1512043958334
0,ss_mean_60,total,selfreport,762.486979051282
0,ss_median,last_30min,imu,287.851563
0,ss_median,last_30min,selfreport,230.9765625
0,ss_median,last_hour,imu,165.46875
0,ss_median,last_hour,selfreport,174.101563
0,ss_median,total,imu,140.585937
0,ss_median,total,selfreport,225.1367185
0,ss_median_60,last_30min,imu,287.851563
0,ss_median_60,last_30min,selfreport,295.72265600000003
0,ss_median_60,last_hour,imu,287.34375
0,ss_median_60,last_hour,selfreport,287.34375
0,ss_median_60,total,imu,325.683594
0,ss_median_60,total,selfreport,416.835937
0,ss_number,last_30min,imu,5.0
0,ss_number,last_30min,selfreport,6.0
0,ss_number,last_hour,imu,9.0
0,ss_number,last_hour,selfreport,9.0
0,ss_number,total,imu,74.0
0,ss_number,total,selfreport,56.0
0,ss_number_60,last_30min,imu,5.0
0,ss_number_60,last_30min,selfreport,4.0
