night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,722.539062
0,ss_max,last_hour,imu,1511.171875
0,ss_max,total,imu,2544.570312
0,ss_max_60,last_30min,imu,722.539062
0,ss_max_60,last_hour,imu,1511.171875
0,ss_max_60,total,imu,2544.570312
0,ss_max_position,last_30min,imu,0.5411053663527821
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,total,imu,0.1895215696677187
0,ss_mean,last_30min,imu,177.55468749999997
0,ss_mean,last_hour,imu,324.6910512727273
0,ss_mean,total,imu,271.94730720212766
0,ss_mean_60,last_30min,imu,558.6848953333333
0,ss_mean_60,last_hour,imu,867.9003910000001
0,ss_mean_60,total,imu,650.0822369210526
0,ss_median,last_30min,imu,13.6328125
0,ss_median,last_hour,imu,16.171875
0,ss_median,total,imu,25.820313
0,ss_median_60,last_30min,imu,596.601562
0,ss_median_60,last_hour,imu,681.914063
0,ss_median_60,total,imu,430.0390625
0,ss_number,last_30min,imu,10.0
0,ss_number,last_hour,imu,11.0
0,ss_number,total,imu,94.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_hour,imu,4.0
0,ss_number_60,total,imu,38.0
0,ss_skewness,last_30min,imu,1.15340798762683
0,ss_skewness,last_hour,imu,1.3910697375809755
0,ss_skewness,total,imu,2.6224158425063844
0,ss_skewness_60,last_30min,imu,-0.3594011607544852
0,ss_skewness_60,last_hour,imu,1.1052188771555629
0,ss_skewness_60,total,imu,1.452625968611631
0,ss_std,last_30min,imu,277.4046647150718
0,ss_std,last_hour,imu,491.4967299723966
0,ss_std,total,imu,514.508312108208
0,ss_std_60,last_30min,imu,185.7381634575493
0,ss_std_60,last_hour,imu,432.0045778528984
0,ss_std_60,total,imu,647.0284134978543
1,ss_max,last_30min,imu,561.054688
1,ss_max,last_hour,imu,1395.898437
1,ss_max,total,imu,3132.617188
1,ss_max_60,last_30min,imu,561.054688
1,ss_max_60,last_hour,imu,1395.898437
1,ss_max_60,total,imu,3132.617188
1,ss_max_position,last_30min,imu,0.2948149673127615
1,ss_max_position,last_hour,imu,0.2572923646436759
1,ss_max_position,total,imu,0.0652117877914337
1,ss_mean,last_30min,imu,175.32031260000002
1,ss_mean,last_hour,imu,157.05357142857142
1,ss_mean,total,imu,352.33732193670886
1,ss_mean_60,last_30min,imu,412.77343750000006
1,ss_mean_60,last_hour,imu,507.2265625
1,ss_mean_60,total,imu,733.3678208918918
1,ss_median,last_30min,imu,31.9140625
1,ss_median,last_hour,imu,17.1875
1,ss_median,total,imu,39.53125
1,ss_median_60,last_30min,imu,440.957031
1,ss_median_60,last_hour,imu,365.546875
1,ss_median_60,total,imu,547.851562
1,ss_number,last_30min,imu,10.0
1,ss_number,last_hour,imu,21.0
1,ss_number,total,imu,79.0
1,ss_number_60,last_30min,imu,4.0
1,ss_number_60,last_hour,imu,6.0
1,ss_number_60,total,imu,37.0
1,ss_skewness,last_30min,imu,0.8361421055181757
1,ss_skewness,last_hour,imu,2.9574829249223624
1,ss_skewness,total,imu,2.390193073943751
1,ss_skewness_60,last_30min,imu,-0.3773995871681196
1,ss_skewness_60,last_hour,imu,1.414074917068746
1,ss_skewness_60,total,imu,1.8444007189806104
1,ss_std,last_30min,imu,224.9031945624012
1,ss_std,last_hour,imu,322.88212959790366
1,ss_std,total,imu,549.2744535689417
1,ss_std_60,last_30min,imu,161.84115318494173
1,ss_std_60,last_hour,imu,458.67698465155945
1,ss_std_60,total,imu,610.5704669997547
