night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,761.640625
0,ss_max,last_hour,imu,2394.257812
0,ss_max,total,imu,5496.484375
0,ss_max_60,last_30min,imu,761.640625
0,ss_max_60,last_hour,imu,2394.257812
0,ss_max_60,total,imu,5496.484375
0,ss_max_position,last_30min,imu,0.3393898619341065
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,total,imu,0.1020079955313981
0,ss_mean,last_30min,imu,593.216146
0,ss_mean,last_hour,imu,1193.4505206666663
0,ss_mean,total,imu,861.5781249199999
0,ss_mean_60,last_30min,imu,593.216146
0,ss_mean_60,last_hour,imu,1193.4505206666663
0,ss_mean_60,total,imu,1128.0407071052632
0,ss_median,last_30min,imu,594.0625
0,ss_median,last_hour,imu,762.148438
0,ss_median,total,imu,423.945312
0,ss_median_60,last_30min,imu,594.0625
0,ss_median_60,last_hour,imu,762.148438
0,ss_median_60,total,imu,761.640625
0,ss_number,last_30min,imu,3.0
0,ss_number,last_hour,imu,3.0
0,ss_number,total,imu,25.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_hour,imu,3.0
0,ss_number_60,total,imu,19.0
0,ss_skewness,last_30min,imu,-0.0092082881291886
0,ss_skewness,last_hour,imu,0.6260227664456695
0,ss_skewness,total,imu,2.3284543226221635
0,ss_skewness_60,last_30min,imu,-0.0092082881291886
0,ss_skewness_60,last_hour,imu,0.6260227664456695
0,ss_skewness_60,total,imu,2.055137390013213
0,ss_std,last_30min,imu,168.84924688317187
0,ss_std,last_hour,imu,1053.5886065246318
0,ss_std,total,imu,1245.1114721573392
0,ss_std_60,last_30min,imu,168.84924688317187
0,ss_std_60,last_hour,imu,1053.5886065246318
0,ss_std_60,total,imu,1324.6555887428858
1,ss_max,last_30min,imu,983.554687
1,ss_max,last_hour,imu,983.554688
1,ss_max,total,imu,3501.289062
1,ss_max_60,last_30min,imu,983.554687
1,ss_max_60,last_hour,imu,983.554688
1,ss_max_60,total,imu,3501.289062
1,ss_max_position,last_30min,imu,0.4533661753189267
1,ss_max_position,last_hour,imu,0.7267380825900318
1,ss_max_position,total,imu,0.1189143695575506
1,ss_mean,last_30min,imu,896.2109375
1,ss_mean,last_hour,imu,446.47949225
1,ss_mean,total,imu,711.547743
1,ss_mean_60,last_30min,imu,896.2109375
1,ss_mean_60,last_hour,imu,579.84375
1,ss_mean_60,total,imu,859.181798945946
1,ss_median,last_30min,imu,896.2109375
1,ss_median,last_hour,imu,429.0234375
1,ss_median,total,imu,579.84375
1,ss_median_60,last_30min,imu,896.2109375
1,ss_median_60,last_hour,imu,652.4609375
1,ss_median_60,total,imu,692.070312
1,ss_number,last_30min,imu,2.0
1,ss_number,last_hour,imu,8.0
1,ss_number,total,imu,45.0
1,ss_number_60,last_30min,imu,2.0
1,ss_number_60,last_hour,imu,6.0
1,ss_number_60,total,imu,37.0
1,ss_skewness,last_30min,imu,0.0
1,ss_skewness,last_hour,imu,0.1649366320570685
1,ss_skewness,total,imu,1.7355131856838937
1,ss_skewness_60,last_30min,imu,0.0
1,ss_skewness_60,last_hour,imu,-0.3492237327688227
1,ss_skewness_60,total,imu,1.6763921960460375
1,ss_std,last_30min,imu,123.52271513141817
1,ss_std,last_hour,imu,384.0625286740429
1,ss_std,total,imu,761.6815260209004
1,ss_std_60,last_30min,imu,123.52271513141817
1,ss_std_60,last_hour,imu,348.0249170752945
1,ss_std_60,total,imu,763.5685090667108
2,ss_max,last_30min,imu,732.695313
2,ss_max,last_hour,imu,1233.398437
2,ss_max,total,imu,2806.09375
2,ss_max_60,last_30min,imu,732.695313
2,ss_max_60,last_hour,imu,1233.398437
2,ss_max_60,total,imu,2806.09375
2,ss_max_position,last_30min,imu,0.5927332503516238
2,ss_max_position,last_hour,imu,0.1940977487662818
2,ss_max_position,total,imu,0.3977475152579767
2,ss_mean,last_30min,imu,358.33593740000003
2,ss_mean,last_hour,imu,510.5636158571429
2,ss_mean,total,imu,644.70410155
2,ss_mean_60,last_30min,imu,441.59179675000007
2,ss_mean_60,last_hour,imu,701.6171872
2,ss_mean_60,total,imu,775.9978693333334
2,ss_median,last_30min,imu,275.664062
2,ss_median,last_hour,imu,625.546875
2,ss_median,total,imu,399.3164065
2,ss_median_60,last_30min,imu,450.6054685
2,ss_median_60,last_hour,imu,641.289062
2,ss_median_60,total,imu,608.28125
2,ss_number,last_30min,imu,5.0
2,ss_number,last_hour,imu,7.0
2,ss_number,total,imu,40.0
2,ss_number_60,last_30min,imu,4.0
2,ss_number_60,last_hour,imu,5.0
2,ss_number_60,total,imu,33.0
2,ss_skewness,last_30min,imu,0.214720567086653
2,ss_skewness,last_hour,imu,0.3628673206411959
2,ss_skewness,total,imu,1.4885493473466596
2,ss_skewness_60,last_30min,imu,-0.0541382088250737
2,ss_skewness_60,last_hour,imu,0.4930264988158027
2,ss_skewness_60,total,imu,1.3508519949160795
2,ss_std,last_30min,imu,308.3445280519251
2,ss_std,last_hour,imu,430.87971470521074
2,ss_std,total,imu,710.9447729385992
2,ss_std_60,last_30min,imu,283.82778205343595
2,ss_std_60,last_hour,imu,344.6201726269768
2,ss_std_60,total,imu,717.2000732073028
