night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1296.367188
0,ss_max,last_30min,selfreport,1296.875
0,ss_max,last_hour,imu,1296.875
0,ss_max,last_hour,selfreport,1296.367187
0,ss_max,total,imu,5215.664062
0,ss_max,total,selfreport,5215.664063
0,ss_max_60,last_30min,imu,1296.367188
0,ss_max_60,last_30min,selfreport,1296.875
0,ss_max_60,last_hour,imu,1296.875
0,ss_max_60,last_hour,selfreport,1296.367187
0,ss_max_60,total,imu,5215.664062
0,ss_max_60,total,selfreport,5215.664063
0,ss_max_position,last_30min,imu,0.2618069758583995
0,ss_max_position,last_30min,selfreport,0.2493937140720099
0,ss_max_position,last_hour,imu,0.6308176833151882
0,ss_max_position,last_hour,selfreport,0.6247521288068161
0,ss_max_position,total,imu,0.1062757643307664
0,ss_max_position,total,selfreport,0.0760322701718213
0,ss_mean,last_30min,imu,351.6328128
0,ss_mean,last_30min,selfreport,347.265625
0,ss_mean,last_hour,imu,353.4101562
0,ss_mean,last_hour,selfreport,350.97265630000004
0,ss_mean,total,imu,529.1985211964286
0,ss_mean,total,selfreport,574.23750002
0,ss_mean_60,last_30min,imu,570.8723963333333
0,ss_mean_60,last_30min,selfreport,563.59375
0,ss_mean_60,last_hour,imu,497.4330357142857
0,ss_mean_60,last_hour,selfreport,494.0959821428572
0,ss_mean_60,total,imu,884.0234374545454
0,ss_mean_60,total,selfreport,914.0498992258064
0,ss_median,last_30min,imu,66.445313
0,ss_median,last_30min,selfreport,66.445312
0,ss_median,last_hour,imu,230.2148435
0,ss_median,last_hour,selfreport,230.214844
0,ss_median,total,imu,157.34375
0,ss_median,total,selfreport,273.632813
0,ss_median_60,last_30min,imu,349.804688
0,ss_median_60,last_30min,selfreport,327.460938
0,ss_median_60,last_hour,imu,389.921875
0,ss_median_60,last_hour,selfreport,389.921875
0,ss_median_60,total,imu,504.179687
0,ss_median_60,total,selfreport,518.90625
0,ss_number,last_30min,imu,5.0
0,ss_number,last_30min,selfreport,5.0
0,ss_number,last_hour,imu,10.0
0,ss_number,last_hour,selfreport,10.0
0,ss_number,total,imu,56.0
0,ss_number,total,selfreport,50.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,7.0
0,ss_number_60,last_hour,selfreport,7.0
0,ss_number_60,total,imu,33.0
0,ss_number_60,total,selfreport,31.0
0,ss_skewness,last_30min,imu,1.2883501746464756
0,ss_skewness,last_30min,selfreport,1.3151545764037444
0,ss_skewness,last_hour,imu,1.219482410413523
0,ss_skewness,last_hour,selfreport,1.2411606099257049
0,ss_skewness,total,imu,3.0858881429157936
0,ss_skewness,total,selfreport,3.005604003595592
0,ss_skewness_60,last_30min,imu,0.5562748399902577
0,ss_skewness_60,last_30min,selfreport,0.5803605538824422
0,ss_skewness_60,last_hour,imu,0.917816339679428
0,ss_skewness_60,last_hour,selfreport,0.9445534018628072
0,ss_skewness_60,total,imu,2.384274312064488
0,ss_skewness_60,total,selfreport,2.4274317194578243
0,ss_std,last_30min,imu,545.5638402020355
0,ss_std,last_30min,selfreport,545.8948946638525
0,ss_std,last_hour,imu,412.76243766559145
0,ss_std,last_hour,selfreport,411.32854629779183
0,ss_std,total,imu,959.3407880366008
0,ss_std,total,selfreport,983.4532588216448
0,ss_std_60,last_30min,imu,644.073096318805
0,ss_std_60,last_30min,selfreport,648.3119102370516
0,ss_std_60,last_hour,imu,418.0871758429959
0,ss_std_60,last_hour,selfreport,417.1698929792919
0,ss_std_60,total,imu,1124.9703733432443
0,ss_std_60,total,selfreport,1124.988537705778
1,ss_max,last_30min,imu,767.226562
1,ss_max,last_30min,selfreport,749.960938
1,ss_max,last_hour,imu,953.085938
1,ss_max,last_hour,selfreport,859.140625
1,ss_max,total,imu,3509.414063
1,ss_max,total,selfreport,2974.6875
1,ss_max_60,last_30min,imu,767.226562
1,ss_max_60,last_30min,selfreport,749.960938
1,ss_max_60,last_hour,imu,953.085938
1,ss_max_60,last_hour,selfreport,859.140625
1,ss_max_60,total,imu,3509.414063
1,ss_max_60,total,selfreport,2974.6875
1,ss_max_position,last_30min,imu,0.0426000577956469
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.0
1,ss_max_position,last_hour,selfreport,0.0
1,ss_max_position,total,imu,0.0031358311475906
1,ss_max_position,total,selfreport,0.0
1,ss_mean,last_30min,imu,355.69531240000003
1,ss_mean,last_30min,selfreport,596.0937500000001
1,ss_mean,last_hour,imu,509.2578125714286
1,ss_mean,last_hour,selfreport,509.3303572857144
1,ss_mean,total,imu,466.3969216567164
1,ss_mean,total,selfreport,472.79687495384616
1,ss_mean_60,last_30min,imu,570.3645829999999
1,ss_mean_60,last_30min,selfreport,596.0937500000001
1,ss_mean_60,last_hour,imu,584.4140626666667
1,ss_mean_60,last_hour,selfreport,584.498698
1,ss_mean_60,total,imu,716.3390262093023
1,ss_mean_60,total,selfreport,721.1848958095238
1,ss_median,last_30min,imu,404.648437
1,ss_median,last_30min,selfreport,539.21875
1,ss_median,last_hour,imu,539.21875
1,ss_median,last_hour,selfreport,539.21875
1,ss_median,total,imu,238.59375
1,ss_median,total,selfreport,245.703125
1,ss_median_60,last_30min,imu,539.21875
1,ss_median_60,last_30min,selfreport,539.21875
1,ss_median_60,last_hour,imu,551.9140625
1,ss_median_60,last_hour,selfreport,551.9140625
1,ss_median_60,total,imu,503.671875
1,ss_median_60,total,selfreport,508.2421875
1,ss_number,last_30min,imu,5.0
1,ss_number,last_30min,selfreport,3.0
1,ss_number,last_hour,imu,7.0
1,ss_number,last_hour,selfreport,7.0
1,ss_number,total,imu,67.0
1,ss_number,total,selfreport,65.0
1,ss_number_60,last_30min,imu,3.0
1,ss_number_60,last_30min,selfreport,3.0
1,ss_number_60,last_hour,imu,6.0
1,ss_number_60,last_hour,selfreport,6.0
1,ss_number_60,total,imu,43.0
1,ss_number_60,total,selfreport,42.0
