night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,658.554687
0,ss_max,last_30min,selfreport,655.507812
0,ss_max,last_hour,imu,659.0625
0,ss_max,last_hour,selfreport,655.0
0,ss_max,total,imu,1898.632813
0,ss_max,total,selfreport,1898.632813
0,ss_max_60,last_30min,imu,658.554687
0,ss_max_60,last_30min,selfreport,655.507812
0,ss_max_60,last_hour,imu,659.0625
0,ss_max_60,last_hour,selfreport,655.0
0,ss_max_60,total,imu,1898.632813
0,ss_max_60,total,selfreport,1898.632813
0,ss_max_position,last_30min,imu,0.6339227101418137
0,ss_max_position,last_30min,selfreport,0.336568666440571
0,ss_max_position,last_hour,imu,0.8168750457735616
0,ss_max_position,last_hour,selfreport,0.6683394864819682
0,ss_max_position,total,imu,0.4333334787457533
0,ss_max_position,total,selfreport,0.3940060763703704
0,ss_mean,last_30min,imu,218.344726375
0,ss_mean,last_30min,selfreport,218.408202875
0,ss_mean,last_hour,imu,233.68489606666668
0,ss_mean,last_hour,selfreport,233.7187502
0,ss_mean,total,imu,221.1932372734375
0,ss_mean,total,selfreport,228.6229618956521
0,ss_mean_60,last_30min,imu,283.19661433333334
0,ss_mean_60,last_30min,selfreport,283.2812496666666
0,ss_mean_60,last_hour,imu,313.2421877272727
0,ss_mean_60,last_hour,selfreport,313.2421877272727
0,ss_mean_60,total,imu,308.75843393181816
0,ss_mean_60,total,selfreport,307.7057926219512
0,ss_median,last_30min,imu,93.613281
0,ss_median,last_30min,selfreport,93.613281
0,ss_median,last_hour,imu,87.773438
0,ss_median,last_hour,selfreport,106.054688
0,ss_median,total,imu,91.582031
0,ss_median,total,selfreport,102.5
0,ss_median_60,last_30min,imu,111.1328125
0,ss_median_60,last_30min,selfreport,175.1171875
0,ss_median_60,last_hour,imu,270.585938
0,ss_median_60,last_hour,selfreport,270.585938
0,ss_median_60,total,imu,187.8125005
0,ss_median_60,total,selfreport,192.128906
0,ss_number,last_30min,imu,8.0
0,ss_number,last_30min,selfreport,8.0
0,ss_number,last_hour,imu,15.0
0,ss_number,last_hour,selfreport,15.0
0,ss_number,total,imu,128.0
0,ss_number,total,selfreport,115.0
0,ss_number_60,last_30min,imu,6.0
0,ss_number_60,last_30min,selfreport,6.0
0,ss_number_60,last_hour,imu,11.0
0,ss_number_60,last_hour,selfreport,11.0
