night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,681.914063
0,ss_max,last_30min,selfreport,415.820313
0,ss_max,last_hour,imu,881.484375
0,ss_max,last_hour,selfreport,881.484375
0,ss_max,total,imu,3617.070313
0,ss_max,total,selfreport,3433.242187
0,ss_max_60,last_30min,imu,681.914063
0,ss_max_60,last_30min,selfreport,415.820313
0,ss_max_60,last_hour,imu,881.484375
0,ss_max_60,last_hour,selfreport,881.484375
0,ss_max_60,total,imu,3617.070313
0,ss_max_60,total,selfreport,3433.242187
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.4999159064882371
0,ss_max_position,last_hour,imu,0.1469839056791174
0,ss_max_position,last_hour,selfreport,0.0291992980919849
0,ss_max_position,total,imu,0.0
0,ss_max_position,total,selfreport,0.0
0,ss_mean,last_30min,imu,251.5066962857143
0,ss_mean,last_30min,selfreport,123.1640626153846
0,ss_mean,last_hour,imu,354.6289065
0,ss_mean,last_hour,selfreport,211.743163875
0,ss_mean,total,imu,455.209888119403
0,ss_mean,total,selfreport,418.9158817945205
0,ss_mean_60,last_30min,imu,411.8847655
0,ss_mean_60,last_30min,selfreport,289.88281279999995
0,ss_mean_60,last_hour,imu,490.61383942857145
0,ss_mean_60,last_hour,selfreport,404.52148425
0,ss_mean_60,total,imu,590.1393995490196
0,ss_mean_60,total,selfreport,579.6289061923077
0,ss_median,last_30min,imu,144.648437
0,ss_median,last_30min,selfreport,35.46875
0,ss_median,last_hour,imu,322.8906255
0,ss_median,last_hour,selfreport,71.5234375
0,ss_median,total,imu,175.625
0,ss_median,total,selfreport,159.882813
0,ss_median_60,last_30min,imu,410.488281
0,ss_median_60,last_30min,selfreport,257.890625
0,ss_median_60,last_hour,imu,416.328125
0,ss_median_60,last_hour,selfreport,322.8906245
0,ss_median_60,total,imu,323.90625
0,ss_median_60,total,selfreport,314.2578125
0,ss_number,last_30min,imu,7.0
0,ss_number,last_30min,selfreport,13.0
0,ss_number,last_hour,imu,10.0
0,ss_number,last_hour,selfreport,16.0
0,ss_number,total,imu,67.0
0,ss_number,total,selfreport,73.0
0,ss_number_60,last_30min,imu,4.0
0,ss_number_60,last_30min,selfreport,5.0
0,ss_number_60,last_hour,imu,7.0
0,ss_number_60,last_hour,selfreport,8.0
0,ss_number_60,total,imu,51.0
0,ss_number_60,total,selfreport,52.0
0,ss_skewness,last_30min,imu,0.6306470813577911
0,ss_skewness,last_30min,selfreport,0.9978380351708848
0,ss_skewness,last_hour,imu,0.5498619300041938
0,ss_skewness,last_hour,selfreport,1.441071490671786
0,ss_skewness,total,imu,2.957891823110004
0,ss_skewness,total,selfreport,2.989052711445766
0,ss_skewness_60,last_30min,imu,0.0220318204231794
0,ss_skewness_60,last_30min,selfreport,0.0293601119334817
0,ss_skewness_60,last_hour,imu,0.3231466210729544
0,ss_skewness_60,last_hour,selfreport,0.7263920334166143
0,ss_skewness_60,total,imu,2.6722398343837748
0,ss_skewness_60,total,selfreport,2.6247609033654102
0,ss_std,last_30min,imu,253.29187593913693
0,ss_std,last_30min,selfreport,153.44684197839092
0,ss_std,last_hour,imu,314.46076902352814
0,ss_std,last_hour,selfreport,284.6425564335815
0,ss_std,total,imu,675.7115919088784
0,ss_std,total,selfreport,645.1370993841028
0,ss_std_60,last_30min,imu,219.38690193779485
0,ss_std_60,last_30min,selfreport,117.64219396421036
0,ss_std_60,last_hour,imu,276.2832473220458
0,ss_std_60,last_hour,selfreport,297.4675235560055
0,ss_std_60,total,imu,724.4809509326088
0,ss_std_60,total,selfreport,704.2512204765783
1,ss_max,last_30min,imu,510.273437
1,ss_max,last_30min,selfreport,581.367188
1,ss_max,last_hour,imu,1296.875
1,ss_max,last_hour,selfreport,714.921875
1,ss_max,total,imu,2899.023437
1,ss_max,total,selfreport,2899.023438
1,ss_max_60,last_30min,imu,510.273437
1,ss_max_60,last_30min,selfreport,581.367188
1,ss_max_60,last_hour,imu,1296.875
1,ss_max_60,last_hour,selfreport,714.921875
1,ss_max_60,total,imu,2899.023437
1,ss_max_60,total,selfreport,2899.023438
1,ss_max_position,last_30min,imu,0.6265876009044016
1,ss_max_position,last_30min,selfreport,0.0598093522435137
1,ss_max_position,last_hour,imu,0.0136827629478278
1,ss_max_position,last_hour,selfreport,0.0528972790394249
1,ss_max_position,total,imu,0.3870427608119162
1,ss_max_position,total,selfreport,0.3963918974747474
1,ss_mean,last_30min,imu,122.48604892857144
1,ss_mean,last_30min,selfreport,293.69140633333336
1,ss_mean,last_hour,imu,218.5986330625
1,ss_mean,last_hour,selfreport,321.09019900000004
1,ss_mean,total,imu,335.99793639622635
1,ss_mean,total,selfreport,439.25121033802816
1,ss_mean_60,last_30min,imu,267.20052050000004
1,ss_mean_60,last_30min,selfreport,351.4296876
