night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,985.078125
0,ss_max,last_30min,selfreport,770.273438
0,ss_max,last_hour,imu,1307.539063
0,ss_max,last_hour,selfreport,1307.03125
0,ss_max,total,imu,4706.328125
0,ss_max,total,selfreport,4706.328125
0,ss_max_60,last_30min,imu,985.078125
0,ss_max_60,last_30min,selfreport,770.273438
0,ss_max_60,last_hour,imu,1307.539063
0,ss_max_60,last_hour,selfreport,1307.03125
0,ss_max_60,total,imu,4706.328125
0,ss_max_60,total,selfreport,4706.328125
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.4104828842681569
0,ss_max_position,last_hour,selfreport,0.3508147538072419
0,ss_max_position,total,imu,0.6874855323931623
0,ss_max_position,total,selfreport,0.654811680154321
0,ss_mean,last_30min,imu,593.7239583333334
0,ss_mean,last_30min,selfreport,443.75000000000006
0,ss_mean,last_hour,imu,354.73046880000004
0,ss_mean,last_hour,selfreport,321.73650572727274
0,ss_mean,total,imu,469.0171030675677
0,ss_mean,total,selfreport,493.46093750769234
0,ss_mean_60,last_30min,imu,593.7239583333334
0,ss_mean_60,last_30min,selfreport,443.75000000000006
0,ss_mean_60,last_hour,imu,387.8342014444445
0,ss_mean_60,last_hour,selfreport,385.577257
0,ss_mean_60,total,imu,667.7450981176472
0,ss_mean_60,total,selfreport,658.0574544375
0,ss_median,last_30min,imu,456.953125
0,ss_median,last_30min,selfreport,443.75
0,ss_median,last_hour,imu,246.9726565
0,ss_median,last_hour,selfreport,226.914062
0,ss_median,total,imu,154.804687
0,ss_median,total,selfreport,159.882812
0,ss_median_60,last_30min,imu,456.953125
0,ss_median_60,last_30min,selfreport,443.75
0,ss_median_60,last_hour,imu,267.03125
0,ss_median_60,last_hour,selfreport,267.539063
0,ss_median_60,total,imu,267.03125
0,ss_median_60,total,selfreport,263.73046850000003
0,ss_number,last_30min,imu,3.0
0,ss_number,last_30min,selfreport,4.0
0,ss_number,last_hour,imu,10.0
0,ss_number,last_hour,selfreport,11.0
0,ss_number,total,imu,74.0
0,ss_number,total,selfreport,65.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,4.0
0,ss_number_60,last_hour,imu,9.0
