night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,458.984375
0,ss_max,last_30min,selfreport,459.492187
0,ss_max,last_hour,imu,1076.992188
0,ss_max,last_hour,selfreport,1076.992187
0,ss_max,total,imu,3501.289063
0,ss_max,total,selfreport,3501.289062
0,ss_max_60,last_30min,imu,458.984375
0,ss_max_60,last_30min,selfreport,459.492187
0,ss_max_60,last_hour,imu,1076.992188
0,ss_max_60,last_hour,selfreport,1076.992187
0,ss_max_60,total,imu,3501.289063
0,ss_max_60,total,selfreport,3501.289062
0,ss_max_position,last_30min,imu,0.4598549255240015
0,ss_max_position,last_30min,selfreport,0.388478670274564
0,ss_max_position,last_hour,imu,0.0932402701623551
0,ss_max_position,last_hour,selfreport,0.0576932989930735
0,ss_max_position,total,imu,0.2759032908097611
0,ss_max_position,total,selfreport,0.2045694444444444
0,ss_mean,last_30min,imu,195.9375
0,ss_mean,last_30min,selfreport,252.52232142857144
0,ss_mean,last_hour,imu,234.8359374
0,ss_mean,last_hour,selfreport,251.8694196428572
0,ss_mean,total,imu,342.3978795285714
0,ss_mean,total,selfreport,676.0203597575758
0,ss_mean_60,last_30min,imu,335.17968740000003
0,ss_mean_60,last_30min,selfreport,287.5130208333333
0,ss_mean_60,last_hour,imu,381.00694433333337
0,ss_mean_60,last_hour,selfreport,383.20746533333335
0,ss_mean_60,total,imu,705.4580966363636
0,ss_mean_60,total,selfreport,888.4921873999999
0,ss_median,last_30min,imu,146.171875
0,ss_median,last_30min,selfreport,292.421875
0,ss_median,last_hour,imu,146.171875
0,ss_median,last_hour,selfreport,151.5039065
0,ss_median,total,imu,44.609375
0,ss_median,total,selfreport,373.671875
0,ss_median_60,last_30min,imu,373.671875
0,ss_median_60,last_30min,selfreport,300.8007815
0,ss_median_60,last_hour,imu,373.671875
0,ss_median_60,last_hour,selfreport,373.671875
0,ss_median_60,total,imu,373.671875
0,ss_median_60,total,selfreport,505.703125
0,ss_number,last_30min,imu,9.0
0,ss_number,last_30min,selfreport,7.0
0,ss_number,last_hour,imu,15.0
0,ss_number,last_hour,selfreport,14.0
0,ss_number,total,imu,70.0
0,ss_number,total,selfreport,33.0
0,ss_number_60,last_30min,imu,5.0
0,ss_number_60,last_30min,selfreport,6.0
0,ss_number_60,last_hour,imu,9.0
0,ss_number_60,last_hour,selfreport,9.0
0,ss_number_60,total,imu,33.0
0,ss_number_60,total,selfreport,25.0
0,ss_skewness,last_30min,imu,0.2495903578924653
0,ss_skewness,last_30min,selfreport,-0.0477290881574045
0,ss_skewness,last_hour,imu,1.7349331640087415
0,ss_skewness,last_hour,selfreport,1.658984310381539
0,ss_skewness,total,imu,3.117362871766041
0,ss_skewness,total,selfreport,1.903951043587197
0,ss_skewness_60,last_30min,imu,-0.7050707858356935
0,ss_skewness_60,last_30min,selfreport,-0.0038495690018639
0,ss_skewness_60,last_hour,imu,1.616906714752593
0,ss_skewness_60,last_hour,selfreport,1.648949736388012
0,ss_skewness_60,total,imu,1.9706618873333257
0,ss_skewness_60,total,selfreport,1.605600268948301
0,ss_std,last_30min,imu,186.4351485178324
0,ss_std,last_30min,selfreport,146.88393736640631
0,ss_std,last_hour,imu,286.8723175454186
0,ss_std,last_hour,selfreport,290.3965475177404
0,ss_std,total,imu,716.3862154884171
0,ss_std,total,selfreport,941.1062551322711
0,ss_std_60,last_30min,imu,121.64224185950154
0,ss_std_60,last_30min,selfreport,124.92132440420669
0,ss_std_60,last_hour,imu,289.4745184210433
0,ss_std_60,last_hour,selfreport,287.3469242982388
0,ss_std_60,total,imu,921.5430613081138
0,ss_std_60,total,selfreport,993.4174101226243
1,ss_max,last_30min,imu,775.859375
1,ss_max,last_30min,selfreport,769.765625
1,ss_max,last_hour,imu,775.859375
1,ss_max,last_hour,selfreport,770.273438
1,ss_max,total,imu,2227.695312
1,ss_max,total,selfreport,2227.695313
1,ss_max_60,last_30min,imu,775.859375
1,ss_max_60,last_30min,selfreport,769.765625
1,ss_max_60,last_hour,imu,775.859375
1,ss_max_60,last_hour,selfreport,770.273438
1,ss_max_60,total,imu,2227.695312
1,ss_max_60,total,selfreport,2227.695313
1,ss_max_position,last_30min,imu,0.5687530858014644
1,ss_max_position,last_30min,selfreport,0.5721385205181405
1,ss_max_position,last_hour,imu,0.7844313815991313
1,ss_max_position,last_hour,selfreport,0.7859830347567596
1,ss_max_position,total,imu,0.4647955338472536
1,ss_max_position,total,selfreport,0.3186746161988304
1,ss_mean,last_30min,imu,590.6770833333334
1,ss_mean,last_30min,selfreport,590.5078126666667
1,ss_mean,last_hour,imu,591.6080728333333
1,ss_mean,last_hour,selfreport,591.7773436666666
1,ss_mean,total,imu,331.832733140625
1,ss_mean,total,selfreport,648.9062500769231
1,ss_mean_60,last_30min,imu,590.6770833333334
1,ss_mean_60,last_30min,selfreport,590.5078126666667
1,ss_mean_60,last_hour,imu,591.6080728333333
1,ss_mean_60,last_hour,selfreport,591.7773436666666
1,ss_mean_60,total,imu,558.7761296216216
1,ss_mean_60,total,selfreport,883.7027138421053
1,ss_median,last_30min,imu,686.484375
1,ss_median,last_30min,selfreport,685.976563
1,ss_median,last_hour,imu,670.742187
1,ss_median,last_hour,selfreport,670.742187
1,ss_median,total,imu,104.53125
1,ss_median,total,selfreport,558.515625
1,ss_median_60,last_30min,imu,686.484375
1,ss_median_60,last_30min,selfreport,685.976563
1,ss_median_60,last_hour,imu,670.742187
1,ss_median_60,last_hour,selfreport,670.742187
1,ss_median_60,total,imu,278.203125
1,ss_median_60,total,selfreport,659.0625
1,ss_number,last_30min,imu,3.0
1,ss_number,last_30min,selfreport,3.0
1,ss_number,last_hour,imu,6.0
1,ss_number,last_hour,selfreport,6.0
1,ss_number,total,imu,64.0
1,ss_number,total,selfreport,26.0
1,ss_number_60,last_30min,imu,3.0
1,ss_number_60,last_30min,selfreport,3.0
1,ss_number_60,last_hour,imu,6.0
1,ss_number_60,last_hour,selfreport,6.0
1,ss_number_60,total,imu,37.0
1,ss_number_60,total,selfreport,19.0
1,ss_skewness,last_30min,imu,-0.6047224551621347
1,ss_skewness,last_30min,selfreport,-0.6126196781409169
1,ss_skewness,last_hour,imu,-1.5522097242865416
1,ss_skewness,last_hour,selfreport,-1.5659401645637607
1,ss_skewness,total,imu,2.2701822503474114
1,ss_skewness,total,selfreport,1.0753182713773055
1,ss_skewness_60,last_30min,imu,-0.6047224551621347
1,ss_skewness_60,last_30min,selfreport,-0.6126196781409169
1,ss_skewness_60,last_hour,imu,-1.5522097242865416
1,ss_skewness_60,last_hour,selfreport,-1.5659401645637607
1,ss_skewness_60,total,imu,1.5748813781467388
1,ss_skewness_60,total,selfreport,0.810645689776036
1,ss_std,last_30min,imu,247.41328200529213
1,ss_std,last_30min,selfreport,241.5805557235338
1,ss_std,last_hour,imu,230.8081085261265
1,ss_std,last_hour,selfreport,230.28000717898527
1,ss_std,total,imu,537.9976563879145
1,ss_std,total,selfreport,715.7128614910779
1,ss_std_60,last_30min,imu,247.41328200529213
1,ss_std_60,last_30min,selfreport,241.5805557235338
1,ss_std_60,last_hour,imu,230.8081085261265
1,ss_std_60,last_hour,selfreport,230.28000717898527
1,ss_std_60,total,imu,617.1601860168439
1,ss_std_60,total,selfreport,703.7770978804692
