night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1450.234375
0,ss_max,last_30min,selfreport,1225.273438
0,ss_max,last_hour,imu,1449.726563
0,ss_max,last_hour,selfreport,1449.726563
0,ss_max,total,imu,2913.75
0,ss_max,total,selfreport,65250.185547
0,ss_max_60,last_30min,imu,1450.234375
0,ss_max_60,last_30min,selfreport,1225.273438
0,ss_max_60,last_hour,imu,1449.726563
0,ss_max_60,last_hour,selfreport,1449.726563
0,ss_max_60,total,imu,2913.75
0,ss_max_60,total,selfreport,65250.185547
0,ss_max_position,last_30min,imu,0.0784292449666702
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.5392701259755696
0,ss_max_position,last_hour,selfreport,0.4375662910652312
0,ss_max_position,total,imu,0.5890459303505794
0,ss_max_position,total,selfreport,0.205279356060606
0,ss_mean,last_30min,imu,297.4153645
0,ss_mean,last_30min,selfreport,297.5846355
0,ss_mean,last_hour,imu,296.5690103333333
0,ss_mean,last_hour,selfreport,323.99857954545456
0,ss_mean,total,imu,334.256495752809
0,ss_mean,total,selfreport,1176.8371050978262
0,ss_mean_60,last_30min,imu,441.71875
0,ss_mean_60,last_30min,selfreport,355.3906252
0,ss_mean_60,last_hour,imu,497.1428571428572
0,ss_mean_60,last_hour,selfreport,392.7994792222223
0,ss_mean_60,total,imu,673.0450580930233
0,ss_mean_60,total,selfreport,1823.870994389831
0,ss_median,last_30min,imu,89.8046875
0,ss_median,last_30min,selfreport,95.390625
0,ss_median,last_hour,imu,89.296875
0,ss_median,last_hour,selfreport,181.71875
0,ss_median,total,imu,48.164062
0,ss_median,total,selfreport,237.578125
0,ss_median_60,last_30min,imu,115.703125
0,ss_median_60,last_30min,selfreport,96.40625
0,ss_median_60,last_hour,imu,500.117188
0,ss_median_60,last_hour,selfreport,200.507812
0,ss_median_60,total,imu,428.515625
0,ss_median_60,total,selfreport,481.835938
0,ss_number,last_30min,imu,6.0
0,ss_number,last_30min,selfreport,6.0
0,ss_number,last_hour,imu,12.0
0,ss_number,last_hour,selfreport,11.0
0,ss_number,total,imu,89.0
0,ss_number,total,selfreport,92.0
0,ss_number_60,last_30min,imu,4.0
0,ss_number_60,last_30min,selfreport,5.0
0,ss_number_60,last_hour,imu,7.0
0,ss_number_60,last_hour,selfreport,9.0
0,ss_number_60,total,imu,43.0
0,ss_number_60,total,selfreport,59.0
0,ss_skewness,last_30min,imu,1.7569720030982592
0,ss_skewness,last_30min,selfreport,1.6515996761939358
0,ss_skewness,last_hour,imu,1.761064868100307
0,ss_skewness,last_hour,selfreport,1.8867995922005865
0,ss_skewness,total,imu,2.3591196739338813
0,ss_skewness,total,selfreport,9.30838605444949
0,ss_skewness_60,last_30min,imu,1.1508288557256
0,ss_skewness_60,last_30min,selfreport,1.4076949043748934
0,ss_skewness_60,last_hour,imu,1.1992917030311925
0,ss_skewness_60,last_hour,selfreport,1.6983621536986513
0,ss_skewness_60,total,imu,1.527380918017097
0,ss_skewness_60,total,selfreport,7.4107296243422995
0,ss_std,last_30min,imu,567.0182999774795
0,ss_std,last_30min,selfreport,462.9641000135695
0,ss_std,last_hour,imu,428.1635473415467
0,ss_std,last_hour,selfreport,422.4923595388424
0,ss_std,total,imu,557.4440003198622
0,ss_std,total,selfreport,6783.59273286698
0,ss_std_60,last_30min,imu,672.722584926009
0,ss_std_60,last_30min,selfreport,492.8064569765134
0,ss_std_60,last_hour,imu,472.6753766859135
0,ss_std_60,last_hour,selfreport,440.2598195468428
0,ss_std_60,total,imu,650.7984013670134
0,ss_std_60,total,selfreport,8426.857502782823
