night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,692.070313
0,ss_max,last_30min,selfreport,692.070313
0,ss_max,last_hour,imu,1263.867187
0,ss_max,last_hour,selfreport,1486.289063
0,ss_max,total,imu,3115.859375
0,ss_max,total,selfreport,3115.859375
0,ss_max_60,last_30min,imu,692.070313
0,ss_max_60,last_30min,selfreport,692.070313
0,ss_max_60,last_hour,imu,1263.867187
0,ss_max_60,last_hour,selfreport,1486.289063
0,ss_max_60,total,imu,3115.859375
0,ss_max_60,total,selfreport,3115.859375
0,ss_max_position,last_30min,imu,0.4110482368317116
0,ss_max_position,last_30min,selfreport,0.534334495986863
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.3726097768037572
0,ss_max_position,total,selfreport,0.3459707754444444
0,ss_mean,last_30min,imu,292.42187516666667
0,ss_mean,last_30min,selfreport,353.8671876
0,ss_mean,last_hour,imu,506.7187497142856
0,ss_mean,last_hour,selfreport,593.7239583333333
0,ss_mean,total,imu,468.92057286666665
0,ss_mean,total,selfreport,668.86328125
0,ss_mean_60,last_30min,imu,341.6796876
0,ss_mean_60,last_30min,selfreport,353.8671876
0,ss_mean_60,last_hour,imu,583.4830726666665
0,ss_mean_60,last_hour,selfreport,593.7239583333333
0,ss_mean_60,total,imu,644.9382267441861
0,ss_mean_60,total,selfreport,703.2421875
0,ss_median,last_30min,imu,233.515625
0,ss_median,last_30min,selfreport,390.9375
0,ss_median,last_hour,imu,482.851562
0,ss_median,last_hour,selfreport,587.460937
0,ss_median,total,imu,210.9179685
0,ss_median,total,selfreport,515.3515625
0,ss_median_60,last_30min,imu,298.007813
0,ss_median_60,last_30min,selfreport,390.9375
0,ss_median_60,last_hour,imu,587.460937
0,ss_median_60,last_hour,selfreport,587.460937
0,ss_median_60,total,imu,483.359375
0,ss_median_60,total,selfreport,522.460937
0,ss_number,last_30min,imu,6.0
0,ss_number,last_30min,selfreport,5.0
0,ss_number,last_hour,imu,7.0
0,ss_number,last_hour,selfreport,6.0
0,ss_number,total,imu,60.0
0,ss_number,total,selfreport,40.0
0,ss_number_60,last_30min,imu,5.0
0,ss_number_60,last_30min,selfreport,5.0
0,ss_number_60,last_hour,imu,6.0
0,ss_number_60,last_hour,selfreport,6.0
0,ss_number_60,total,imu,43.0
0,ss_number_60,total,selfreport,38.0
0,ss_skewness,last_30min,imu,0.5641710528806971
0,ss_skewness,last_30min,selfreport,0.1137732354629226
0,ss_skewness,last_hour,imu,0.588898356821545
0,ss_skewness,last_hour,selfreport,0.7612557952259716
0,ss_skewness,total,imu,2.41288977594513
0,ss_skewness,total,selfreport,1.948168321849855
0,ss_skewness_60,last_30min,imu,0.3505512227129024
0,ss_skewness_60,last_30min,selfreport,0.1137732354629226
0,ss_skewness_60,last_hour,imu,0.4862727828941295
0,ss_skewness_60,last_hour,selfreport,0.7612557952259716
0,ss_skewness_60,total,imu,2.089065135658834
0,ss_skewness_60,total,selfreport,1.9229690888845377
0,ss_std,last_30min,imu,254.31785398837027
0,ss_std,last_30min,selfreport,256.1469878437492
0,ss_std,last_hour,imu,427.16852255985583
0,ss_std,last_hour,selfreport,513.1611190502463
0,ss_std,total,imu,664.75362481594
0,ss_std,total,selfreport,736.1502496056006
0,ss_std_60,last_30min,imu,250.29876733352413
0,ss_std_60,last_30min,selfreport,256.1469878437492
0,ss_std_60,last_hour,imu,411.665326765723
0,ss_std_60,last_hour,selfreport,513.1611190502463
0,ss_std_60,total,imu,713.2187307884083
0,ss_std_60,total,selfreport,739.5491487399764
1,ss_max,last_30min,imu,1799.609375
