night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,638.75
0,ss_max,last_30min,selfreport,594.0625
0,ss_max,last_hour,imu,2438.945313
0,ss_max,last_hour,selfreport,2290.15625
0,ss_max,total,imu,2717.226563
0,ss_max,total,selfreport,2717.226562
0,ss_max_60,last_30min,imu,638.75
0,ss_max_60,last_30min,selfreport,594.0625
0,ss_max_60,last_hour,imu,2438.945313
0,ss_max_60,last_hour,selfreport,2290.15625
0,ss_max_60,total,imu,2717.226563
0,ss_max_60,total,selfreport,2717.226562
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.3010215985977279
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.2466075079651729
0,ss_max_position,total,selfreport,0.2119915674603174
0,ss_mean,last_30min,imu,353.86718740000003
0,ss_mean,last_30min,selfreport,292.6757815
0,ss_mean,last_hour,imu,714.1093752
0,ss_mean,last_hour,selfreport,592.623698
0,ss_mean,total,imu,378.8022747941176
0,ss_mean,total,selfreport,624.1376953
0,ss_mean_60,last_30min,imu,571.0416666666666
0,ss_mean_60,last_30min,selfreport,345.6406252
0,ss_mean_60,last_hour,imu,1171.106771
0,ss_mean_60,last_hour,selfreport,705.5781252
0,ss_mean_60,total,imu,677.9201857567567
0,ss_mean_60,total,selfreport,711.3526786
0,ss_median,last_30min,imu,480.3125
0,ss_median,last_30min,selfreport,282.265625
0,ss_median,last_hour,imu,480.3125
0,ss_median,last_hour,selfreport,282.011719
0,ss_median,total,imu,76.6015625
0,ss_median,total,selfreport,339.6484375
0,ss_median_60,last_30min,imu,594.0625
0,ss_median_60,last_30min,selfreport,480.3125
0,ss_median_60,last_hour,imu,594.0625
0,ss_median_60,last_hour,selfreport,480.3125
0,ss_median_60,total,imu,470.15625
0,ss_median_60,total,selfreport,480.3125
0,ss_number,last_30min,imu,5.0
0,ss_number,last_30min,selfreport,6.0
0,ss_number,last_hour,imu,5.0
0,ss_number,last_hour,selfreport,6.0
0,ss_number,total,imu,68.0
0,ss_number,total,selfreport,40.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,5.0
0,ss_number_60,last_hour,imu,3.0
0,ss_number_60,last_hour,selfreport,5.0
0,ss_number_60,total,imu,37.0
0,ss_number_60,total,selfreport,35.0
0,ss_skewness,last_30min,imu,-0.3030398214993016
0,ss_skewness,last_30min,selfreport,0.0579634812367776
0,ss_skewness,last_hour,imu,1.2577351242926906
0,ss_skewness,last_hour,selfreport,1.5075977387819746
0,ss_skewness,total,imu,2.2139522471944244
0,ss_skewness,total,selfreport,1.4996031970752457
0,ss_skewness_60,last_30min,imu,-0.47660383613873
