night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1761.015625
0,ss_max,last_30min,selfreport,1748.320313
0,ss_max,last_hour,imu,2980.273437
0,ss_max,last_hour,selfreport,2979.765625
0,ss_max,total,imu,3901.445312
0,ss_max,total,selfreport,4618.476562
0,ss_max_60,last_30min,imu,1761.015625
0,ss_max_60,last_30min,selfreport,1748.320313
0,ss_max_60,last_hour,imu,2980.273437
0,ss_max_60,last_hour,selfreport,2979.765625
0,ss_max_60,total,imu,3901.445312
0,ss_max_60,total,selfreport,4618.476562
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.1613719655440598
0,ss_max_position,last_hour,selfreport,0.1578454803780877
0,ss_max_position,total,imu,0.4712858484569527
0,ss_max_position,total,selfreport,0.0575520833333333
0,ss_mean,last_30min,imu,893.671875
0,ss_mean,last_30min,selfreport,595.078125
0,ss_mean,last_hour,imu,1192.096354
0,ss_mean,last_hour,selfreport,893.544922
0,ss_mean,total,imu,1435.4401042
0,ss_mean,total,selfreport,1302.861842
0,ss_mean_60,last_30min,imu,1761.015625
0,ss_mean_60,last_30min,selfreport,1748.320313
0,ss_mean_60,last_hour,imu,1774.9804685
0,ss_mean_60,last_hour,selfreport,1768.3789065
0,ss_mean_60,total,imu,1536.090959857143
0,ss_mean_60,total,selfreport,1453.938419
0,ss_median,last_30min,imu,893.671875
0,ss_median,last_30min,selfreport,26.328125
0,ss_median,last_hour,imu,569.6875
0,ss_median,last_hour,selfreport,291.6601565
0,ss_median,total,imu,880.976563
0,ss_median,total,selfreport,757.070312
0,ss_median_60,last_30min,imu,1761.015625
0,ss_median_60,last_30min,selfreport,1748.320313
0,ss_median_60,last_hour,imu,1774.9804685
0,ss_median_60,last_hour,selfreport,1768.3789065
0,ss_median_60,total,imu,1033.0664065
0,ss_median_60,total,selfreport,881.484375
0,ss_number,last_30min,imu,2.0
0,ss_number,last_30min,selfreport,3.0
0,ss_number,last_hour,imu,3.0
0,ss_number,last_hour,selfreport,4.0
0,ss_number,total,imu,15.0
0,ss_number,total,selfreport,19.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_30min,selfreport,1.0
0,ss_number_60,last_hour,imu,2.0
0,ss_number_60,last_hour,selfreport,2.0
0,ss_number_60,total,imu,14.0
0,ss_number_60,total,selfreport,17.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,0.7069091628701021
0,ss_skewness,last_hour,imu,0.6132881664780324
0,ss_skewness,last_hour,selfreport,1.049114148314355
0,ss_skewness,total,imu,0.6422534639619069
0,ss_skewness,total,selfreport,1.0671458887196164
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,0.0
0,ss_skewness_60,last_hour,selfreport,0.0
0,ss_skewness_60,total,imu,0.5768314333117174
0,ss_skewness_60,total,selfreport,0.9470245679330044
0,ss_std,last_30min,imu,1226.6092944895393
0,ss_std,last_30min,selfreport,998.7680472752556
0,ss_std,last_hour,imu,1572.2572349093798
0,ss_std,last_hour,selfreport,1413.7856518760543
0,ss_std,total,imu,1293.7632432396551
0,ss_std,total,selfreport,1434.9841683205252
0,ss_std_60,last_hour,imu,1704.5416626856274
0,ss_std_60,last_hour,selfreport,1713.1595265813385
0,ss_std_60,total,imu,1280.207366540032
0,ss_std_60,total,selfreport,1444.3644527913505
1,ss_max,last_30min,imu,1358.320312
1,ss_max,last_30min,selfreport,1457.34375
1,ss_max,last_hour,imu,1497.460938
1,ss_max,last_hour,selfreport,1497.460938
1,ss_max,total,imu,3113.828125
1,ss_max,total,selfreport,3113.828125
1,ss_max_60,last_30min,imu,1358.320312
1,ss_max_60,last_30min,selfreport,1457.34375
1,ss_max_60,last_hour,imu,1497.460938
1,ss_max_60,last_hour,selfreport,1497.460938
1,ss_max_60,total,imu,3113.828125
1,ss_max_60,total,selfreport,3113.828125
1,ss_max_position,last_30min,imu,0.0
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.4614053314123518
1,ss_max_position,last_hour,selfreport,0.4889119164513511
1,ss_max_position,total,imu,0.6398668980886716
1,ss_max_position,total,selfreport,0.6304893091812865
1,ss_mean,last_30min,imu,295.5533855
1,ss_mean,last_30min,selfreport,898.2421875
1,ss_mean,last_hour,imu,444.448242125
1,ss_mean,last_hour,selfreport,894.81445325
1,ss_mean,total,imu,630.8426339642857
