night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1799.609375
0,ss_max,last_30min,selfreport,642.8125
0,ss_max,last_hour,imu,3599.804688
0,ss_max,last_hour,selfreport,830.703125
0,ss_max,total,imu,4213.75
0,ss_max,total,selfreport,5448.75
0,ss_max_60,last_30min,imu,1799.609375
0,ss_max_60,last_30min,selfreport,642.8125
0,ss_max_60,last_hour,imu,3599.804688
0,ss_max_60,last_hour,selfreport,830.703125
0,ss_max_60,total,imu,4213.75
0,ss_max_60,total,selfreport,5448.75
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.4355926408678545
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.1619362031408399
0,ss_max_position,total,imu,0.7798401477606606
0,ss_max_position,total,selfreport,0.5851722404761904
0,ss_mean,last_30min,imu,1799.609375
0,ss_mean,last_30min,selfreport,251.43415185714284
0,ss_mean,last_hour,imu,3599.804688
0,ss_mean,last_hour,selfreport,320.1669033636364
0,ss_mean,total,imu,701.0792823703704
0,ss_mean,total,selfreport,676.3571428285715
0,ss_mean_60,last_30min,imu,1799.609375
0,ss_mean_60,last_30min,selfreport,421.02539075
0,ss_mean_60,last_hour,imu,3599.804688
0,ss_mean_60,last_hour,selfreport,430.737304625
0,ss_mean_60,total,imu,986.9222861578947
0,ss_mean_60,total,selfreport,939.009375
0,ss_median,last_30min,imu,1799.609375
0,ss_median,last_30min,selfreport,236.5625
0,ss_median,last_hour,imu,3599.804688
0,ss_median,last_hour,selfreport,324.921875
0,ss_median,total,imu,238.59375
0,ss_median,total,selfreport,262.460938
0,ss_median_60,last_30min,imu,1799.609375
0,ss_median_60,last_30min,selfreport,402.3632815
0,ss_median_60,last_hour,imu,3599.804688
0,ss_median_60,last_hour,selfreport,339.140625
0,ss_median_60,total,imu,450.351562
0,ss_median_60,total,selfreport,462.539063
0,ss_number,last_30min,imu,1.0
0,ss_number,last_30min,selfreport,7.0
0,ss_number,last_hour,imu,1.0
0,ss_number,last_hour,selfreport,11.0
0,ss_number,total,imu,27.0
0,ss_number,total,selfreport,35.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_30min,selfreport,4.0
0,ss_number_60,last_hour,imu,1.0
0,ss_number_60,last_hour,selfreport,8.0
0,ss_number_60,total,imu,19.0
0,ss_number_60,total,selfreport,25.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,0.4295832635608683
0,ss_skewness,last_hour,imu,0.0
0,ss_skewness,last_hour,selfreport,0.5717731366594337
0,ss_skewness,total,imu,1.927323568738013
0,ss_skewness,total,selfreport,2.8099677212127783
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.3062711128964724
0,ss_skewness_60,last_hour,imu,0.0
0,ss_skewness_60,last_hour,selfreport,1.0423468487048928
0,ss_skewness_60,total,imu,1.489083058810186
0,ss_skewness_60,total,selfreport,2.4082383164869907
0,ss_std,last_30min,selfreport,244.97900195918228
0,ss_std,last_hour,selfreport,256.1177173316329
0,ss_std,total,imu,1059.040312211905
0,ss_std,total,selfreport,1097.0431097583814
0,ss_std_60,last_30min,selfreport,174.3128202350659
0,ss_std_60,last_hour,selfreport,205.93801601158205
0,ss_std_60,total,imu,1152.739373684101
0,ss_std_60,total,selfreport,1205.556148876126
1,ss_max,last_30min,imu,1799.609375
1,ss_max,last_30min,selfreport,807.34375
1,ss_max,last_hour,imu,2519.179688
1,ss_max,last_hour,selfreport,1382.695313
1,ss_max,total,imu,3978.632812
1,ss_max,total,selfreport,3978.125
1,ss_max_60,last_30min,imu,1799.609375
1,ss_max_60,last_30min,selfreport,807.34375
1,ss_max_60,last_hour,imu,2519.179688
1,ss_max_60,last_hour,selfreport,1382.695313
1,ss_max_60,total,imu,3978.632812
1,ss_max_60,total,selfreport,3978.125
1,ss_max_position,last_30min,imu,0.0
1,ss_max_position,last_30min,selfreport,0.5512616711501216
1,ss_max_position,last_hour,imu,0.3001744254176218
1,ss_max_position,last_hour,selfreport,0.0
1,ss_max_position,total,imu,0.0863793488210687
1,ss_max_position,total,selfreport,0.0345935105363984
1,ss_mean,last_30min,imu,1799.609375
1,ss_mean,last_30min,selfreport,292.3372396666667
1,ss_mean,last_hour,imu,893.0371095
1,ss_mean,last_hour,selfreport,505.4129465714286
1,ss_mean,total,imu,599.6582030769231
1,ss_mean,total,selfreport,641.542968675
1,ss_mean_60,last_30min,imu,1799.609375
1,ss_mean_60,last_30min,selfreport,433.9746095
1,ss_mean_60,last_hour,imu,1755.1757815
1,ss_mean_60,last_hour,selfreport,588.8151043333334
1,ss_mean_60,total,imu,879.3515625142858
1,ss_mean_60,total,selfreport,906.512276642857
1,ss_median,last_30min,imu,1799.609375
1,ss_median,last_30min,selfreport,308.1640625
1,ss_median,last_hour,imu,520.6835935
1,ss_median,last_hour,selfreport,312.226563
1,ss_median,total,imu,137.285156
1,ss_median,total,selfreport,150.234375
1,ss_median_60,last_30min,imu,1799.609375
1,ss_median_60,last_30min,selfreport,311.71875
1,ss_median_60,last_hour,imu,1755.1757815
1,ss_median_60,last_hour,selfreport,363.261719
1,ss_median_60,total,imu,312.226563
1,ss_median_60,total,selfreport,320.60546850000003
1,ss_number,last_30min,imu,1.0
1,ss_number,last_30min,selfreport,6.0
1,ss_number,last_hour,imu,4.0
1,ss_number,last_hour,selfreport,7.0
1,ss_number,total,imu,52.0
1,ss_number,total,selfreport,40.0
1,ss_number_60,last_30min,imu,1.0
1,ss_number_60,last_30min,selfreport,4.0
1,ss_number_60,last_hour,imu,2.0
1,ss_number_60,last_hour,selfreport,6.0
1,ss_number_60,total,imu,35.0
1,ss_number_60,total,selfreport,28.0
1,ss_skewness,last_30min,imu,0.0
1,ss_skewness,last_30min,selfreport,0.8009513489790523
1,ss_skewness,last_hour,imu,0.7160944884164108
1,ss_skewness,last_hour,selfreport,1.0685269645918332
1,ss_skewness,total,imu,2.152837331153372
1,ss_skewness,total,selfreport,2.0657935671829164
1,ss_skewness_60,last_30min,imu,0.0
1,ss_skewness_60,last_30min,selfreport,1.1541480631316683
1,ss_skewness_60,last_hour,imu,0.0
1,ss_skewness_60,last_hour,selfreport,1.1780521667226524
1,ss_skewness_60,total,imu,1.585324949584045
1,ss_skewness_60,total,selfreport,1.5479967138101645
1,ss_std,last_30min,selfreport,292.1168472645146
1,ss_std,last_hour,imu,1174.9157467746577
1,ss_std,last_hour,selfreport,453.62655548353615
1,ss_std,total,imu,1032.8143014520708
1,ss_std,total,selfreport,1106.7431534762125
1,ss_std_60,last_30min,selfreport,248.9325586483153
1,ss_std_60,last_hour,imu,1080.464686278326
1,ss_std_60,last_hour,selfreport,434.16901649629415
1,ss_std_60,total,imu,1163.4447612191234
1,ss_std_60,total,selfreport,1235.4956709476444
