night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,829.179687
0,ss_max,last_30min,selfreport,829.179687
0,ss_max,last_hour,imu,1469.53125
0,ss_max,last_hour,selfreport,1571.601563
0,ss_max,total,imu,4348.828125
0,ss_max,total,selfreport,4348.828125
0,ss_max_60,last_30min,imu,829.179687
0,ss_max_60,last_30min,selfreport,829.179687
0,ss_max_60,last_hour,imu,1469.53125
0,ss_max_60,last_hour,selfreport,1571.601563
0,ss_max_60,total,imu,4348.828125
0,ss_max_60,total,selfreport,4348.828125
0,ss_max_position,last_30min,imu,0.2177963205549258
0,ss_max_position,last_30min,selfreport,0.2745023575086228
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.0
0,ss_max_position,total,imu,0.3766963931899538
0,ss_max_position,total,selfreport,0.3728132134703196
0,ss_mean,last_30min,imu,292.42187483333333
0,ss_mean,last_30min,selfreport,592.3697913333333
0,ss_mean,last_hour,imu,507.37165185714287
0,ss_mean,last_hour,selfreport,893.29101575
0,ss_mean,total,imu,958.2744564782608
0,ss_mean,total,selfreport,1088.13867185
0,ss_mean_60,last_30min,imu,572.0572913333333
0,ss_mean_60,last_30min,selfreport,592.3697913333333
0,ss_mean_60,last_hour,imu,878.05664075
0,ss_mean_60,last_hour,selfreport,893.29101575
0,ss_mean_60,total,imu,1157.6541940526315
0,ss_mean_60,total,selfreport,1145.0925164210526
0,ss_median,last_30min,imu,204.316406
0,ss_median,last_30min,selfreport,483.359375
0,ss_median,last_hour,imu,506.210938
0,ss_median,last_hour,selfreport,768.4960934999999
0,ss_median,total,imu,495.039062
0,ss_median,total,selfreport,601.4257809999999
0,ss_median_60,last_30min,imu,505.703125
0,ss_median_60,last_30min,selfreport,483.359375
0,ss_median_60,last_hour,imu,768.2421875
0,ss_median_60,last_hour,selfreport,768.4960934999999
0,ss_median_60,total,imu,707.304687
0,ss_median_60,total,selfreport,707.304687
0,ss_number,last_30min,imu,6.0
0,ss_number,last_30min,selfreport,3.0
0,ss_number,last_hour,imu,7.0
0,ss_number,last_hour,selfreport,4.0
0,ss_number,total,imu,23.0
0,ss_number,total,selfreport,20.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,4.0
0,ss_number_60,last_hour,selfreport,4.0
0,ss_number_60,total,imu,19.0
0,ss_number_60,total,selfreport,19.0
0,ss_skewness,last_30min,imu,0.5551779256582804
0,ss_skewness,last_30min,selfreport,0.7004494959061552
0,ss_skewness,last_hour,imu,0.6225850816430173
0,ss_skewness,last_hour,selfreport,0.8037158878730156
0,ss_skewness,total,imu,1.5337079314032875
0,ss_skewness,total,selfreport,1.4554412779311212
0,ss_skewness_60,last_30min,imu,0.483821179120146
0,ss_skewness_60,last_30min,selfreport,0.7004494959061552
0,ss_skewness_60,last_hour,imu,0.8025383835412883
0,ss_skewness_60,last_hour,selfreport,0.8037158878730156
0,ss_skewness_60,total,imu,1.38896441185124
0,ss_skewness_60,total,selfreport,1.4286936004480373
0,ss_std,last_30min,imu,339.5295285806454
0,ss_std,last_30min,selfreport,205.29844674606684
0,ss_std,last_hour,imu,548.1109070836084
0,ss_std,last_hour,selfreport,476.9846123215828
0,ss_std,total,imu,1118.439353399699
0,ss_std,total,selfreport,1129.750923366793
0,ss_std_60,last_30min,imu,231.2004747682548
0,ss_std_60,last_30min,selfreport,205.29844674606684
0,ss_std_60,last_hour,imu,416.2454889376059
0,ss_std_60,last_hour,selfreport,476.9846123215828
0,ss_std_60,total,imu,1134.7212224677198
0,ss_std_60,total,selfreport,1130.825275622811
1,ss_max,last_30min,imu,947.5
1,ss_max,last_30min,selfreport,902.304687
1,ss_max,last_hour,imu,947.5
1,ss_max,last_hour,selfreport,1296.367188
1,ss_max,total,imu,2527.8125
1,ss_max,total,selfreport,2527.8125
1,ss_max_60,last_30min,imu,947.5
1,ss_max_60,last_30min,selfreport,902.304687
1,ss_max_60,last_hour,imu,947.5
1,ss_max_60,last_hour,selfreport,1296.367188
1,ss_max_60,total,imu,2527.8125
1,ss_max_60,total,selfreport,2527.8125
1,ss_max_position,last_30min,imu,0.070812016377411
1,ss_max_position,last_30min,selfreport,0.4985053088357449
1,ss_max_position,last_hour,imu,0.5354615218838226
1,ss_max_position,last_hour,selfreport,0.0
1,ss_max_position,total,imu,0.3535607839595375
1,ss_max_position,total,selfreport,0.3706525963681592
1,ss_mean,last_30min,imu,356.6093748
1,ss_mean,last_30min,selfreport,446.66992175
1,ss_mean,last_hour,imu,324.27556836363635
1,ss_mean,last_hour,selfreport,447.685547125
1,ss_mean,total,imu,570.6184896111112
1,ss_mean,total,selfreport,585.1459098235293
1,ss_mean_60,last_30min,imu,356.6093748
1,ss_mean_60,last_30min,selfreport,591.6927083333334
1,ss_mean_60,last_hour,imu,355.49218770000004
1,ss_mean_60,last_hour,selfreport,509.9107145714286
1,ss_mean_60,total,imu,682.5234375333333
1,ss_mean_60,total,selfreport,733.7673609999999
1,ss_median,last_30min,imu,158.867187
1,ss_median,last_30min,selfreport,436.386719
1,ss_median,last_hour,imu,315.78125
1,ss_median,last_hour,selfreport,335.3320315
1,ss_median,total,imu,353.61328100000003
1,ss_median,total,selfreport,353.867188
1,ss_median_60,last_30min,imu,158.867187
1,ss_median_60,last_30min,selfreport,517.890625
1,ss_median_60,last_hour,imu,335.3320315
1,ss_median_60,last_hour,selfreport,354.882813
1,ss_median_60,total,imu,416.328125
1,ss_median_60,total,selfreport,502.65625
1,ss_number,last_30min,imu,5.0
1,ss_number,last_30min,selfreport,4.0
1,ss_number,last_hour,imu,11.0
