night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1758.476562
0,ss_max,last_30min,selfreport,1729.53125
0,ss_max,last_hour,imu,1758.476563
0,ss_max,last_hour,selfreport,1842.265625
0,ss_max,total,imu,2568.945313
0,ss_max,total,selfreport,2568.945313
0,ss_max_60,last_30min,imu,1758.476562
0,ss_max_60,last_30min,selfreport,1729.53125
0,ss_max_60,last_hour,imu,1758.476563
0,ss_max_60,last_hour,selfreport,1842.265625
0,ss_max_60,total,imu,2568.945313
0,ss_max_60,total,selfreport,2568.945313
0,ss_max_position,last_30min,imu,0.0228516867608738
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.5114814222576582
0,ss_max_position,last_hour,selfreport,0.4685993613535454
0,ss_max_position,total,imu,0.312416877894339
0,ss_max_position,total,selfreport,0.2212022569230769
0,ss_mean,last_30min,imu,898.4960935
0,ss_mean,last_30min,selfreport,444.003906
0,ss_mean,last_hour,imu,509.4754464285714
0,ss_mean,last_hour,selfreport,394.9435765555556
0,ss_mean,total,imu,576.2326388888889
0,ss_mean,total,selfreport,626.4801521621622
0,ss_mean_60,last_30min,imu,1758.476562
0,ss_mean_60,last_30min,selfreport,1729.53125
0,ss_mean_60,last_hour,imu,509.4754464285714
0,ss_mean_60,last_hour,selfreport,584.5833335
0,ss_mean_60,total,imu,829.343498
0,ss_mean_60,total,selfreport,853.2537616666667
0,ss_median,last_30min,imu,898.4960935
0,ss_median,last_30min,selfreport,20.2343745
0,ss_median,last_hour,imu,183.242187
0,ss_median,last_hour,selfreport,101.484375
0,ss_median,total,imu,271.601562
0,ss_median,total,selfreport,302.070313
0,ss_median_60,last_30min,imu,1758.476562
0,ss_median_60,last_30min,selfreport,1729.53125
0,ss_median_60,last_hour,imu,183.242187
0,ss_median_60,last_hour,selfreport,318.320313
0,ss_median_60,total,imu,594.0625
0,ss_median_60,total,selfreport,692.578125
0,ss_number,last_30min,imu,2.0
0,ss_number,last_30min,selfreport,4.0
0,ss_number,last_hour,imu,7.0
0,ss_number,last_hour,selfreport,9.0
0,ss_number,total,imu,45.0
0,ss_number,total,selfreport,37.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_30min,selfreport,1.0
0,ss_number_60,last_hour,imu,7.0
0,ss_number_60,last_hour,selfreport,6.0
0,ss_number_60,total,imu,31.0
0,ss_number_60,total,selfreport,27.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,1.154255299650768
0,ss_skewness,last_hour,imu,1.383439098503659
0,ss_skewness,last_hour,selfreport,1.7251461331901687
0,ss_skewness,total,imu,1.3318679418397974
0,ss_skewness,total,selfreport,1.2379543650071494
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.0
0,ss_skewness_60,last_hour,imu,1.383439098503659
0,ss_skewness_60,last_hour,selfreport,1.2134167182276694
0,ss_skewness_60,total,imu,0.940845540087334
0,ss_skewness_60,total,selfreport,0.9056299269590564
0,ss_std,last_30min,imu,1216.196041928668
0,ss_std,last_30min,selfreport,857.0734252917131
0,ss_std,last_hour,imu,611.2136712480315
0,ss_std,last_hour,selfreport,605.4479286808447
0,ss_std,total,imu,714.4953556489207
0,ss_std,total,selfreport,750.445974897085
0,ss_std_60,last_hour,imu,611.2136712480315
0,ss_std_60,last_hour,selfreport,676.0058033224205
0,ss_std_60,total,imu,732.0537874429846
0,ss_std_60,total,selfreport,762.9886974218933
1,ss_max,last_30min,imu,969.335937
1,ss_max,last_30min,selfreport,969.335938
1,ss_max,last_hour,imu,1063.28125
1,ss_max,last_hour,selfreport,1614.257813
1,ss_max,total,imu,3114.335938
1,ss_max,total,selfreport,3114.335938
1,ss_max_60,last_30min,imu,969.335937
1,ss_max_60,last_30min,selfreport,969.335938
1,ss_max_60,last_hour,imu,1063.28125
1,ss_max_60,last_hour,selfreport,1614.257813
1,ss_max_60,total,imu,3114.335938
1,ss_max_60,total,selfreport,3114.335938
1,ss_max_position,last_30min,imu,0.0990239750378556
1,ss_max_position,last_30min,selfreport,0.405123725573989
1,ss_max_position,last_hour,imu,0.0
1,ss_max_position,last_hour,selfreport,0.0
1,ss_max_position,total,imu,0.2910967658316395
1,ss_max_position,total,selfreport,0.2692150297435897
1,ss_mean,last_30min,imu,157.85156245454547
1,ss_mean,last_30min,selfreport,357.3203128
1,ss_mean,last_hour,imu,271.484375
1,ss_mean,last_hour,selfreport,596.7708335000001
1,ss_mean,total,imu,461.0320060806452
1,ss_mean,total,selfreport,661.2795351463415
1,ss_mean_60,last_30min,imu,316.2890624
1,ss_mean_60,last_30min,selfreport,442.480469
1,ss_mean_60,last_hour,imu,481.9084821428572
1,ss_mean_60,last_hour,selfreport,712.6875002
1,ss_mean_60,total,imu,719.5963542307693
1,ss_mean_60,total,selfreport,730.444467972973
1,ss_median,last_30min,imu,41.5625
1,ss_median,last_30min,selfreport,248.242188
1,ss_median,last_hour,imu,65.429688
1,ss_median,last_hour,selfreport,450.097656
1,ss_median,total,imu,204.824219
1,ss_median,total,selfreport,472.695312
1,ss_median_60,last_30min,imu,170.546875
1,ss_median_60,last_30min,selfreport,360.4687505
1,ss_median_60,last_hour,imu,426.992187
1,ss_median_60,last_hour,selfreport,472.695312
1,ss_median_60,total,imu,473.203125
