night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,816.992187
0,ss_max,last_30min,selfreport,993.710937
0,ss_max,last_hour,imu,816.992188
0,ss_max,last_hour,selfreport,994.21875
0,ss_max,total,imu,3053.90625
0,ss_max,total,selfreport,3054.414063
0,ss_max_60,last_30min,imu,816.992187
0,ss_max_60,last_30min,selfreport,993.710937
0,ss_max_60,last_hour,imu,816.992188
0,ss_max_60,last_hour,selfreport,994.21875
0,ss_max_60,total,imu,3053.90625
0,ss_max_60,total,selfreport,3054.414063
0,ss_max_position,last_30min,imu,0.545901399292869
0,ss_max_position,last_30min,selfreport,0.4477237833459691
0,ss_max_position,last_hour,imu,0.7730055689998281
0,ss_max_position,last_hour,selfreport,0.7237758349086189
0,ss_max_position,total,imu,0.5764067709927178
0,ss_max_position,total,selfreport,0.4215637206770833
0,ss_mean,last_30min,imu,354.8828126
0,ss_mean,last_30min,selfreport,354.7812502
0,ss_mean,last_hour,imu,294.15690091666664
0,ss_mean,last_hour,selfreport,294.3261719166667
0,ss_mean,total,imu,328.7601461038961
0,ss_mean,total,selfreport,402.3362699148936
0,ss_mean_60,last_30min,imu,438.79882824999993
0,ss_mean_60,last_30min,selfreport,438.67187525
0,ss_mean_60,last_hour,imu,377.847222
0,ss_mean_60,last_hour,selfreport,378.0729167777778
0,ss_mean_60,total,imu,534.7477921956522
0,ss_mean_60,total,selfreport,655.5078125
0,ss_median,last_30min,imu,281.757813
0,ss_median,last_30min,selfreport,281.757813
0,ss_median,last_hour,imu,281.757812
0,ss_median,last_hour,selfreport,230.7226565
0,ss_median,total,imu,93.359375
0,ss_median,total,selfreport,179.6875
0,ss_median_60,last_30min,imu,328.2226565
0,ss_median_60,last_30min,selfreport,281.757813
0,ss_median_60,last_hour,imu,350.820312
0,ss_median_60,last_hour,selfreport,281.757813
0,ss_median_60,total,imu,267.5390625
0,ss_median_60,total,selfreport,400.5859375
0,ss_number,last_30min,imu,5.0
0,ss_number,last_30min,selfreport,5.0
0,ss_number,last_hour,imu,12.0
0,ss_number,last_hour,selfreport,12.0
0,ss_number,total,imu,77.0
0,ss_number,total,selfreport,47.0
0,ss_number_60,last_30min,imu,4.0
0,ss_number_60,last_30min,selfreport,4.0
0,ss_number_60,last_hour,imu,9.0
0,ss_number_60,last_hour,selfreport,9.0
0,ss_number_60,total,imu,46.0
0,ss_number_60,total,selfreport,28.0
0,ss_skewness,last_30min,imu,0.6858679779366156
0,ss_skewness,last_30min,selfreport,1.1770161773501653
0,ss_skewness,last_hour,imu,0.7712588580146691
0,ss_skewness,last_hour,selfreport,1.3987974614870549
0,ss_skewness,total,imu,2.845213866100241
0,ss_skewness,total,selfreport,2.591036297403984
0,ss_skewness_60,last_30min,imu,1.0584056835817888
0,ss_skewness_60,last_30min,selfreport,1.1143795034395758
0,ss_skewness_60,last_hour,imu,0.9041532445091652
0,ss_skewness_60,last_hour,selfreport,1.411483897623136
0,ss_skewness_60,total,imu,2.168733081277495
0,ss_skewness_60,total,selfreport,2.0523285567078298
0,ss_std,last_30min,imu,290.3886161704294
0,ss_std,last_30min,selfreport,372.9101304625992
0,ss_std,last_hour,imu,231.73822973996607
0,ss_std,last_hour,selfreport,272.7901723854523
0,ss_std,total,imu,562.1406178886647
0,ss_std,total,selfreport,616.723874538015
0,ss_std_60,last_30min,imu,255.90638910487488
0,ss_std_60,last_30min,selfreport,372.15369682472925
0,ss_std_60,last_hour,imu,205.464881306756
0,ss_std_60,last_hour,selfreport,265.8132877265642
0,ss_std_60,total,imu,652.4891716862611
0,ss_std_60,total,selfreport,695.2375224968582
1,ss_max,last_30min,imu,1799.609375
1,ss_max,last_30min,selfreport,1799.609375
1,ss_max,last_hour,imu,1941.796875
1,ss_max,last_hour,selfreport,2163.203125
1,ss_max,total,imu,3690.703125
1,ss_max,total,selfreport,3690.703125
1,ss_max_60,last_30min,imu,1799.609375
1,ss_max_60,last_30min,selfreport,1799.609375
1,ss_max_60,last_hour,imu,1941.796875
1,ss_max_60,last_hour,selfreport,2163.203125
1,ss_max_60,total,imu,3690.703125
1,ss_max_60,total,selfreport,3690.703125
1,ss_max_position,last_30min,imu,0.0
1,ss_max_position,last_30min,selfreport,0.0
1,ss_max_position,last_hour,imu,0.4605589749497081
1,ss_max_position,last_hour,selfreport,0.3990570721645304
1,ss_max_position,total,imu,0.0259430338135069
1,ss_max_position,total,selfreport,0.0081050857647058
1,ss_mean,last_30min,imu,1799.609375
1,ss_mean,last_30min,selfreport,1799.609375
1,ss_mean,last_hour,imu,443.17871075
1,ss_mean,last_hour,selfreport,508.532366
1,ss_mean,total,imu,592.0784884651163
1,ss_mean,total,selfreport,664.5816202105264
