night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,1799.609375
0,ss_max,last_30min,selfreport,1020.117187
0,ss_max,last_hour,imu,3599.804688
0,ss_max,last_hour,selfreport,1020.117188
0,ss_max,total,imu,6690.859375
0,ss_max,total,selfreport,3049.84375
0,ss_max_60,last_30min,imu,1799.609375
0,ss_max_60,last_30min,selfreport,1020.117187
0,ss_max_60,last_hour,imu,3599.804688
0,ss_max_60,last_hour,selfreport,1020.117188
0,ss_max_60,total,imu,6690.859375
0,ss_max_60,total,selfreport,3049.84375
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0115669033060059
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,last_hour,selfreport,0.5058390456995225
0,ss_max_position,total,imu,0.8174867021276596
0,ss_max_position,total,selfreport,0.214676167037037
0,ss_mean,last_30min,imu,1799.609375
0,ss_mean,last_30min,selfreport,107.197265625
0,ss_mean,last_hour,imu,3599.804688
0,ss_mean,last_hour,selfreport,138.45312496000005
0,ss_mean,total,imu,574.5560516349207
0,ss_mean,total,selfreport,269.28819446153847
0,ss_mean_60,last_30min,imu,1799.609375
0,ss_mean_60,last_30min,selfreport,451.536458
0,ss_mean_60,last_hour,imu,3599.804688
0,ss_mean_60,last_hour,selfreport,433.8113841428572
0,ss_mean_60,total,imu,1181.3815105
0,ss_mean_60,total,selfreport,807.3711992702703
0,ss_median,last_30min,imu,1799.609375
0,ss_median,last_30min,selfreport,26.835938
0,ss_median,last_hour,imu,3599.804688
0,ss_median,last_hour,selfreport,28.867187
0,ss_median,total,imu,48.164062
0,ss_median,total,selfreport,27.851562
0,ss_median_60,last_30min,imu,1799.609375
0,ss_median_60,last_30min,selfreport,184.765625
0,ss_median_60,last_hour,imu,3599.804688
0,ss_median_60,last_hour,selfreport,295.46875
0,ss_median_60,total,imu,680.6445315000001
0,ss_median_60,total,selfreport,423.4375
0,ss_number,last_30min,imu,1.0
0,ss_number,last_30min,selfreport,16.0
0,ss_number,last_hour,imu,1.0
0,ss_number,last_hour,selfreport,25.0
0,ss_number,total,imu,63.0
0,ss_number,total,selfreport,117.0
0,ss_number_60,last_30min,imu,1.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,1.0
0,ss_number_60,last_hour,selfreport,7.0
0,ss_number_60,total,imu,30.0
0,ss_number_60,total,selfreport,37.0
0,ss_skewness,last_30min,imu,0.0
0,ss_skewness,last_30min,selfreport,3.387896845143028
0,ss_skewness,last_hour,imu,0.0
0,ss_skewness,last_hour,selfreport,2.574850410898698
0,ss_skewness,total,imu,3.343311702027294
0,ss_skewness,total,selfreport,2.922116130059909
0,ss_skewness_60,last_30min,imu,0.0
0,ss_skewness_60,last_30min,selfreport,0.7030859242516675
