night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,363.515625
0,ss_max,last_30min,selfreport,738.789063
0,ss_max,last_hour,imu,1237.96875
0,ss_max,last_hour,selfreport,1237.96875
0,ss_max,total,imu,1835.664063
0,ss_max,total,selfreport,2623.28125
0,ss_max_60,last_30min,imu,363.515625
0,ss_max_60,last_30min,selfreport,738.789063
0,ss_max_60,last_hour,imu,1237.96875
0,ss_max_60,last_hour,selfreport,1237.96875
0,ss_max_60,total,imu,1835.664063
0,ss_max_60,total,selfreport,2623.28125
0,ss_max_position,last_30min,imu,0.3659091030379446
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.0853409431776808
0,ss_max_position,last_hour,selfreport,0.3613942094484598
0,ss_max_position,total,imu,0.567282053477054
0,ss_max_position,total,selfreport,0.1514115338164251
0,ss_mean,last_30min,imu,33.483664886363634
0,ss_mean,last_30min,selfreport,296.484375
0,ss_mean,last_hour,imu,69.4921874893617
0,ss_mean,last_hour,selfreport,272.9296874615385
0,ss_mean,total,imu,196.55598964102563
0,ss_mean,total,selfreport,443.6064877391304
0,ss_mean_60,last_30min,imu,251.66992175
0,ss_mean_60,last_30min,selfreport,296.484375
0,ss_mean_60,last_hour,imu,399.4252231428572
0,ss_mean_60,last_hour,selfreport,318.96661927272726
0,ss_mean_60,total,imu,490.5026041666667
0,ss_mean_60,total,selfreport,611.1434658484849
0,ss_median,last_30min,imu,9.824219
0,ss_median,last_30min,selfreport,210.410156
0,ss_median,last_hour,imu,10.585938
0,ss_median,last_hour,selfreport,162.421875
0,ss_median,total,imu,17.695313
0,ss_median,total,selfreport,222.8515625
0,ss_median_60,last_30min,imu,285.05859350000003
0,ss_median_60,last_30min,selfreport,210.410156
0,ss_median_60,last_hour,imu,301.054687
0,ss_median_60,last_hour,selfreport,214.21875
0,ss_median_60,total,imu,381.5429685
0,ss_median_60,total,selfreport,399.570312
0,ss_number,last_30min,imu,44.0
0,ss_number,last_30min,selfreport,6.0
0,ss_number,last_hour,imu,47.0
0,ss_number,last_hour,selfreport,13.0
0,ss_number,total,imu,78.0
0,ss_number,total,selfreport,46.0
0,ss_number_60,last_30min,imu,4.0
0,ss_number_60,last_30min,selfreport,6.0
0,ss_number_60,last_hour,imu,7.0
0,ss_number_60,last_hour,selfreport,11.0
0,ss_number_60,total,imu,30.0
0,ss_number_60,total,selfreport,33.0
0,ss_skewness,last_30min,imu,3.4165507644610287
0,ss_skewness,last_30min,selfreport,1.0526311273025166
0,ss_skewness,last_hour,imu,4.755982473091352
0,ss_skewness,last_hour,selfreport,2.274888256573389
0,ss_skewness,total,imu,2.6204791925853725
0,ss_skewness,total,selfreport,2.259277712839053
0,ss_skewness_60,last_30min,imu,-0.8020498605348251
0,ss_skewness_60,last_30min,selfreport,1.0526311273025166
0,ss_skewness_60,last_hour,imu,1.6693498086562848
0,ss_skewness_60,last_hour,selfreport,2.204630053667183
0,ss_skewness_60,total,imu,1.6107999227446832
