night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,877.421875
0,ss_max,last_30min,selfreport,818.007813
0,ss_max,last_hour,imu,1413.164063
0,ss_max,last_hour,selfreport,1413.164062
0,ss_max,total,imu,2135.78125
0,ss_max,total,selfreport,2135.78125
0,ss_max_60,last_30min,imu,877.421875
0,ss_max_60,last_30min,selfreport,818.007813
0,ss_max_60,last_hour,imu,1413.164063
0,ss_max_60,last_hour,selfreport,1413.164062
0,ss_max_60,total,imu,2135.78125
0,ss_max_60,total,selfreport,2135.78125
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_30min,selfreport,0.0
0,ss_max_position,last_hour,imu,0.3508147536269122
0,ss_max_position,last_hour,selfreport,0.334733981021479
0,ss_max_position,total,imu,0.7340602324889758
0,ss_max_position,total,selfreport,0.7365827802359882
0,ss_mean,last_30min,imu,355.796875
0,ss_mean,last_30min,selfreport,355.4921876
0,ss_mean,last_hour,imu,355.54296889999995
0,ss_mean,last_hour,selfreport,355.3398437
0,ss_mean,total,imu,411.3896483875
0,ss_mean,total,selfreport,406.67968751219513
0,ss_mean_60,last_30min,imu,565.625
0,ss_mean_60,last_30min,selfreport,564.9479166666666
0,ss_mean_60,last_hour,imu,434.165039125
0,ss_mean_60,last_hour,selfreport,433.974609375
0,ss_mean_60,total,imu,556.4493534137931
0,ss_mean_60,total,selfreport,543.7890625166667
0,ss_median,last_30min,imu,228.945312
0,ss_median,last_30min,selfreport,228.4375
0,ss_median,last_hour,imu,182.734375
0,ss_median,last_hour,selfreport,167.5
0,ss_median,total,imu,267.03125
0,ss_median,total,selfreport,246.2109375
0,ss_median_60,last_30min,imu,590.507813
0,ss_median_60,last_30min,selfreport,648.398437
0,ss_median_60,last_hour,imu,275.6640625
0,ss_median_60,last_hour,selfreport,275.6640625
0,ss_median_60,total,imu,381.5429685
0,ss_median_60,total,selfreport,355.8984375
0,ss_number,last_30min,imu,5.0
0,ss_number,last_30min,selfreport,5.0
0,ss_number,last_hour,imu,10.0
0,ss_number,last_hour,selfreport,10.0
0,ss_number,total,imu,80.0
0,ss_number,total,selfreport,82.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_30min,selfreport,3.0
0,ss_number_60,last_hour,imu,8.0
0,ss_number_60,last_hour,selfreport,8.0
0,ss_number_60,total,imu,58.0
0,ss_number_60,total,selfreport,60.0
0,ss_skewness,last_30min,imu,0.5076036845397202
0,ss_skewness,last_30min,selfreport,0.3646527015117866
0,ss_skewness,last_hour,imu,1.664477118673667
0,ss_skewness,last_hour,selfreport,1.5798964145984735
0,ss_skewness,total,imu,1.503433490445413
0,ss_skewness,total,selfreport,1.5399983565940136
0,ss_skewness_60,last_30min,imu,-0.1398495463124089
0,ss_skewness_60,last_30min,selfreport,-0.4669257515854485
0,ss_skewness_60,last_hour,imu,1.4389313998096356
0,ss_skewness_60,last_hour,selfreport,1.3309310337643057
0,ss_skewness_60,total,imu,1.268853674041608
0,ss_skewness_60,total,selfreport,1.298493743140867
0,ss_std,last_30min,imu,367.9075104113799
0,ss_std,last_30min,selfreport,358.2255293816668
0,ss_std,last_hour,imu,425.9759662527695
0,ss_std,last_hour,selfreport,433.71101616366457
0,ss_std,total,imu,462.1356864923831
0,ss_std,total,selfreport,457.7306323987444
0,ss_std_60,last_30min,imu,324.9535797266557
0,ss_std_60,last_30min,selfreport,303.5148769017057
0,ss_std_60,last_hour,imu,444.9436481931009
0,ss_std_60,last_hour,selfreport,454.4366001127991
0,ss_std_60,total,imu,466.9519125977701
0,ss_std_60,total,selfreport,465.0764124123729
1,ss_max,last_30min,imu,551.914063
1,ss_max,last_30min,selfreport,743.359375
1,ss_max,last_hour,imu,728.632812
1,ss_max,last_hour,selfreport,743.867188
1,ss_max,total,imu,2772.070312
1,ss_max,total,selfreport,3749.101563
1,ss_max_60,last_30min,imu,551.914063
1,ss_max_60,last_30min,selfreport,743.359375
1,ss_max_60,last_hour,imu,728.632812
1,ss_max_60,last_hour,selfreport,743.867188
1,ss_max_60,total,imu,2772.070312
1,ss_max_60,total,selfreport,3749.101563
1,ss_max_position,last_30min,imu,0.6931678230427555
1,ss_max_position,last_30min,selfreport,0.5648034112807284
1,ss_max_position,last_hour,imu,0.0
1,ss_max_position,last_hour,selfreport,0.7823154900863224
1,ss_max_position,total,imu,0.0
1,ss_max_position,total,selfreport,0.1367028709193245
1,ss_mean,last_30min,imu,446.796875
1,ss_mean,last_30min,selfreport,436.89453125
1,ss_mean,last_hour,imu,320.4900567272728
1,ss_mean,last_hour,selfreport,316.7507103636364
1,ss_mean,total,imu,501.2109374807693
1,ss_mean,total,selfreport,492.380981453125
1,ss_mean_60,last_30min,imu,446.796875
1,ss_mean_60,last_30min,selfreport,436.89453125
1,ss_mean_60,last_hour,imu,351.63281240000003
1,ss_mean_60,last_hour,selfreport,347.51953140000006
1,ss_mean_60,total,imu,643.76464835
1,ss_mean_60,total,selfreport,635.7549426122449
1,ss_median,last_30min,imu,497.0703125
1,ss_median,last_30min,selfreport,396.269531
1,ss_median,last_hour,imu,241.640625
1,ss_median,last_hour,selfreport,241.132813
1,ss_median,total,imu,356.152344
1,ss_median,total,selfreport,286.328125
1,ss_median_60,last_30min,imu,497.0703125
1,ss_median_60,last_30min,selfreport,396.269531
1,ss_median_60,last_hour,imu,327.4609375
1,ss_median_60,last_hour,selfreport,327.2070315
1,ss_median_60,total,imu,474.9804685
1,ss_median_60,total,selfreport,457.460938
1,ss_number,last_30min,imu,4.0
1,ss_number,last_30min,selfreport,4.0
1,ss_number,last_hour,imu,11.0
1,ss_number,last_hour,selfreport,11.0
1,ss_number,total,imu,52.0
1,ss_number,total,selfreport,64.0
1,ss_number_60,last_30min,imu,4.0
1,ss_number_60,last_30min,selfreport,4.0
1,ss_number_60,last_hour,imu,10.0
1,ss_number_60,last_hour,selfreport,10.0
1,ss_number_60,total,imu,40.0
1,ss_number_60,total,selfreport,49.0
1,ss_skewness,last_30min,imu,-0.7840482891704043
1,ss_skewness,last_30min,selfreport,0.2616670758927799
1,ss_skewness,last_hour,imu,0.2934566389912286
1,ss_skewness,last_hour,selfreport,0.3589729538389933
1,ss_skewness,total,imu,1.903666168691954
1,ss_skewness,total,selfreport,2.7120248480256293
1,ss_skewness_60,last_30min,imu,-0.7840482891704043
1,ss_skewness_60,last_30min,selfreport,0.2616670758927799
1,ss_skewness_60,last_hour,imu,0.2586141608364486
1,ss_skewness_60,last_hour,selfreport,0.3417201830642174
1,ss_skewness_60,total,imu,1.8269181037523816
1,ss_skewness_60,total,selfreport,2.574589259344936
1,ss_std,last_30min,imu,146.40919286578963
1,ss_std,last_30min,selfreport,255.6547219262919
1,ss_std,last_hour,imu,235.7290665599541
1,ss_std,last_hour,selfreport,233.61102111010405
1,ss_std,total,imu,560.7752237505908
1,ss_std,total,selfreport,637.5550875267434
1,ss_std_60,last_30min,imu,146.40919286578963
1,ss_std_60,last_30min,selfreport,255.6547219262919
1,ss_std_60,last_hour,imu,223.3572357393824
1,ss_std_60,last_hour,selfreport,221.51043455848497
1,ss_std_60,total,imu,566.3889000608327
1,ss_std_60,total,selfreport,666.2324554345312
