night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,487.929688
0,ss_max,last_hour,imu,1349.179688
0,ss_max,total,imu,3127.03125
0,ss_max_60,last_30min,imu,487.929688
0,ss_max_60,last_hour,imu,1349.179688
0,ss_max_60,total,imu,3127.03125
0,ss_max_position,last_30min,imu,0.611635262905543
0,ss_max_position,last_hour,imu,0.0
0,ss_max_position,total,imu,0.2675046674494624
0,ss_mean,last_30min,imu,245.92075914285712
0,ss_mean,last_hour,imu,439.116210875
0,ss_mean,total,imu,576.1543367142857
0,ss_mean_60,last_30min,imu,335.9921876
0,ss_mean_60,last_hour,imu,578.5742188333334
0,ss_mean_60,total,imu,720.4166666923077
0,ss_median,last_30min,imu,287.34375
0,ss_median,last_hour,imu,390.4296875
0,ss_median,total,imu,462.03125
0,ss_median_60,last_30min,imu,319.84375
0,ss_median_60,last_hour,imu,474.7265625
0,ss_median_60,total,imu,514.84375
0,ss_number,last_30min,imu,7.0
0,ss_number,last_hour,imu,8.0
0,ss_number,total,imu,49.0
0,ss_number_60,last_30min,imu,5.0
0,ss_number_60,last_hour,imu,6.0
0,ss_number_60,total,imu,39.0
0,ss_skewness,last_30min,imu,-0.0065611981953834
0,ss_skewness,last_hour,imu,1.0425727976823278
0,ss_skewness,total,imu,1.9674363538797028
0,ss_skewness_60,last_30min,imu,-0.3742091050418467
0,ss_skewness_60,last_hour,imu,0.9721528431785338
0,ss_skewness_60,total,imu,1.910762115718903
0,ss_std,last_30min,imu,195.56888483356136
0,ss_std,last_hour,imu,444.1739833793261
0,ss_std,total,imu,655.7435509568613
0,ss_std_60,last_30min,imu,147.51599150731667
0,ss_std_60,last_hour,imu,427.5054751942169
0,ss_std_60,total,imu,662.1724439954204
1,ss_max,last_30min,imu,837.8125
1,ss_max,last_hour,imu,837.8125
1,ss_max,total,imu,2191.640625
1,ss_max_60,last_30min,imu,837.8125
1,ss_max_60,last_hour,imu,837.8125
1,ss_max_60,total,imu,2191.640625
1,ss_max_position,last_30min,imu,0.3963780189042959
1,ss_max_position,last_hour,imu,0.6981030224094769
1,ss_max_position,total,imu,0.0846905238643404
1,ss_mean,last_30min,imu,217.58300775
1,ss_mean,last_hour,imu,174.2285156
1,ss_mean,total,imu,485.6989397321428
1,ss_mean_60,last_30min,imu,279.7265625
1,ss_mean_60,last_hour,imu,361.4279513333333
1,ss_mean_60,total,imu,706.9706003684211
1,ss_median,last_30min,imu,164.9609375
1,ss_median,last_hour,imu,51.210938
1,ss_median,total,imu,198.222656
1,ss_median_60,last_30min,imu,193.3984375
1,ss_median_60,last_hour,imu,235.546875
1,ss_median_60,total,imu,535.9179684999999
1,ss_number,last_30min,imu,8.0
1,ss_number,last_hour,imu,20.0
1,ss_number,total,imu,56.0
1,ss_number_60,last_30min,imu,6.0
1,ss_number_60,last_hour,imu,9.0
1,ss_number_60,total,imu,38.0
1,ss_skewness,last_30min,imu,1.883076032768252
1,ss_skewness,last_hour,imu,1.7630671315651885
1,ss_skewness,total,imu,1.3674849428197922
1,ss_skewness_60,last_30min,imu,1.6355931876564611
1,ss_skewness_60,last_hour,imu,0.878615452834784
1,ss_skewness_60,total,imu,0.9868575282382398
1,ss_std,last_30min,imu,262.2147879925007
1,ss_std,last_hour,imu,253.8097405430745
1,ss_std,total,imu,592.935478180589
1,ss_std_60,last_30min,imu,278.68535320638154
1,ss_std_60,last_hour,imu,284.40315993540867
1,ss_std_60,total,imu,604.9974793170758
2,ss_max,last_30min,imu,845.9375
2,ss_max,last_hour,imu,920.078125
2,ss_max,total,imu,3231.640625
2,ss_max_60,last_30min,imu,845.9375
2,ss_max_60,last_hour,imu,920.078125
2,ss_max_60,total,imu,3231.640625
2,ss_max_position,last_30min,imu,0.513175527310569
2,ss_max_position,last_hour,imu,0.4568914304291162
2,ss_max_position,total,imu,0.0
2,ss_mean,last_30min,imu,446.66992175
2,ss_mean,last_hour,imu,323.4446023636364
2,ss_mean,total,imu,235.6335747317073
2,ss_mean_60,last_30min,imu,585.768229
2,ss_mean_60,last_hour,imu,491.8470984285715
2,ss_mean_60,total,imu,1011.653645888889
2,ss_median,last_30min,imu,455.6835935
2,ss_median,last_hour,imu,146.679688
2,ss_median,total,imu,17.1875
2,ss_median_60,last_30min,imu,764.6875
2,ss_median_60,last_hour,imu,555.46875
2,ss_median_60,total,imu,700.703125
2,ss_number,last_30min,imu,4.0
2,ss_number,last_hour,imu,11.0
2,ss_number,total,imu,41.0
2,ss_number_60,last_30min,imu,3.0
2,ss_number_60,last_hour,imu,7.0
2,ss_number_60,total,imu,9.0
2,ss_skewness,last_30min,imu,-0.020266767602879
2,ss_skewness,last_hour,imu,0.6894268901031477
2,ss_skewness,total,imu,3.6028738108891125
2,ss_skewness_60,last_30min,imu,-0.6713681656886447
2,ss_skewness_60,last_hour,imu,0.0055612913494998
2,ss_skewness_60,total,imu,1.1916673391494446
2,ss_std,last_30min,imu,418.2020930050101
2,ss_std,last_hour,imu,356.96765961481617
2,ss_std,total,imu,639.3119268353723
2,ss_std_60,last_30min,imu,382.4257462720892
2,ss_std_60,last_hour,imu,348.18607769061686
2,ss_std_60,total,imu,1083.8912542399064
