night,imu_feature,time_span,wakeup_type,data
0,ss_max,last_30min,imu,883.515625
0,ss_max,last_hour,imu,1645.742188
0,ss_max,total,imu,3547.5
0,ss_max_60,last_30min,imu,883.515625
0,ss_max_60,last_hour,imu,1645.742188
0,ss_max_60,total,imu,3547.5
0,ss_max_position,last_30min,imu,0.0
0,ss_max_position,last_hour,imu,0.2883254348605198
0,ss_max_position,total,imu,0.0
0,ss_mean,last_30min,imu,597.109375
0,ss_mean,last_hour,imu,717.2578128
0,ss_mean,total,imu,1105.4296875
0,ss_mean_60,last_30min,imu,597.109375
0,ss_mean_60,last_hour,imu,895.06835975
0,ss_mean_60,total,imu,1471.9010416666667
0,ss_median,last_30min,imu,526.015625
0,ss_median,last_hour,imu,526.523438
0,ss_median,total,imu,843.90625
0,ss_median_60,last_30min,imu,526.015625
0,ss_median_60,last_hour,imu,776.3671879999999
0,ss_median_60,total,imu,1365.1757815
0,ss_number,last_30min,imu,3.0
0,ss_number,last_hour,imu,5.0
0,ss_number,total,imu,8.0
0,ss_number_60,last_30min,imu,3.0
0,ss_number_60,last_hour,imu,4.0
0,ss_number_60,total,imu,6.0
0,ss_skewness,last_30min,imu,0.4673310050053431
0,ss_skewness,last_hour,imu,0.4646728112381522
0,ss_skewness,total,imu,1.0767362605659148
0,ss_skewness_60,last_30min,imu,0.4673310050053431
0,ss_skewness_60,last_hour,imu,0.4947625344454859
0,ss_skewness_60,total,imu,0.9954700531889727
0,ss_std,last_30min,imu,258.3044076127767
0,ss_std,last_hour,imu,634.884706223877
0,ss_std,total,imu,1180.1994513499817
0,ss_std_60,last_30min,imu,258.3044076127767
0,ss_std_60,last_hour,imu,571.5425177111355
0,ss_std_60,total,imu,1142.5291783429848
1,ss_max,last_30min,imu,1799.609375
1,ss_max,last_hour,imu,2519.6875
1,ss_max,total,imu,2519.6875
1,ss_max_60,last_30min,imu,1799.609375
1,ss_max_60,last_hour,imu,2519.6875
1,ss_max_60,total,imu,2519.6875
1,ss_max_position,last_30min,imu,0.0
1,ss_max_position,last_hour,imu,0.0
1,ss_max_position,total,imu,0.0
1,ss_mean,last_30min,imu,1799.609375
1,ss_mean,last_hour,imu,2519.6875
1,ss_mean,total,imu,2519.6875
1,ss_mean_60,last_30min,imu,1799.609375
1,ss_mean_60,last_hour,imu,2519.6875
1,ss_mean_60,total,imu,2519.6875
1,ss_median,last_30min,imu,1799.609375
1,ss_median,last_hour,imu,2519.6875
